0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三井住友トラスト・ホールディングス(8309)の売り予想。 kendobun さんの売買予想。 目標株価： 3,359円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 売り予想 長期 目標株価3,359円",三井住友トラスト・ホールディングス,2017/04/08,19:50,売り予想,kendobunさん,2.41,成り行き ,,"3,359",長期(数ヶ月～数年),配当(株主優待を含む),,"3,713.0",04月10日,06:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\1.html
"三井住友トラスト・ホールディングス(8309)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 3,850円 期間： 長期(数ヶ月～数年) 理由： その他 買い",三井住友トラスト・ホールディングス,2016/06/21,10:01,買い予想,リサ・ランドールさん,137.27,"3,542.0",+13.64,"3,850",長期(数ヶ月～数年),その他,,"3,713.0",04月10日,06:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\10.html
三井住友トラスト・ホールディングス(8309)の買い予想。 日はまた昇る さんの売買予想。 目標株価： 3円 反騰率,三井住友トラスト・ホールディングス,2008/10/23,21:00,買い予想,日はまた昇るさん,339.2,"3,370.0",+28.85,3,,,瞬発力,"3,713.0",04月10日,06:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\100.html
"三井住友トラスト・ホールディングス(8309)の買い予想。 これかわぎんぞう2世 さんの売買予想。 目標株価： 10,500円 期間： 中期(数週間~数ヶ月) KAI",三井住友トラスト・ホールディングス,2008/10/21,09:18,買い予想,これかわぎんぞう2世さん,-377.96,"4,050.0",-23.73,"10,500",中期(数週間～数ヶ月),,,"3,713.0",04月10日,06:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\101.html
三井住友トラスト・ホールディングス(8309)の買い予想。 猫まさひこ さんの売買予想。 目標株価： 3円 理由： チャート k,三井住友トラスト・ホールディングス,2008/10/15,17:47,買い予想,猫まさひこさん,493.39,"3,990.0",-19.81,3,,チャート,,"3,713.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\102.html
"三井住友トラスト・ホールディングス(8309)の買い予想。 相場の見通しに迷ったら利食いしておく。 さんの売買予想。 目標株価： 8,300円 期間： 中期(数週間~数ヶ月) ++",三井住友トラスト・ホールディングス,2008/09/19,22:57,買い予想,相場の見通しに迷ったら利食いしておく。さん,117.17,"5,710.0",-99.50,"8,300",中期(数週間～数ヶ月),,,"3,713.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\103.html
"三井住友トラスト・ホールディングス(8309)の買い予想。 seiji8606 さんの売買予想。 目標株価： 7,000円 期間： 中期(数週間~数ヶ月) 理由： チャート １６日は売り気配でしょうが・・・・",三井住友トラスト・ホールディングス,2008/09/15,19:02,買い予想,seiji8606さん,1406.18,"4,870.0",-67.61,"7,000",中期(数週間～数ヶ月),チャート,"リーマンブラザーズの破綻で金融株の下げ率は他の業種以上になると思います。売り気配から寄り付いたところが安値になれば理想ですが・・・・。
ボラティリティの大きい業種なのでテクニカル狙いです。","3,713.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\104.html
"三井住友トラスト・ホールディングス(8309)の買い予想。 yowayowa_star さんの売買予想。 目標株価： 10,000円 期間： 中期(数週間~数ヶ月) あなたのことが好きだから",三井住友トラスト・ホールディングス,2008/05/01,18:03,買い予想,yowayowa_starさん,-172.65,"7,550.0",-144.55,"10,000",中期(数週間～数ヶ月),,,"3,713.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\105.html
"三井住友トラスト・ホールディングス(8309)の買い予想。 ちょこたん さんの売買予想。 目標株価： 7,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い時",三井住友トラスト・ホールディングス,2008/04/07,23:49,買い予想,ちょこたんさん,181.29,"6,300.0",-116.81,"7,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),来ますね,"3,713.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\106.html
三井住友トラスト・ホールディングス(8309)の買い予想。 pool さんの売買予想。 目標株価： 3円 8309,三井住友トラスト・ホールディングス,2008/03/23,21:31,買い予想,poolさん,163.54,"6,140.0",-112.44,3,,,8309,"3,713.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8309-三井住友トラスト・ホールディングス/2017-04-10-06-00-16/comment\107.html
