0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三井住友フィナンシャルグループ(8316)の買い予想。 畦道花の山 さんの売買予想。 目標株価： 4,814円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価4,814円",三井住友フィナンシャルグループ,2017/04/09,18:39,買い予想,畦道花の山さん,1.35,成り行き ,,"4,814",長期(数ヶ月～数年),その他,,"3,893.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\1.html
"三井住友フィナンシャルグループ(8316)の買い予想。 twitter88 さんの売買予想。 目標株価： 5,677円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価5,671円",三井住友フィナンシャルグループ,2017/03/27,16:13,買い予想,twitter88さん,-0.95,"4,173.0",-19.14,"5,677",長期(数ヶ月～数年),チャート,,"3,893.0",04月10日,06:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\10.html
"三井住友フィナンシャルグループ(8316)の買い予想。 たろぺろ さんの売買予想。 目標株価： 5,700円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",三井住友フィナンシャルグループ,2015/04/19,23:50,買い予想,たろぺろさん,-31.86,"4,860.0",-56.63,"5,700",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/04/18 01:49
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「5,555円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より低い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","3,893.0",04月10日,06:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\100.html
"三井住友フィナンシャルグループ(8316)の買い予想。 ｼﾞｬｲｱﾝﾄ さんの売買予想。 目標株価： 5,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 日経平均連動株価",三井住友フィナンシャルグループ,2015/04/09,21:10,買い予想,ｼﾞｬｲｱﾝﾄさん,-62.67,"4,706.5",-98.42,"5,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),日経平均は２万２千円まで上昇します｡日経平均連動株で業績順調な三井住友FG株価は5500円まで上昇すると予想します｡,"3,893.0",04月10日,06:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\101.html
"三井住友フィナンシャルグループ(8316)の買い予想。 もか7 さんの売買予想。 目標株価： 4,900円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",三井住友フィナンシャルグループ,2015/03/22,12:50,買い予想,もか7さん,-1.99,"4,891.5",-58.10,"4,900",中期(数週間～数ヶ月),その他,,"3,893.0",04月10日,06:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\102.html
"三井住友フィナンシャルグループ(8316)の買い予想。 グスクマン さんの売買予想。 目標株価： 5,040円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",三井住友フィナンシャルグループ,2015/03/13,12:38,買い予想,グスクマンさん,-19.94,"4,827.0",-55.08,"5,040",中期(数週間～数ヶ月),チャート,,"3,893.0",04月10日,06:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\103.html
"三井住友フィナンシャルグループ(8316)の買い予想。 鳥さん さんの売買予想。 目標株価： 5,500円 期間： 中期(数週間~数ヶ月) 理由： みんかぶポートフォリオ 株価診断結果「割安」に賛成",三井住友フィナンシャルグループ,2015/03/13,12:16,買い予想,鳥さんさん,227.33,"4,814.5",-54.48,"5,500",中期(数週間～数ヶ月),みんかぶポートフォリオ,"【株価分析結果】2015/03/13 01:47
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「5,429円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より低い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","3,893.0",04月10日,06:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\104.html
"三井住友フィナンシャルグループ(8316)の売り予想。 marey さんの売買予想。 目標株価： 4,417円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対",三井住友フィナンシャルグループ,2015/02/26,12:03,売り予想,mareyさん,27.25,"4,660.5",+46.76,"4,417",中期(数週間～数ヶ月),チャート,,"3,893.0",04月10日,06:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\105.html
"三井住友フィナンシャルグループ(8316)の売り予想。 asakiti さんの売買予想。 目標株価： 7,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 売り",三井住友フィナンシャルグループ,2015/02/25,00:36,売り予想,asakitiさん,-22.85,"4,660.0",+46.74,"7,000",長期(数ヶ月～数年),個人投資家の予想,,"3,893.0",04月10日,06:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\106.html
"三井住友フィナンシャルグループ(8316)の買い予想。 yoshiko0810 さんの売買予想。 目標株価： 5,257円 期間： 長期(数ヶ月～数年) 理由： チャート 株価診断結果「割安」に賛成",三井住友フィナンシャルグループ,2015/02/05,17:06,買い予想,yoshiko0810さん,25.12,"4,083.0",-13.30,"5,257",長期(数ヶ月～数年),チャート,"【株価分析結果】2015/02/05 02:37
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「4,743円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","3,893.0",04月10日,06:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8316-三井住友フィナンシャルグループ/2017-04-10-06-04-15/comment\107.html
