概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
三井化学(4183)の買い予想。 可を見て進み、難きを知りて退く。 さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,三井化学,2017/03/19,23:45,買い予想,可を見て進み、難きを知りて退く。さん,-0.18,565.0,-20.13,600,中期(数週間～数ヶ月),その他,,526.0,04月08日,23:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\1.html
三井化学(4183)の買い予想。 Saita28 さんの売買予想。 目標株価： 509円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,三井化学,2016/10/05,00:44,買い予想,Saita28さん,12.16,506.0,+10.67,509,中期(数週間～数ヶ月),個人投資家の予想,,526.0,04月08日,23:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\10.html
三井化学(4183)の買い予想。 トミ さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三井化学,2010/03/03,16:11,買い予想,トミさん,301.89,243.0,+659.99,350,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/03/03 03:13
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「346円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\100.html
"三井化学(4183)の買い予想。 urbano さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： その他 買いだ買い",三井化学,2010/02/21,09:09,買い予想,urbanoさん,162.55,249.0,+315.19,"1,000",長期(数ヶ月～数年),その他,勘だ勘,526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\101.html
三井化学(4183)の買い予想。 sstoshiyuki さんの売買予想。 目標株価： 360円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,三井化学,2010/02/09,23:28,買い予想,sstoshiyukiさん,228.68,241.0,+335.09,360,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\102.html
三井化学(4183)の買い予想。 LOFTboy さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： チャート パイオニアと資本提携,三井化学,2010/02/03,14:55,買い予想,LOFTboyさん,168.67,240.0,+337.67,--,中期(数週間～数ヶ月),チャート,"月足もおｋｗ
うおおおおおおおおおおおｗ",526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\103.html
三井化学(4183)の買い予想。 亀さん さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： チャート かい,三井化学,2010/01/20,22:00,買い予想,亀さんさん,329.41,266.0,+276.87,--,中期(数週間～数ヶ月),チャート,,526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\104.html
三井化学(4183)の買い予想。 miya6677 さんの売買予想。 目標株価： 317円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三井化学,2010/01/19,11:16,買い予想,miya6677さん,237.83,271.0,+266.52,317,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/01/19 03:13
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「371円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\105.html
三井化学(4183)の買い予想。 fe20080420 さんの売買予想。 目標株価： 368円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三井化学,2010/01/14,08:34,買い予想,fe20080420さん,193.97,260.0,+289.82,368,,業績(会社計画の修正発表を含む),"【株価分析結果】2010/01/14 03:13
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「368円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\106.html
三井化学(4183)の買い予想。 豚休 さんの売買予想。 目標株価： 72円 期間： 短期(数分~数日) 理由： その他 株価診断結果「割安」に賛成,三井化学,2010/01/06,20:58,買い予想,豚休さん,282.21,265.0,+278.99,72,短期(数分～数日),その他,"【株価分析結果】2010/01/06 03:12
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「360円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",526.0,04月08日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4183-三井化学/2017-04-08-23-08-02/comment\107.html
