0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
三井造船(7003)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 170円 期間： 短期(数分~数日) 理由： チャート ･･･下げそう☆,三井造船,2017/03/31,08:55,売り予想,ひとみん｡｡☆さん,0.86,179.0,+9.53,170,短期(数分～数日),チャート,,172.0,04月09日,20:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\1.html
三井造船(7003)の買い予想。 咲紅羅坂桜子 さんの売買予想。 目標株価： 184円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成,三井造船,2016/10/31,11:48,買い予想,咲紅羅坂桜子さん,15.35,145.0,+50.98,184,中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2016/10/29 03:46
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「184円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",172.0,04月09日,20:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\10.html
三井造船(7003)の買い予想。 wa--iwa--iwa--i さんの売買予想。 目標株価： 304円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「売り」に反対,三井造船,2011/04/11,02:17,買い予想,wa--iwa--iwa--iさん,-86.84,203.0,-89.65,304,短期(数分～数日),その他,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\100.html
三井造船(7003)の売り予想。 かりんたん さんの売買予想。 目標株価： 200円 期間： 中期(数週間~数ヶ月) 理由： その他 うり,三井造船,2010/12/15,17:05,売り予想,かりんたんさん,120.33,214.0,+54.48,200,中期(数週間～数ヶ月),その他,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\101.html
三井造船(7003)の買い予想。 太郎犬郎 さんの売買予想。 目標株価： 210円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,三井造船,2010/11/01,20:58,買い予想,太郎犬郎さん,114.73,173.0,-3.28,210,中期(数週間～数ヶ月),その他,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\102.html
三井造船(7003)の買い予想。 のんぶ～です さんの売買予想。 目標株価： 265円 期間： 中期(数週間~数ヶ月) 買い！,三井造船,2010/10/26,08:24,買い予想,のんぶ～ですさん,179.24,183.0,-18.64,265,中期(数週間～数ヶ月),,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\103.html
三井造船(7003)の買い予想。 鈴鹿マタギ さんの売買予想。 目標株価： 250円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対,三井造船,2010/10/03,22:55,買い予想,鈴鹿マタギさん,273.28,187.0,-24.33,250,中期(数週間～数ヶ月),その他,新エネルギー関係が魅力で、現時点でも低ＰＥＲ、高ＲＯＥ,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\104.html
三井造船(7003)の買い予想。 たかちゃんぺ 杉並区民 さんの売買予想。 目標株価： 210円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,三井造船,2010/09/13,15:57,買い予想,たかちゃんぺ　杉並区民さん,256.01,190.0,-28.43,210,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/09/11 03:25
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「154円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

",172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\105.html
三井造船(7003)の買い予想。 みんなの荻野式 さんの売買予想。 目標株価： 220円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対,三井造船,2010/06/07,09:22,買い予想,みんなの荻野式さん,428.41,197.0,-37.52,220,中期(数週間～数ヶ月),その他,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\106.html
三井造船(7003)の買い予想。 orangetail さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,三井造船,2010/05/28,01:33,買い予想,orangetailさん,-55.13,202.0,-43.63,--,中期(数週間～数ヶ月),チャート,貝,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\107.html
三井造船(7003)の買い予想。 akadon_a711 さんの売買予想。 目標株価： 248円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に反対,三井造船,2010/05/12,22:58,買い予想,akadon_a711さん,-128.09,222.0,-130.65,248,中期(数週間～数ヶ月),チャート,"【株価分析結果】2010/05/12 03:24
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「203円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

",172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\108.html
三井造船(7003)の買い予想。 ゆきほたる さんの売買予想。 理由： 業績(会社計画の修正発表を含む) 買ぃ～♪,三井造船,2010/05/10,11:26,買い予想,ゆきほたるさん,-33.67,231.0,-73.85,--,,業績(会社計画の修正発表を含む),"
三井造の今期営業利益は前期比２７．９％減の３１０億円を予想

　三井造船は１０日前引け後、１１年３月期の連結業績予想を発表した。売上高は６０００億円（前期比２１．７％減）、営業利益は３１０億円（同２７．９％減）、純利益は１２０億円（同３８．９％減）と減収減益決算を想定している。厳しい経営環境が続くなか、コスト削減を中心とした施策を推進する。為替前提は１ドル＝９０円。配当は期末配のみの４円と、期末配のみ５円の前期から減配を予定している。

　併せて発表した１０年３月期の連結業績は、売上高７６５９億８９００万円（前期比１１．６％増）、営業利益４３０億円（同６０．１％増）、純利益１９６億５２００万円（同８４．７％増）。売上高は工事進行基準の適用範囲を拡大したことで増加。営業利益は船舶、鉄構建設、機械の各部門が増益となったことで増加した。純利益は固定資産の減損損失を特損計上したが、増益は確保した。



［ 株式新聞速報ニュース／ＫＡＢＤＡＳ－ＥＸＰＲＥＳＳ ］

提供：モーニングスター社

",172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\109.html
三井造船(7003)の買い予想。 万事塞翁が馬 さんの売買予想。 目標株価： 199円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価199円,三井造船,2016/10/10,11:45,買い予想,万事塞翁が馬さん,12.98,148.0,+44.19,199,中期(数週間～数ヶ月),個人投資家の予想,,172.0,04月09日,20:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\11.html
三井造船(7003)の売り予想。 よーこっぴ さんの売買予想。 目標株価： 180円 期間： 中期(数週間~数ヶ月) 世界同時株安,三井造船,2010/05/08,04:16,売り予想,よーこっぴさん,166.42,235.0,+75.02,180,中期(数週間～数ヶ月),,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\110.html
"三井造船,7003,ME S,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井造船,2010/02/08,06:11,買い予想,RX78G3さん,601.44,228.0,-71.09,--,短期(数分～数日),,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\111.html
"三井造船,7003,ME S,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井造船,2010/01/20,08:59,売り予想,かっぱ巻きさん,-330.25,242.0,+81.07,--,短期(数分～数日),,,172.0,04月09日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\112.html
三井造船(7003)の買い予想。 はるはる さんの売買予想。 目標株価： 320円 期間： 中期(数週間~数ヶ月) 新環境系,三井造船,2010/01/15,00:45,買い予想,はるはるさん,46.24,241.0,-82.59,320,中期(数週間～数ヶ月),,環境系＆旧体制脱却で買い。,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\113.html
三井造船(7003)の買い予想。 はるちんﾊﾟﾊﾟ さんの売買予想。 目標株価： 260円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,三井造船,2009/12/01,06:50,買い予想,はるちんﾊﾟﾊﾟさん,102.39,210.0,-52.80,260,中期(数週間～数ヶ月),チャート,,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\114.html
三井造船(7003)の買い予想。 syoumama さんの売買予想。 目標株価： 251円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割高」に反対,三井造船,2009/10/20,13:38,買い予想,syoumamaさん,31.59,242.0,-83.42,251,短期(数分～数日),チャート,"【株価分析結果】2009/10/20 03:25
　割高

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「183円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

",172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\115.html
"三井造船,7003,ME S,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井造船,2009/10/13,20:57,売り予想,空飛ぶ モンティ・パイさん,-418.66,236.0,+75.90,--,,,今年もキますから！！,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\116.html
三井造船(7003)の買い予想。 てくてく1212 さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) ｶｲ,三井造船,2009/10/10,04:39,買い予想,てくてく1212さん,327.01,234.0,-76.55,--,中期(数週間～数ヶ月),,,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\117.html
三井造船(7003)の買い予想。 飛雲龍 さんの売買予想。 目標株価： 400円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,三井造船,2009/08/14,20:59,買い予想,飛雲龍さん,82.09,255.0,-93.67,400,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\118.html
三井造船(7003)の買い予想。 good-luck -77 さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) メタンハイドレード,三井造船,2009/08/14,14:58,買い予想,good-luck -77さん,229.48,257.0,-95.15,350,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\119.html
三井造船(7003)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 98円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,三井造船,2016/09/27,08:26,売り予想,エグゼクティブ・まっちさん,-14.13,139.0,-69.55,98,長期(数ヶ月～数年),チャート,,172.0,04月09日,20:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\12.html
三井造船(7003)の買い予想。 るんるんゆっこ さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) kai,三井造船,2009/08/14,10:51,買い予想,るんるんゆっこさん,285.5,255.0,-93.67,300,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\120.html
"三井造船,7003,ME S,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井造船,2009/07/16,09:32,買い予想,mikeyさん,-284.8,216.0,-59.24,--,長期(数ヶ月～数年),,,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\121.html
三井造船(7003)の買い予想。 gor**31 さんの売買予想。 目標株価： 427円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三井造船,2009/06/22,23:41,買い予想,gor**31さん,469.71,224.0,-67.28,427,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2009/06/20 03:22
割安

【ファンダメンタルズ分析】
この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
但し、この銘柄の株価が「427円」を超えると割高圏内に入ります。


【バリュエーション】
過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より低い為、過去比較の観点からは割高と判断されます。
一方、この銘柄のPERは同一業種銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種を対象に利益動向が比較されている可能性があります。
結果、現在、この銘柄のPERは同一業種の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\122.html
三井造船(7003)の買い予想。 ろっくがん さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三井造船,2009/06/17,16:01,買い予想,ろっくがんさん,295.58,236.0,-78.31,350,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\123.html
"三井造船,7003,ME S,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井造船,2009/05/30,20:10,買い予想,aogiさん,563.46,229.0,-72.02,--,,,　,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\124.html
三井造船(7003)の買い予想。 るきるき さんの売買予想。 期間： 長期(数ヶ月～数年) 有望銘柄は長期でどれだけ上げるのか？,三井造船,2009/05/25,23:04,買い予想,るきるきさん,106.81,229.0,-72.02,--,長期(数ヶ月～数年),,"日記の構成上、短期予想をする必然性があまりなくなったのでこの企画。

底打ち感が高まっている日本市場ですが、そんなの日和見観測のようなものですから本当は下落するのかもしれませんし、本当に上げるのかもしれませんが、さておいて。

いわゆるひとつの（個人的に）期待感のある銘柄が日経平均15000円を超えるまでにどれだけ伸びるのかを検証します。

終結条件は終値で15000円を超えた日として、最も伸び率の高かった銘柄を心から褒め称えます（それだけかー）。

2年かかるか3年かかるか、もしかして一生来ないのかは分かりませんが、そこはそれとして。",172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\125.html
三井造船(7003)の買い予想。 mucc さんの売買予想。 目標株価： 400円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,三井造船,2009/05/23,01:18,買い予想,muccさん,389.81,223.0,-66.30,400,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\126.html
"三井造船,7003,ME S,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井造船,2009/04/14,07:13,買い予想,naokieeさん,371.24,205.0,-47.16,--,,,　,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\127.html
"三井造船,7003,ME S,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井造船,2009/03/29,12:47,買い予想,新卒MBAさん,434.31,176.0,-8.07,--,,,　,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\128.html
三井造船(7003)の買い予想。 ミミちゃん さんの売買予想。 目標株価： 160円 期間： 中期(数週間~数ヶ月) インドネシアの火力発電所の拡張工事を一括受注,三井造船,2009/03/12,20:39,買い予想,ミミちゃんさん,168.79,153.0,+33.45,160,中期(数週間～数ヶ月),,"住友商事からインドネシアの火力発電所の拡張工事を一括受注した。受注額は約300億円、2011年末にも完成予定。今回受注した案件で、工事の設計・施工実績を足がかりに東南アジアなどで事業を積極化させていきたいとしているようだ。newsミミ
",172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\129.html
三井造船(7003)の買い予想。 panda07 さんの売買予想。 目標株価： 161円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 逆張り,三井造船,2016/09/18,10:31,買い予想,panda07さん,34.79,141.0,+60.50,161,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,172.0,04月09日,20:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\13.html
三井造船(7003)の売り予想。 theendccb さんの売買予想。 目標株価： 135円 期間： 長期(数ヶ月～数年) 理由： その他 三井造船,三井造船,2008/12/12,13:21,売り予想,theendccbさん,-26.97,132.0,-88.32,135,長期(数ヶ月～数年),その他,,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\130.html
"三井造船(7003)の買い予想。 ユタぽん さんの売買予想。 目標株価： 130円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) ,これから",三井造船,2008/12/05,13:09,買い予想,ユタぽんさん,368.81,117.0,+131.24,130,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,172.0,04月09日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7003-三井造船/2017-04-09-20-01-06/comment\131.html
