概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
三井金属(5706)の買い予想。 宏明1202 さんの売買予想。 目標株価： 451円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,三井金属鉱業,2017/03/18,15:49,買い予想,宏明1202さん,-27.7,390.0,-29.89,451,短期(数分～数日),個人投資家の予想,,350.0,04月09日,12:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\1.html
三井金属(5706)の買い予想。 マッチポイント さんの売買予想。 目標株価： 315円 期間： 長期(数ヶ月～数年) 理由： チャート 買い,三井金属鉱業,2016/12/04,15:41,買い予想,マッチポイントさん,66.7,283.0,+66.31,314,長期(数ヶ月～数年),チャート,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\10.html
"三井金属,5706,MMS,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井金属鉱業,2007/05/28,22:51,買い予想,淀屋さん,-44.56,558.0,-106.50,--,,,"住友鉱（別子）・三菱マテ（太平山）・三井金（神岡）は、非鉄セクターの代表銘柄です。
現在、住友鉱と三菱マテは活況を挺していますが、三井金だけは“蚊帳の外”です。
何故かと言うと、最初に良く上がり過ぎたので“調整が長引いている”という事でしょう。
さすがにここまで調整すると、PERは12.2倍です。
非鉄セクターでは最も割安ですし、配当金は12円と高配当です。
この事が下値支持になっているのでしょう。
チャート的には、02年10月200円から上昇し06年02月958円まで、
実に3.8倍の“大相場”でした。
現在“大相場後の調整中（W底形成）”ですが、
月足RSI・24.5％でかなりの“買いシグナル”です。
日足では5/25（金）にサイコロが、2勝10敗、
“調整完了近し”
",350.0,04月09日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\100.html
"三井金属,5706,MMS,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",三井金属鉱業,2007/05/03,01:00,買い予想,クマザサさん,118.64,578.0,-112.66,--,,,"4月26日付けで様々な発表がありました。
決算発表はもちろんですが、
社長をはじめとする上層の顔ぶれを一新させたこと
投資単位の引き下げにコメントをしていることです。

特に今までの会長ポストを空席にして意志決定を社長に集中していることは非常に重要であると判断しています。また投資しやすいよう投資単位にも言及しているということもサプライズだと判断できます。
発表後に少し下がっているようですが、少しすれば徐々にあがっていくと思っています。",350.0,04月09日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\101.html
三井金属(5706)の買い予想。 t-oku さんの売買予想。 目標株価： 312円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,三井金属鉱業,2016/11/12,17:24,買い予想,t-okuさん,47.03,239.0,+130.87,312,中期(数週間～数ヶ月),個人投資家の予想,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\11.html
三井金属(5706)の買い予想。 musashiXP さんの売買予想。 目標株価： 405円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,三井金属鉱業,2016/11/10,10:17,買い予想,musashiXPさん,4.55,227.0,+152.82,404,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\12.html
三井金属(5706)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 145円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,三井金属鉱業,2016/09/27,08:20,売り予想,エグゼクティブ・まっちさん,-14.13,204.0,-204.90,144,長期(数ヶ月～数年),チャート,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\13.html
三井金属(5706)の買い予想。 zinshirou さんの売買予想。 目標株価： 320円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,三井金属鉱業,2016/09/02,06:30,買い予想,zinshirouさん,31.98,213.0,+181.56,319,中期(数週間～数ヶ月),その他,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\14.html
三井金属(5706)の売り予想。 takumop さんの売買予想。 目標株価： 102円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い予想 長期 目標株価246円,三井金属鉱業,2016/08/24,04:58,売り予想,takumopさん,-87.54,205.0,-202.51,102,長期(数ヶ月～数年),個人投資家の予想,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\15.html
三井金属(5706)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 215円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成,三井金属鉱業,2016/06/30,22:27,買い予想,kouboudaisiさん,12.36,170.0,+299.41,215,中期(数週間～数ヶ月),個人投資家の予想,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\16.html
三井金属(5706)の買い予想。 rEgAIn さんの売買予想。 目標株価： 306円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想,三井金属鉱業,2016/05/01,03:22,買い予想,rEgAInさん,23.94,200.0,+211.84,306,長期(数ヶ月～数年),その他,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\17.html
三井金属(5706)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 213円 期間： 長期(数ヶ月～数年) 理由： その他 損切り分の買い直し,三井金属鉱業,2016/04/30,09:53,買い予想,37 　 工事中 !さん,57.65,200.0,+211.84,213,長期(数ヶ月～数年),その他,,350.0,04月09日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5706-三井金属鉱業/2017-04-09-12-16-43/comment\18.html
