0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三菱ケミカルホールディングス(4188)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,378円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,378円",三菱ケミカルホールディングス,2017/03/27,13:43,買い予想,twitter88さん,-0.95,846.9,-3.79,"1,378",長期(数ヶ月～数年),チャート,,836.6,04月08日,23:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\1.html
三菱ケミカルホールディングス(4188)の買い予想。 天津飯 さんの売買予想。 目標株価： 901円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価901円,三菱ケミカルホールディングス,2017/02/19,10:07,買い予想,天津飯さん,0.46,856.0,-6.77,901,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,836.6,04月08日,23:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\10.html
三菱ケミカルホールディングス(4188)の買い予想。 masahira さんの売買予想。 目標株価： 459円 期間： 長期(数ヶ月～数年) 理由： チャート チャート,三菱ケミカルホールディングス,2013/01/29,21:49,買い予想,masahiraさん,137.88,418.0,+284.08,459,長期(数ヶ月～数年),チャート,,836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\100.html
三菱ケミカルホールディングス(4188)の買い予想。 SPINEL さんの売買予想。 目標株価： 451円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,三菱ケミカルホールディングス,2012/12/25,19:49,買い予想,SPINELさん,217.77,412.0,+292.36,451,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\101.html
三菱ケミカルホールディングス(4188)の買い予想。 mikey さんの売買予想。 目標株価： 612円 期間： 長期(数ヶ月～数年) 理由： チャート かい,三菱ケミカルホールディングス,2012/12/25,15:02,買い予想,mikeyさん,-284.8,412.0,+292.36,612,長期(数ヶ月～数年),チャート,,836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\102.html
三菱ケミカルホールディングス(4188)の買い予想。 ゆうとと さんの売買予想。 目標株価： 586円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,三菱ケミカルホールディングス,2012/12/25,09:56,買い予想,ゆうととさん,294.75,420.0,+281.38,586,中期(数週間～数ヶ月),その他,,836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\103.html
三菱ケミカルホールディングス(4188)の買い予想。 アウディー さんの売買予想。 目標株価： 438円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,三菱ケミカルホールディングス,2012/12/19,14:37,買い予想,アウディーさん,84.46,400.0,+309.66,438,中期(数週間～数ヶ月),その他,,836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\104.html
三菱ケミカルホールディングス(4188)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 430円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,三菱ケミカルホールディングス,2012/12/19,06:13,買い予想,リサ・ランドールさん,137.27,393.0,+320.24,430,中期(数週間～数ヶ月),その他,,836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\105.html
三菱ケミカルホールディングス(4188)の買い予想。 バラの会 さんの売買予想。 目標株価： 422円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,三菱ケミカルホールディングス,2012/12/16,14:13,買い予想,バラの会さん,253.19,392.0,+321.79,422,中期(数週間～数ヶ月),チャート,地質改良技術は世界トップ,836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\106.html
三菱ケミカルホールディングス(4188)の買い予想。 t-oku さんの売買予想。 目標株価： 354円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三菱ケミカルホールディングス,2012/11/01,16:58,買い予想,t-okuさん,47.03,321.0,+455.86,354,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/11/01 01:42
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「339円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",836.6,04月08日,23:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4188-三菱ケミカルホールディングス/2017-04-08-23-13-30/comment\107.html
