0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三菱マテリアル(5711)の売り予想。 t-oku さんの売買予想。 目標株価： 2,265円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り",三菱マテリアル,2017/04/04,17:34,売り予想,t-okuさん,47.03,"3,260.0",+4.27,"2,264",中期(数週間～数ヶ月),個人投資家の予想,,"3,210.0",04月09日,12:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\1.html
"三菱マテリアル(5711)の買い予想。 ツータン さんの売買予想。 目標株価： 4,668円 期間： 短期(数分~数日) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",三菱マテリアル,2016/10/27,16:29,買い予想,ツータンさん,32.33,"2,955.0",+24.44,"4,668",短期(数分～数日),個人投資家の予想,"【株価分析結果】2016/10/27 03:02　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「5,291円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも高い為、相対比較の観点からは割安と判断されます。","3,210.0",04月09日,12:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\10.html
"三菱マテリアル(5711)の買い予想。 フォーナイン さんの売買予想。 目標株価： 3,150円 期間： 中期(数週間~数ヶ月) 理由： その他 電線＝銅",三菱マテリアル,2011/04/04,06:30,買い予想,フォーナインさん,42.85,"2,860.0",+34.69,"3,150",中期(数週間～数ヶ月),その他,,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\100.html
"三菱マテリアル(5711)の買い予想。 短期決戦 さんの売買予想。 目標株価： 3,000円 期間： 短期(数分~数日) 理由： その他 k",三菱マテリアル,2011/04/01,15:05,買い予想,短期決戦さん,131.46,"2,860.0",+34.69,"3,000",短期(数分～数日),その他,k,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\101.html
"三菱マテリアル(5711)の買い予想。 ちゃん９ さんの売買予想。 目標株価： 5,660円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",三菱マテリアル,2011/03/31,01:19,買い予想,ちゃん９さん,130.71,"2,880.0",+32.48,"5,660",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\102.html
"三菱マテリアル(5711)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： その他 買いヾ(^▽^)",三菱マテリアル,2011/03/19,22:56,買い予想,komko,268.64,"2,710.0",+52.36,"3,000",中期(数週間～数ヶ月),その他,,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\103.html
"三菱マテリアル(5711)の買い予想。 polopolo さんの売買予想。 目標株価： 2,720円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",三菱マテリアル,2011/03/18,11:09,買い予想,polopoloさん,78.56,"2,530.0",+76.31,"2,720",中期(数週間～数ヶ月),その他,,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\104.html
"三菱マテリアル(5711)の買い予想。 mkw**ks23 さんの売買予想。 目標株価： 3,600円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",三菱マテリアル,2011/02/22,00:13,買い予想,mkw**ks23さん,376.6,"3,080.0",+11.90,"3,600",短期(数分～数日),チャート,,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\105.html
"三菱マテリアル(5711)の買い予想。 momohiki2010 さんの売買予想。 目標株価： 4,170円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",三菱マテリアル,2011/02/14,09:38,買い予想,momohiki2010さん,876.89,"2,750.0",+47.46,"4,170",中期(数週間～数ヶ月),チャート,,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\106.html
"三菱マテリアル(5711)の買い予想。 catz さんの売買予想。 目標株価： 4,170円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",三菱マテリアル,2011/02/11,22:03,買い予想,catzさん,182.23,"2,800.0",+41.53,"4,170",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,210.0",04月09日,12:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5711-三菱マテリアル/2017-04-09-12-23-41/comment\107.html
