0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三菱倉庫(9301)の買い予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,530円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 5.8pk",三菱倉庫,2017/04/09,23:15,買い予想,７本ＤＭさん,0.86,"1,484.0",-4.98,"1,529",中期(数週間～数ヶ月),個人投資家の予想,,"1,458.0",04月10日,12:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\1.html
三菱倉庫(9301)の売り予想。 yozakura0401 さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,三菱倉庫,2013/10/30,22:12,売り予想,yozakura0401さん,32.5,"1,409.0",-10.29,700,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\10.html
"三菱倉庫(9301)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： その他 今日は調整/買いチャンス",三菱倉庫,2013/10/02,14:39,買い予想,37 　 工事中 !さん,57.65,"1,394.0",+13.05,"1,500",中期(数週間～数ヶ月),その他,,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\11.html
"三菱倉庫(9301)の買い予想。 tossyaki さんの売買予想。 目標株価： 1,656円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成",三菱倉庫,2013/08/03,14:45,買い予想,tossyakiさん,-21.68,"1,482.0",-4.60,"1,656",短期(数分～数日),イベント(増資／合弁・買収／分割等),,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\12.html
"三菱倉庫(9301)の売り予想。 WERD さんの売買予想。 目標株価： 1,310円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成",三菱倉庫,2013/07/29,23:25,売り予想,WERDさん,-109.54,"1,435.0",-4.95,"1,310",中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/07/27 02:34
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,060円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\13.html
"三菱倉庫(9301)の買い予想。 神輿 さんの売買予想。 目標株価： 1,569円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",三菱倉庫,2013/07/13,23:24,買い予想,神輿さん,13.22,"1,542.0",-15.49,"1,569",中期(数週間～数ヶ月),その他,,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\14.html
"三菱倉庫(9301)の買い予想。 dover さんの売買予想。 目標株価： 2,568円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",三菱倉庫,2013/06/27,13:39,買い予想,doverさん,75.34,"1,291.0",+36.78,"2,568",中期(数週間～数ヶ月),チャート,,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\15.html
"三菱倉庫(9301)の売り予想。 ナイルの庭 さんの売買予想。 目標株価： 1,695円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",三菱倉庫,2013/04/25,15:26,売り予想,ナイルの庭さん,295.42,"1,800.0",+53.71,"1,695",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\16.html
"三菱倉庫(9301)の買い予想。 たまたまだ さんの売買予想。 目標株価： 1,905円 期間： 中期(数週間~数ヶ月) 理由： その他 TPP合意",三菱倉庫,2013/04/20,17:06,買い予想,たまたまださん,-48.17,"1,759.0",-48.65,"1,905",中期(数週間～数ヶ月),その他,,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\17.html
三菱倉庫(9301)の売り予想。 短期決戦 さんの売買予想。 目標株価： 720円 期間： 長期(数ヶ月～数年) 理由： その他 u,三菱倉庫,2013/03/23,10:49,売り予想,短期決戦さん,131.46,"1,762.0",+48.73,720,長期(数ヶ月～数年),その他,u,"1,458.0",04月10日,12:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9301-三菱倉庫/2017-04-10-12-16-51/comment\18.html
