0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三菱商事(8058)の買い予想。 wrx.sti.gra さんの売買予想。 目標株価： 2,484円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 平均線より乖離大きい",三菱商事,2017/04/03,21:59,買い予想,wrx.sti.graさん,-0.36,"2,366.0",+9.61,"2,484",長期(数ヶ月～数年),個人投資家の予想,,"2,447.0",04月10日,03:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\1.html
"三菱商事(8058)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 3,825円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価3,825円",三菱商事,2017/02/26,15:31,買い予想,Newジェントルマンさん,-5.41,"2,550.0",-11.59,"3,825",中期(数週間～数ヶ月),その他,,"2,447.0",04月10日,03:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\10.html
"三菱商事(8058)の買い予想。 にゃん吉７ さんの売買予想。 目標株価： 2,650円 期間： 長期(数ヶ月～数年) 理由： チャート 買いに賛成",三菱商事,2014/06/11,07:34,買い予想,にゃん吉７さん,67.39,"2,042.0",+56.25,"2,650",長期(数ヶ月～数年),チャート,今が買い時？,"2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\100.html
"三菱商事(8058)の買い予想。 non.back.13 さんの売買予想。 目標株価： 2,465円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",三菱商事,2014/06/08,14:42,買い予想,non.back.13さん,51.5,"2,059.0",+53.44,"2,465",長期(数ヶ月～数年),その他,,"2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\101.html
"三菱商事(8058)の買い予想。 さいぼーぐ さんの売買予想。 目標株価： 2,112円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価2,107円",三菱商事,2014/06/06,14:19,買い予想,さいぼーぐさん,431.42,"2,048.0",+55.26,"2,112",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\102.html
"三菱商事(8058)の買い予想。 夢追小人 さんの売買予想。 目標株価： 2,033円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 総合商社",三菱商事,2014/05/13,20:58,買い予想,夢追小人さん,68.03,"1,979.0",+67.10,"2,033",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\103.html
"三菱商事(8058)の買い予想。 ☆くまもん☆ さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) レーティング【最上位を継続＋目標株価を増額】 (11月10日",三菱商事,2014/05/03,12:31,買い予想,☆くまもん☆さん,202.74,"1,852.0",+91.20,"2,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"11/10
ＰＥＲ ＰＢＲ 利回り 信用倍率 
9.3倍 0.70倍 3.07％ 6.17倍 

2,281.0円 前日比  +45.0 (+2.01%) 

レーティング【最上位を継続＋目標株価を増額】　(11月10日)
三菱商　　　　野村　　　　買い　　　　2950→3040　　　11/10


11/7
上期税引き前が12％増益で着地・7-9月期も59％増益

　11月7日後場(13:00)に決算(国際会計基準=IFRS)を発表。15年3月期第2四半期累計(4-9月)の連結税引き前利益は前年同期比11.7％増の3453億円に伸びた。
 　直近3ヵ月の実績である7-9月期(2Q)の連結税引き前利益は前年同期比58.8％増の1981億円に拡大した。


9/12
ＰＥＲ ＰＢＲ 利回り 信用倍率 
9.1倍 0.73倍 3.12％ 1.61倍 

2,242.5円　 +3.5 (+0.2％)　　　

 　12日付の朝刊で「アフリカで油田開発、事業費8000億円」と一部報じられたことが買い材料視された。


9/1
ＰＥＲ ＰＢＲ 利回り 信用倍率 
8.1倍 0.80倍 3.73％ 3.78倍 

1,717.0円 前日比  +21.0 (+1.24%) 

レーティング【最上位を継続＋目標株価を増額】
三菱商　　　　三菱ＵＦ　　強気　　　　2400→2550　　　9/1


8/27
ＰＥＲ ＰＢＲ 利回り 信用倍率 
8.9倍 0.71倍 3.20％ 2.28倍 

2,189.5円　 +4 (+0.2％)　　　

 　27日付の朝刊で「インドネシアで飲料事業、タイ大手と合弁」と一部報じられたことが買い材料視された。


8/21
ＰＥＲ ＰＢＲ 利回り 信用倍率 
8.9倍 0.71倍 3.20％ 2.28倍 

2,185.0円 前日比  +11.5 (+0.53%) 

レーティング【最上位を継続＋目標株価を増額】
三菱商　　　　ＪＰモル　　強気　　　　2510→2650　　　8/21


8/19
ＰＥＲ ＰＢＲ 利回り 信用倍率 
8.8倍 0.70倍 3.22％ 2.29倍 

2,172.0円 前日比  +21.0 (+0.98%) 

 　7日続伸。日経新聞が19日付で「日本企業がトルコを足がかりに、資源や潜在成長力で世界的に注目される中央アジア・カフカス地域の市場を開拓する動きが広がってきた」と報じ、そのなかで同社が紹介されていたことが買い材料視された。報道によると「三菱商事は18日、トルコの財閥と協力してトルクメニスタンで約13億ドル(約1330億円)の大型肥料プラントを受注した」とのこと。トルクメニスタンには天然ガスが豊富に埋蔵されており、天然ガスを原料とする肥料を生産するもよう。大型受注による業績への寄与に期待した買いが向かった。


8/8
レーティング【最上位を継続＋目標株価を増額】
三菱商　　　　野村　　　　買い　　　　2750→2950　　　8/8


8/7
ＰＥＲ ＰＢＲ 利回り 信用倍率 
8.6倍 0.69倍 3.30％ 1.76倍 

2,120.0円 前日比  -13.5 (-0.63%) 

4-6月期(1Q)税引き前は20％減益で着地

　8月7日後場(13:00)に決算(国際会計基準=IFRS)を発表。15年3月期第1四半期(4-6月)の連結税引き前利益は前年同期比20.2％減の1472億円に減った。


7/22 高値 年初来高値同
ＰＥＲ ＰＢＲ 利回り 信用倍率 
8.9倍 0.75倍 3.24％ 1.87倍 

2,161.5円　 +12.5 (+0.6％)　
　　
 　18日、発行済み株式数の1.78％にあたる2946万9000株の自社株を消却すると発表したことが買い手掛かり。需給改善や株式価値の向上といった株主還元が好感されたほか、株価浮揚策としてもポジティブに受け止められた。消却予定日は31日。



7/4 年初来高値更新 2169円
ＰＥＲ 8.9倍
ＰＢＲ 0.75倍
利回り 3.24％
信用倍率  1.76倍   

2,161円 前日比  +15 (+0.70%) 

レーティング【最上位を継続＋目標株価を増額】
三菱商　　　　　マッコリ　　強気　　　　2100→2500　　　7/4


7/2
エコ船舶にLNG燃料

6/27
ヨルダンで現地企業などと組み太陽光発電事業を始めると発表

6/19
サハリン2のLNG生産が20年までに1.5倍へ。


6/13
ＰＥＲ 8.6倍
ＰＢＲ  0.72倍
利回り 3.36％
信用倍率 2.32倍

2,084円 前日比  +14 (+0.68%) 

   シティでは投資判断を「２」から「１」に格上げ、目標株価も2200円から2500円に引き上げている。自社株買いなどによって、長期でＲＯＥ改善を目指す中計への期待度が高まったと評価している。なお、シティでは伊藤忠の投資判断も買い推奨に格上げ、一方で住友商事を格下げしている。総じて株主還元策が評価基準とされている格好。

レーティング【格上げ↑】　
三菱商　　　　　シティＧ　　中立→買い　2200→2500　　　6/13

レーティング【最上位を継続＋目標株価を増額】　
三菱商　　　　　三菱ＵＦ　　強気　　　　2200→2400　　　6/13

レーティング【最上位を継続】　
三菱商　　　　　Ｃスイス　　強気　　　　2500→2430　　　6/13


5/30
ＰＥＲ 8.3倍
ＰＢＲ 0.70倍
利回り  3.48％
信用倍率 3.95倍 

2,009円 前日比  -4 (-0.20%) 

レーティング【最上位を継続＋目標株価を増額】　
三菱商 　　　　みずほ　　　買い　　　　2500→2650　　　5/30


5/29
ＰＥＲ 8.3倍
ＰＢＲ 0.70倍
利回り 3.48％
信用倍率 3.95倍 

2,013円 前日比  -1 (-0.05%) 
豪資源事業の今期純利益は6倍強に。

レーティング【格上げ↑】
三菱商 　　　　ＪＰモル　　中立→強気　2000→2510　　　5/29


5/21
ＰＥＲ 8.2倍
ＰＢＲ 0.69倍
利回り 3.54％
信用倍率 5.81倍 

レーティング【最上位を継続＋目標株価を増額】　
三菱商 　　　　ＵＢＳ　　　買い　　　　2200→2400　　　5/21


1,978円　 +13 (+0.7％)　　　
 　21日付の朝刊で「アジアで病院事業、高度医療を輸出」と一部報じられたことが買い材料視された。


5/18
8日に発表された決算内容と株主還元姿勢はポジティブ・サプライズとして受け止められる。

 　14年3月期の実績は最終利益が前の期比23.5％増の4447億円となり、コンセンサス予想の4300億円レベルを上回って着地した。5100億円の資産売却を通じて400億円の一過性利益が含まれてはいるが、それを除外しても増益は確保した。資産売却は資産の入れ替えの結果であり、会社の方針としている非資源分野の収益貢献の向上として評価される。

 　一方、15年3月期の最終利益予想は前期比10％減の4000億円と公表され、コンセンサス予想の4200億円レベルを下回った。しかし、資源分野の原料炭価格が低迷している現下においてはネガティブと位置づける必要はないだろう。

 　むしろ、同時に発表された自社株買いと増配がポジティブに評価される。自社株買いの内容は4000万株、600億円を上限とするもので、会社側が打ち出している中長期のROEを12～15％に引き上げるという方針を裏付けるものと位置づけられる。また、15年3月期の配当金を10円の記念配を加え70円とした。これらは併せて株主還元姿勢の強化として前向きに捉えられよう。



レーティング【最上位を継続＋目標株価を増額】
三菱商  　　　　　野村　　　　買い　　　　2670→2750　　　5/9


自社株買いの実施を発表
 4,000万株を上限 600 億円を上限
(発行済株式総数（自己を除く）に対する割合 2.4%)
 取得期間 ：平成 26 年 5月 9日～平成 26 年 7月 31 日


今期最終は4000億円、前期配当を4円増額・今期は2円増配へ

　5月8日後場(13:00)に決算(米国会計基準)を発表。14年3月期の連結最終利益は前の期比23.5％増の4447億円に伸び、国際会計基準に移行する15年3月期は4000億円となる見通しとなった。
 　同時に、前期の年間配当を64円→68円(前の期は55円)に増額し、今期も前期比2円増の70円に増配する方針とした。

決算発表日 2014/05/08","2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\104.html
"三菱商事(8058)の売り予想。 東海の博打打ち さんの売買予想。 目標株価： 1,803円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対",三菱商事,2014/05/01,19:58,売り予想,東海の博打打ちさん,-3.56,"1,855.0",-90.90,"1,803",中期(数週間～数ヶ月),チャート,,"2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\105.html
"三菱商事(8058)の買い予想。 SNTVふぁん さんの売買予想。 目標株価： 2,472円 期間： 長期(数ヶ月～数年) 理由： その他 総合商社の強み発揮",三菱商事,2014/03/31,09:29,買い予想,SNTVふぁんさん,103.82,"1,911.0",+79.60,"2,472",長期(数ヶ月～数年),その他,次世代燃料に勝機,"2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\106.html
"三菱商事(8058)の買い予想。 RAiZ さんの売買予想。 目標株価： 2,442円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",三菱商事,2014/03/30,18:55,買い予想,RAiZさん,277.29,"1,891.0",+83.45,"2,442",長期(数ヶ月～数年),その他,"単元購入額30万円以下、時価総額1,000億円以上、低PER/PBR、三期平均経常利益成長率0％、ROE 5％以上、自己資本比率10％以上、配当利回り1％以上で検察した銘柄の一つ。
外部環境云々はあるものの、中長期投資として保有したい。","2,447.0",04月10日,03:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8058-三菱商事/2017-04-10-03-12-22/comment\107.html
