0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三菱地所(8802)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 2,000円 期間： 短期(数分~数日) 理由： チャート ･･･下げそう☆",三菱地所,2017/03/30,08:28,売り予想,ひとみん｡｡☆さん,0.86,"2,070.0",+4.18,"2,000",短期(数分～数日),チャート,,"2,041.0",04月10日,10:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\1.html
"三菱地所(8802)の買い予想。 魔女＆ジジの宅配便 さんの売買予想。 目標株価： 1,955円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 lkj",三菱地所,2016/06/19,09:51,買い予想,魔女＆ジジの宅配便さん,7.33,"1,880.5",+23.74,"1,954",中期(数週間～数ヶ月),個人投資家の予想,,"2,041.0",04月10日,10:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\10.html
"三菱地所(8802)の買い予想。 真一文字に邁進せよ！ さんの売買予想。 目標株価： 1,887円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",三菱地所,2010/12/01,20:03,買い予想,真一文字に邁進せよ！さん,5.26,"1,451.0",+114.93,"1,887",短期(数分～数日),チャート,,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\100.html
三菱地所(8802)の買い予想。 忍者株 さんの売買予想。 理由： その他 個人投資家の意見「売り」に反対,三菱地所,2010/10/29,17:50,買い予想,忍者株さん,777.79,"1,397.0",+130.37,--,,その他,,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\101.html
三菱地所(8802)の買い予想。 本当の噂 さんの売買予想。 理由： その他 個人投資家の意見「売り」に反対,三菱地所,2010/10/29,16:48,買い予想,本当の噂さん,153.27,"1,397.0",+130.37,--,,その他,,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\102.html
三菱地所(8802)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 期間： 中期(数週間~数ヶ月) 買い(’(エ)’) ,三菱地所,2010/10/15,09:38,買い予想,komko,268.64,"1,503.0",+101.12,--,中期(数週間～数ヶ月),,,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\103.html
"三菱地所(8802)の買い予想。 ライオンキング☆ノノノ さんの売買予想。 目標株価： 1,410円 期間： 短期(数分~数日) 理由： その他 株価診断結果「割安」に賛成",三菱地所,2010/09/19,19:32,買い予想,ライオンキング☆ノノノさん,185.54,"1,325.0",+152.91,"1,410",短期(数分～数日),その他,地価堅調により　戻り,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\104.html
"三菱地所(8802)の買い予想。 ツカジーコ さんの売買予想。 目標株価： 1,700円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",三菱地所,2010/08/19,21:01,買い予想,ツカジーコさん,238.78,"1,293.0",+163.73,"1,700",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\105.html
"三菱地所(8802)の買い予想。 ジャックブルー さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想！",三菱地所,2010/07/10,16:40,買い予想,ジャックブルーさん,630.31,"1,285.0",+166.52,"2,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),13年業績期待！買い予想！,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\106.html
"三菱地所(8802)の売り予想。 chaosism さんの売買予想。 目標株価： 1,210円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成",三菱地所,2010/06/27,20:01,売り予想,chaosismさん,-215.55,"1,301.0",-161.41,"1,210",中期(数週間～数ヶ月),チャート,,"2,039.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\107.html
"三菱地所(8802)の買い予想。 五合牛乳（ごんごうぎゅうにゅう） さんの売買予想。 目標株価： 1,500円 首都丸の内の護り！ 新築マンションから注文住宅まで多彩",三菱地所,2010/06/06,11:50,買い予想,五合牛乳（ごんごうぎゅうにゅう）さん,261.68,"1,343.0",+147.05,"1,500",,,好きな地所　　　医女　チャングム　イ・ヨンエ,"2,038.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\108.html
"三菱地所(8802)の買い予想。 wahaha2 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： チャート これも",三菱地所,2010/05/25,12:39,買い予想,wahaha2さん,47.47,"1,427.0",+121.65,"2,000",中期(数週間～数ヶ月),チャート,買いだと思います。,"2,038.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\109.html
"三菱地所(8802)の買い予想。 くまー さんの売買予想。 目標株価： 2,756円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",三菱地所,2016/06/09,02:26,買い予想,くまーさん,64.61,"2,044.5",-0.97,"2,756",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/06/08 04:22　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「2,315円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","2,041.0",04月10日,10:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\11.html
"三菱地所(8802)の買い予想。 堕落汚バマ さんの売買予想。 目標株価： 1,700円 期間： 中期(数週間~数ヶ月) 理由： その他 0",三菱地所,2010/04/13,13:06,買い予想,堕落汚バマさん,327.04,"1,578.0",+82.80,"1,700",中期(数週間～数ヶ月),その他,0,"2,038.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\110.html
"三菱地所(8802)の買い予想。 ＰＬＡＴＩＮＡ さんの売買予想。 目標株価： 1,712円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",三菱地所,2010/03/26,04:12,買い予想,ＰＬＡＴＩＮＡさん,372.23,"1,462.0",+111.93,"1,712",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/03/26 03:32
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,712円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","2,038.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\111.html
"三菱地所(8802)の買い予想。 ハリソン さんの売買予想。 目標株価： 1,700円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",三菱地所,2010/03/12,12:23,買い予想,ハリソンさん,212.55,"1,481.0",+213.70,"1,700",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/03/12 03:32
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,737円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","2,038.5",04月10日,10:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8802-三菱地所/2017-04-10-10-28-36/comment\112.html
