0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
三菱自動車工業(7211)の売り予想。 本気のくまにゃん さんの売買予想。 目標株価： 624円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想 長期 目標株価617円,三菱自動車工業,2017/03/22,14:44,売り予想,本気のくまにゃんさん,0.0,685.0,+5.81,624,長期(数ヶ月～数年),その他,,670.0,04月09日,23:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\1.html
三菱自動車工業(7211)の買い予想。 dover さんの売買予想。 目標株価： 762円 期間： 中期(数週間~数ヶ月) 理由： その他 .,三菱自動車工業,2017/02/22,12:14,買い予想,doverさん,75.34,725.0,-21.96,762,中期(数週間～数ヶ月),その他,,670.0,04月09日,23:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\10.html
三菱自動車工業(7211)の買い予想。 yutanpp さんの売買予想。 目標株価： 850円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想,三菱自動車工業,2016/05/30,12:06,買い予想,yutanppさん,-7.04,568.0,+50.56,850,長期(数ヶ月～数年),チャート,,670.0,04月09日,23:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\100.html
三菱自動車工業(7211)の買い予想。 yottshie さんの売買予想。 目標株価： 749円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割安」に賛成,三菱自動車工業,2016/05/26,22:46,買い予想,yottshieさん,-13.8,570.0,+49.38,748,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),"【株価分析結果】2016/05/26 03:45
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「816円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",670.0,04月09日,23:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\101.html
三菱自動車工業(7211)の買い予想。 すずからうえ さんの売買予想。 目標株価： 867円 期間： 長期(数ヶ月～数年) 理由： その他 買い！,三菱自動車工業,2016/05/26,14:52,買い予想,すずからうえさん,15.32,574.0,+47.06,867,長期(数ヶ月～数年),その他,,670.0,04月09日,23:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\102.html
三菱自動車工業(7211)の売り予想。 たけし2010 さんの売買予想。 目標株価： 531円 期間： 中期(数週間~数ヶ月) 理由： みんかぶポートフォリオ みんかぶポートフォリオから売りと予想,三菱自動車工業,2016/05/26,08:22,売り予想,たけし2010さん,-0.11,555.0,-59.43,530,中期(数週間～数ヶ月),みんかぶポートフォリオ,,670.0,04月09日,23:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\103.html
三菱自動車工業(7211)の買い予想。 toriplechao さんの売買予想。 目標株価： 607円 期間： 短期(数分~数日) 理由： その他 買い予想 短期 目標株価602円,三菱自動車工業,2016/05/25,22:45,買い予想,toriplechaoさん,59.43,555.0,+58.40,607,短期(数分～数日),その他,,670.0,04月09日,23:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\104.html
三菱自動車工業(7211)の買い予想。 Eyo4ta2 さんの売買予想。 目標株価： 820円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価813円,三菱自動車工業,2016/05/24,17:01,買い予想,Eyo4ta2さん,61.3,552.0,+60.27,820,中期(数週間～数ヶ月),チャート,,670.0,04月09日,23:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\105.html
三菱自動車工業(7211)の売り予想。 akihiro0409 さんの売買予想。 目標株価： 540円 期間： 中期(数週間~数ヶ月) 理由： みんかぶポートフォリオ みんかぶポートフォリオから売りと予想,三菱自動車工業,2016/05/19,10:30,売り予想,akihiro0409さん,7.25,554.0,-60.05,540,中期(数週間～数ヶ月),みんかぶポートフォリオ,,670.0,04月09日,23:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\106.html
三菱自動車工業(7211)の買い予想。 投資家ライダー さんの売買予想。 目標株価： 650円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,三菱自動車工業,2016/05/19,07:00,買い予想,投資家ライダーさん,29.83,550.0,+61.52,650,短期(数分～数日),業績(会社計画の修正発表を含む),,670.0,04月09日,23:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7211-三菱自動車工業/2017-04-09-23-15-09/comment\107.html
