概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
三菱重工業(7011)の買い予想。 hirogg1965 さんの売買予想。 目標株価： 546円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,三菱重工業,2017/04/09,19:14,買い予想,hirogg1965さん,9.02,成り行き ,,546,中期(数週間～数ヶ月),個人投資家の予想,,440.8,04月09日,20:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\1.html
三菱重工業(7011)の買い予想。 twitter88 さんの売買予想。 目標株価： 659円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価659円,三菱重工業,2017/03/27,14:42,買い予想,twitter88さん,-0.95,459.9,-12.42,659,長期(数ヶ月～数年),チャート,,440.8,04月09日,20:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\10.html
三菱重工業(7011)の買い予想。 東海の博打打ち さんの売買予想。 目標株価： 833円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三菱重工業,2015/09/22,20:30,買い予想,東海の博打打ちさん,-3.56,559.3,-60.75,833,短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2015/09/19 01:43
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「833円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",440.8,04月09日,20:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\100.html
三菱重工業(7011)の買い予想。 ひびっち さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三菱重工業,2015/09/01,23:20,買い予想,ひびっちさん,129.08,549.7,-56.85,700,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/09/01 01:42
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「846円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",440.8,04月09日,20:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\101.html
三菱重工業(7011)の買い予想。 kazuakig さんの売買予想。 目標株価： 760円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,三菱重工業,2015/08/31,19:44,買い予想,kazuakigさん,29.28,581.5,-69.29,760,長期(数ヶ月～数年),個人投資家の予想,,440.8,04月09日,20:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\102.html
三菱重工業(7011)の買い予想。 富士山五合目 さんの売買予想。 目標株価： 846円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三菱重工業,2015/08/25,00:48,買い予想,富士山五合目さん,54.66,552.5,-58.00,846,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2015/08/22 01:39　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「846円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。,440.8,04月09日,20:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\103.html
三菱重工業(7011)の買い予想。 カピバラ課長 さんの売買予想。 目標株価： 732円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成,三菱重工業,2015/08/16,15:00,買い予想,カピバラ課長さん,-69.37,646.4,-90.88,732,長期(数ヶ月～数年),チャート,,440.8,04月09日,20:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\104.html
三菱重工業(7011)の買い予想。 みほこうちゃん さんの売買予想。 目標株価： 752円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,三菱重工業,2015/08/14,00:00,買い予想,みほこうちゃんさん,-41.52,653.5,-92.98,752,中期(数週間～数ヶ月),チャート,,440.8,04月09日,20:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\105.html
三菱重工業(7011)の買い予想。 yozo913 さんの売買予想。 目標株価： 852円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三菱重工業,2015/08/02,04:14,買い予想,yozo913さん,-57.3,666.1,-96.60,852,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2015/08/01 01:41　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「852円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。,440.8,04月09日,20:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\106.html
"三菱重工業(7011)の買い予想。 黒猫Eddy さんの売買予想。 目標株価： 1,250円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買",三菱重工業,2015/07/30,22:40,買い予想,黒猫Eddyさん,37.23,660.0,-94.87,"1,250",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,440.8,04月09日,20:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7011-三菱重工業/2017-04-09-20-12-50/comment\107.html
