概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"三菱電機(6503)の買い予想。 りす栗 さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 理由： その他 ^^",三菱電機,2017/04/06,10:00,買い予想,りす栗さん,0.43,"1,569.5",-5.34,"1,600",中期(数週間～数ヶ月),その他,,"1,541.0",04月09日,15:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\1.html
"三菱電機(6503)の買い予想。 OKB48 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 防衛関連",三菱電機,2017/01/26,15:20,買い予想,OKB48さん,10.94,"1,764.0",-36.10,"2,000",中期(数週間～数ヶ月),個人投資家の予想,防衛関連の電機メーカーは三菱とNEC　まだ上がる,"1,541.0",04月09日,15:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\10.html
三菱電機(6503)の売り予想。 ﾓﾘﾌﾞﾃﾞﾝ さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 原発部品の需要激減,三菱電機,2011/09/29,18:32,売り予想,ﾓﾘﾌﾞﾃﾞﾝさん,32.92,695.0,-346.55,500,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,541.0",04月09日,15:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\100.html
三菱電機(6503)の買い予想。 seasonspage さんの売買予想。 目標株価： 748円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対,三菱電機,2011/08/20,21:23,買い予想,seasonspageさん,346.4,725.0,+319.66,748,短期(数分～数日),チャート,検証中,"1,541.0",04月09日,15:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\101.html
三菱電機(6503)の買い予想。 ゆうまいん さんの売買予想。 目標株価： 844円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,三菱電機,2011/08/16,22:45,買い予想,ゆうまいんさん,617.67,795.0,+266.47,844,中期(数週間～数ヶ月),チャート,,"1,541.0",04月09日,15:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\102.html
三菱電機(6503)の買い予想。 株式投資博士 さんの売買予想。 目標株価： 890円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,三菱電機,2011/08/12,17:01,買い予想,株式投資博士さん,230.83,808.0,+257.61,890,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2011/08/12 03:44
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「890円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","1,541.0",04月09日,15:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\103.html
三菱電機(6503)の買い予想。 上昇トレンド さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： チャート 買い,三菱電機,2011/08/07,08:01,買い予想,上昇トレンドさん,404.82,854.0,+228.42,600,長期(数ヶ月～数年),チャート,,"1,541.0",04月09日,15:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\104.html
三菱電機(6503)の売り予想。 ２０A さんの売買予想。 目標株価： 850円 期間： 短期(数分~数日) 理由： その他 ７月半ばは売り,三菱電機,2011/07/12,18:36,売り予想,２０Aさん,-269.36,917.0,-193.81,850,短期(数分～数日),その他,,"1,541.0",04月09日,15:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\105.html
"三菱電機(6503)の買い予想。 nmamo さんの売買予想。 目標株価： 1,209円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",三菱電機,2011/06/30,19:28,買い予想,nmamoさん,237.7,939.0,+182.00,"1,209",長期(数ヶ月～数年),チャート,,"1,541.0",04月09日,15:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\106.html
三菱電機(6503)の買い予想。 mkw**ks23 さんの売買予想。 目標株価： 847円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,三菱電機,2011/05/12,21:43,買い予想,mkw**ks23さん,376.6,879.0,+213.83,847,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,541.0",04月09日,15:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6503-三菱電機/2017-04-09-15-45-11/comment\107.html
