0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"三越伊勢丹ホールディングス(3099)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 1,400円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",三越伊勢丹ホールディングス,2017/04/05,11:05,買い予想,kouboudaisiさん,12.36,"1,191.0",-0.47,"1,400",中期(数週間～数ヶ月),個人投資家の予想,,"1,190.0",04月08日,20:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\1.html
"三越伊勢丹ホールディングス(3099)の買い予想。 めっし飯 さんの売買予想。 目標株価： 1,203円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",三越伊勢丹ホールディングス,2016/11/22,15:24,買い予想,めっし飯さん,-21.46,"1,287.0",-21.65,"1,203",長期(数ヶ月～数年),チャート,,"1,190.0",04月08日,20:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\10.html
三越伊勢丹ホールディングス(3099)の売り予想。 hiro3632 さんの売買予想。 目標株価： 720円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対,三越伊勢丹ホールディングス,2012/01/29,00:48,売り予想,hiro3632さん,81.09,849.0,-114.54,720,短期(数分～数日),チャート,,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\100.html
"三越伊勢丹ホールディングス(3099)の買い予想。 star さんの売買予想。 目標株価： 1,614円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",三越伊勢丹ホールディングス,2012/01/02,16:36,買い予想,starさん,115.71,818.0,+128.97,"1,614",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),年始は大盛況だったようです,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\101.html
三越伊勢丹ホールディングス(3099)の買い予想。 てふてふ党人 さんの売買予想。 目標株価： 798円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) kai,三越伊勢丹ホールディングス,2011/11/30,23:58,買い予想,てふてふ党人さん,193.14,757.0,+162.27,798,中期(数週間～数ヶ月),配当(株主優待を含む),暫く保持しておきたい｡,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\102.html
三越伊勢丹ホールディングス(3099)の売り予想。 Good Luck さんの売買予想。 目標株価： 722円 期間： 長期(数ヶ月～数年) 理由： その他 どうかな？,三越伊勢丹ホールディングス,2011/11/11,04:21,売り予想,Good Luckさん,-3.57,798.0,-140.04,722,長期(数ヶ月～数年),その他,当分もってたらさがってそう｡,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\103.html
三越伊勢丹ホールディングス(3099)の買い予想。 吉吉 さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 株価診断結果「割高」に反対,三越伊勢丹ホールディングス,2011/11/09,15:37,買い予想,吉吉さん,244.65,804.0,+136.16,900,中期(数週間～数ヶ月),配当(株主優待を含む),"【株価分析結果】2011/11/09 01:19
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「804円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。

","1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\104.html
"三越伊勢丹ホールディングス(3099)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： その他 買い",三越伊勢丹ホールディングス,2011/11/03,21:29,買い予想,goodknight1987さん,319.77,808.0,+134.08,"1,000",長期(数ヶ月～数年),その他,,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\105.html
三越伊勢丹ホールディングス(3099)の買い予想。 yosi_0701 さんの売買予想。 目標株価： 820円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,三越伊勢丹ホールディングス,2011/10/17,13:15,買い予想,yosi_0701さん,74.93,780.0,+149.10,820,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\106.html
三越伊勢丹ホールディングス(3099)の買い予想。 福之神 さんの売買予想。 目標株価： 804円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです,三越伊勢丹ホールディングス,2011/10/13,18:30,買い予想,福之神さん,287.47,787.0,+145.25,804,中期(数週間～数ヶ月),チャート,買い。http://yoseyo.net/3/3099/,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\107.html
三越伊勢丹ホールディングス(3099)の買い予想。 ポンデル さんの売買予想。 目標株価： 796円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,三越伊勢丹ホールディングス,2011/08/14,19:21,買い予想,ポンデルさん,393.28,791.0,+143.07,796,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,190.0",04月08日,21:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3099-三越伊勢丹ホールディングス/2017-04-08-20-57-05/comment\108.html
