0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"中外製薬(4519)の買い予想。 twitter88 さんの売買予想。 目標株価： 4,615円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価4,613円",中外製薬,2017/03/27,14:14,買い予想,twitter88さん,-0.95,"3,860.0",-0.44,"4,615",長期(数ヶ月～数年),チャート,,"3,855.0",04月09日,00:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\1.html
"中外製薬(4519)の買い予想。 まやのり さんの売買予想。 目標株価： 3,450円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い",中外製薬,2016/11/26,10:24,買い予想,まやのりさん,7.0,"3,230.0",+54.93,"3,450",短期(数分～数日),個人投資家の予想,,"3,855.0",04月09日,00:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\10.html
"中外製薬(4519)の買い予想。 mackey0901 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) やはりタミフル",中外製薬,2009/10/21,22:45,買い予想,mackey0901さん,147.29,"1,795.0",+326.18,"2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),国内需要を満たした後は海外への援助になりでしょう。,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\100.html
"中外製薬(4519)の買い予想。 zenkoutaka さんの売買予想。 目標株価： 1,900円 期間： 中期(数週間~数ヶ月) これからの季節から",中外製薬,2009/10/18,04:50,買い予想,zenkoutakaさん,242.34,"1,810.0",+321.12,"1,900",中期(数週間～数ヶ月),,,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\101.html
"中外製薬,4519,CHUGAIPHARMACEUTICAL,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",中外製薬,2009/10/16,20:57,買い予想,ボボボさん,197.0,"1,810.0",+321.12,--,,,　,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\102.html
"中外製薬(4519)の買い予想。 てくてく1212 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) ｶｲ",中外製薬,2009/10/08,06:26,買い予想,てくてく1212さん,327.01,"1,783.0",+330.29,"2,000",中期(数週間～数ヶ月),,,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\103.html
"中外製薬(4519)の買い予想。 brian1217 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) タミフルー",中外製薬,2009/10/07,20:28,買い予想,brian1217さん,233.63,"1,783.0",+330.29,"2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),タミフルー,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\104.html
"中外製薬(4519)の買い予想。 winpunter さんの売買予想。 目標株価： 2,100円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 上方修正まちがいなし",中外製薬,2009/10/01,13:20,買い予想,winpunterさん,312.59,"1,843.0",+310.28,"2,100",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),第３四半期（7～9）の業績発表が待ち遠しい！,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\105.html
"中外製薬,4519,CHUGAIPHARMACEUTICAL,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",中外製薬,2009/09/09,11:02,買い予想,大鳥居さん,258.64,"1,843.0",+310.28,--,中期(数週間～数ヶ月),,,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\106.html
"中外製薬(4519)の買い予想。 桜吹雪@ さんの売買予想。 目標株価： 2,075円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",中外製薬,2009/09/08,20:02,買い予想,桜吹雪@さん,189.75,"1,850.0",+308.03,"2,075",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,855.0",04月09日,00:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4519-中外製薬/2017-04-09-00-21-02/comment\107.html
