0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"中部電力(9502)の買い予想。 オコタンミッキー さんの売買予想。 目標株価： 1,632円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",中部電力,2017/03/07,11:45,買い予想,オコタンミッキーさん,13.31,"1,482.0",-4.98,"1,632",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,456.5",04月10日,14:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\1.html
"中部電力(9502)の買い予想。 閑野 考証 さんの売買予想。 目標株価： 1,546円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価1,506円",中部電力,2016/08/10,15:26,買い予想,閑野　考証さん,-4.76,"1,351.5",+21.98,"1,546",中期(数週間～数ヶ月),チャート,,"1,456.5",04月10日,14:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\10.html
"中部電力(9502)の買い予想。 yochan2580 さんの売買予想。 目標株価： 1,680円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",中部電力,2011/06/29,09:20,買い予想,yochan2580さん,13.42,"1,541.0",-15.68,"1,680",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/06/29 04:13
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,680円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","1,457.5",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\100.html
"中部電力(9502)の買い予想。 aggressive-5 さんの売買予想。 目標株価： 1,621円 期間： 中期(数週間~数ヶ月) 理由： その他 割安",中部電力,2011/06/26,16:01,買い予想,aggressive-5さん,26.31,"1,486.0",-5.74,"1,621",中期(数週間～数ヶ月),その他,"割安であり原発再開、政府支援に期待
国民のヒステリー収束期待","1,457.5",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\101.html
"中部電力(9502)の買い予想。 yfokmkr さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 2000目標",中部電力,2011/06/20,19:44,買い予想,yfokmkrさん,169.98,"1,430.0",+5.17,"2,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"電力がなきゃ、国家は成り立たんよ

http://keizaikeizai.seesaa.net/article/210864588.html","1,457.5",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\102.html
"中部電力(9502)の売り予想。 keitaisa2009 さんの売買予想。 目標株価： 1,150円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成",中部電力,2011/06/18,16:30,売り予想,keitaisa2009さん,502.48,"1,420.0",-7.60,"1,150",中期(数週間～数ヶ月),チャート,,"1,457.5",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\103.html
"中部電力(9502)の買い予想。 短期決戦 さんの売買予想。 目標株価： 1,300円 期間： 短期(数分~数日) 理由： その他 k",中部電力,2011/06/14,13:22,買い予想,短期決戦さん,131.46,"1,256.0",+45.28,"1,300",短期(数分～数日),その他,k,"1,458.0",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\104.html
"中部電力(9502)の買い予想。 ライオンキング☆ノノノ さんの売買予想。 目標株価： 1,287円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",中部電力,2011/06/12,09:34,買い予想,ライオンキング☆ノノノさん,185.54,"1,123.0",+84.32,"1,287",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【,"1,458.0",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\105.html
"中部電力(9502)の買い予想。 キラア さんの売買予想。 目標株価： 1,244円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",中部電力,2011/06/09,23:26,買い予想,キラアさん,55.59,"1,143.0",+77.86,"1,244",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/06/09 03:39
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,310円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","1,458.0",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\106.html
"中部電力(9502)の買い予想。 ceh*734* さんの売買予想。 目標株価： 1,643円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",中部電力,2011/05/26,20:46,買い予想,ceh*734*さん,92.76,"1,259.0",+44.49,"1,643",中期(数週間～数ヶ月),チャート,,"1,458.0",04月10日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9502-中部電力/2017-04-10-14-13-34/comment\107.html
