0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"丸井グループ(8252)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 2,343円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価2,343円",丸井グループ,2017/02/26,14:33,買い予想,Newジェントルマンさん,-5.41,"1,558.0",-14.05,"2,343",中期(数週間～数ヶ月),その他,,"1,482.0",04月10日,03:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\1.html
"丸井グループ(8252)の買い予想。 544 さんの売買予想。 目標株価： 1,750円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) ヤフーニュースで見て",丸井グループ,2016/02/21,23:31,買い予想,544さん,18.65,"1,475.0",+1.15,"1,750",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,482.0",04月10日,03:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\10.html
"丸井グループ(8252)の買い予想。 toom620 さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",丸井グループ,2016/02/21,20:11,買い予想,toom620さん,31.6,"1,475.0",+1.15,"1,800",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\11.html
"丸井グループ(8252)の売り予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 1,928円 期間： 短期(数分~数日) 理由： その他 sd",丸井グループ,2015/12/30,20:51,売り予想,ファミリア、マクハリさん,148.36,"1,968.0",+70.07,"1,928",短期(数分～数日),その他,,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\12.html
丸井グループ(8252)の売り予想。 松岡政也 さんの売買予想。 目標株価： 915円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,丸井グループ,2015/12/16,19:40,売り予想,松岡政也さん,-25.38,"1,875.0",+59.45,914,長期(数ヶ月～数年),その他,,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\13.html
"丸井グループ(8252)の買い予想。 hystericman さんの売買予想。 目標株価： 2,481円 期間： 長期(数ヶ月～数年) 理由： その他 中～長期で見ていくといいでしょう！ここはオススメ！！",丸井グループ,2015/11/10,19:16,買い予想,hystericmanさん,114.48,"1,728.0",-40.64,"2,481",長期(数ヶ月～数年),その他,,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\14.html
"丸井グループ(8252)の買い予想。 pinksapphire さんの売買予想。 目標株価： 1,912円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",丸井グループ,2015/10/08,13:22,買い予想,pinksapphireさん,40.24,"1,463.0",+3.49,"1,912",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\15.html
丸井グループ(8252)の売り予想。 短期決戦 さんの売買予想。 目標株価： 300円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 売り転。,丸井グループ,2015/08/30,08:57,売り予想,短期決戦さん,131.46,"1,467.0",-3.10,300,長期(数ヶ月～数年),個人投資家の予想,,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\16.html
"丸井グループ(8252)の買い予想。 鏡花 さんの売買予想。 目標株価： 1,911円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",丸井グループ,2015/07/03,13:13,買い予想,鏡花さん,-60.01,"1,741.0",-42.46,"1,910",中期(数週間～数ヶ月),個人投資家の予想,,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\17.html
"丸井グループ(8252)の買い予想。 株好子 さんの売買予想。 目標株価： 1,978円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価1,978円",丸井グループ,2015/06/10,08:48,買い予想,株好子さん,-35.09,"1,547.0",-12.13,"1,978",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,482.0",04月10日,03:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8252-丸井グループ/2017-04-10-03-43-22/comment\18.html
