概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
丸紅(8002)の買い予想。 コールラビ さんの売買予想。 目標株価： 740円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,丸紅,2017/04/08,08:23,買い予想,コールラビさん,7.48,成り行き ,,740,中期(数週間～数ヶ月),個人投資家の予想,,682.3,04月10日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\1.html
丸紅(8002)の買い予想。 okuhide さんの売買予想。 目標株価： 750円 期間： 中期(数週間~数ヶ月) 理由： その他 まだ売り残大量,丸紅,2017/02/18,07:39,買い予想,okuhideさん,-14.78,725.0,-17.14,750,中期(数週間～数ヶ月),その他,,682.3,04月10日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\10.html
丸紅(8002)の買い予想。 Russian Blue さんの売買予想。 目標株価： 801円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価800円,丸紅,2015/01/28,09:01,買い予想,Russian Blueさん,45.58,667.0,+6.09,801,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,682.3,04月10日,02:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\100.html
丸紅(8002)の買い予想。 リッキィ さんの売買予想。 目標株価： 789円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,丸紅,2015/01/28,01:27,買い予想,リッキィさん,-51.13,668.0,+5.66,789,中期(数週間～数ヶ月),個人投資家の予想,,682.3,04月10日,02:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\101.html
丸紅(8002)の買い予想。 りょーさん さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,丸紅,2015/01/27,12:45,買い予想,りょーさんさん,-53.71,663.0,+7.84,800,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2015/01/27 02:31　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「755円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,682.3,04月10日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\102.html
丸紅(8002)の買い予想。 祐子 さんの売買予想。 目標株価： 735円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価733円,丸紅,2015/01/27,10:19,買い予想,祐子さん,13.43,659.7,+9.31,735,中期(数週間～数ヶ月),その他,,682.3,04月10日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\103.html
丸紅(8002)の売り予想。 finale さんの売買予想。 目標株価： 550円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) しばらく様子見。,丸紅,2015/01/26,22:44,売り予想,finaleさん,145.04,656.0,-11.83,550,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,682.3,04月10日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\104.html
"丸紅(8002)の買い予想。 TheJCG さんの売買予想。 目標株価： 1,058円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",丸紅,2015/01/23,14:48,買い予想,TheJCGさん,30.06,703.7,-9.05,"1,057",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,682.3,04月10日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\105.html
丸紅(8002)の買い予想。 nx1980 さんの売買予想。 目標株価： 800円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い予想 長期 目標株価800円,丸紅,2015/01/19,17:16,買い予想,nx1980さん,6.87,680.0,+0.54,800,長期(数ヶ月～数年),個人投資家の予想,,682.3,04月10日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\106.html
丸紅(8002)の買い予想。 良さん さんの売買予想。 目標株価： 750円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,丸紅,2014/12/23,21:29,買い予想,良さんさん,5.63,720.0,-15.28,750,中期(数週間～数ヶ月),個人投資家の予想,,682.3,04月10日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8002-丸紅/2017-04-10-02-10-25/comment\107.html
