0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"京セラ(6971)の売り予想。 Toshi928 さんの売買予想。 目標株価： 5,457円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価5,428円",京セラ,2017/04/08,00:59,売り予想,Toshi928さん,0.57,成り行き ,,"5,457",中期(数週間～数ヶ月),チャート,,"6,002.0",04月09日,19:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\1.html
"京セラ(6971)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 4,135円 期間： 長期(数ヶ月～数年) 理由： チャート 2017",京セラ,2017/01/05,16:22,売り予想,エグゼクティブ・まっちさん,-14.13,"5,884.0",-5.75,"4,134",長期(数ヶ月～数年),チャート,,"6,002.0",04月09日,19:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\10.html
"京セラ(6971)の買い予想。 ｾﾙﾃｨ さんの売買予想。 目標株価： 4,300円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",京セラ,2010/06/23,21:57,買い予想,ｾﾙﾃｨさん,374.48,"3,820.0",+162.35,"4,300",中期(数週間～数ヶ月),その他,,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\100.html
"京セラ(6971)の買い予想。 B－BOAT さんの売買予想。 目標株価： 4,750円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",京セラ,2010/06/16,20:04,買い予想,B－BOATさん,167.48,"4,050.0",+136.98,"4,750",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\101.html
"京セラ(6971)の買い予想。 tmck_a さんの売買予想。 目標株価： 5,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",京セラ,2010/06/15,00:25,買い予想,tmck_aさん,126.88,"3,965.0",+146.01,"5,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\102.html
"京セラ,6971,KYOCERA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",京セラ,2010/06/01,07:18,買い予想,うさみみさん,529.46,"3,945.0",+148.19,"5,000",,,,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\103.html
"京セラ,6971,KYOCERA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",京セラ,2010/05/22,22:04,買い予想,おこげさん,529.46,"4,030.0",+139.07,"5,000",,,,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\104.html
"京セラ(6971)の買い予想。 五合牛乳（ごんごうぎゅうにゅう） さんの売買予想。 目標株価： 4,500円 京セラドーム大阪にてセパ交流戦開催中！",京セラ,2010/05/18,15:21,買い予想,五合牛乳（ごんごうぎゅうにゅう）さん,261.68,"4,150.0",+126.83,"4,500",,,好きなモリ　　タモリ　稲盛　おばちゃま,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\105.html
京セラ(6971)の売り予想。 宮ちゃん さんの売買予想。 目標株価： 107円 期間： 短期(数分~数日) 0,京セラ,2010/04/27,22:38,売り予想,宮ちゃんさん,353.98,"4,755.0",-74.63,106,短期(数分～数日),,,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\106.html
"京セラ(6971)の売り予想。 midoriotake さんの売買予想。 目標株価： 4,500円 期間： 中期(数週間~数ヶ月) 理由： チャート uri",京セラ,2010/03/28,14:57,売り予想,midoriotakeさん,-7.0,"4,500.0",-94.97,"4,500",中期(数週間～数ヶ月),チャート,,"6,002.0",04月09日,19:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6971-京セラ/2017-04-09-19-41-14/comment\107.html
