概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"京成電鉄(9009)の買い予想。 twitter88 さんの売買予想。 目標株価： 3,438円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価3,437円",京成電鉄,2017/03/27,16:47,買い予想,twitter88さん,-0.95,"2,679.0",-2.12,"3,438",長期(数ヶ月～数年),チャート,,"2,639.0",04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\1.html
京成電鉄(9009)の売り予想。 短期決戦 さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 売り転。,京成電鉄,2015/08/30,08:43,売り予想,短期決戦さん,131.46,"2,640.0",-2.26,600,長期(数ヶ月～数年),個人投資家の予想,,"2,639.0",04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\10.html
"京成電鉄(9009)の売り予想。 グスクマン さんの売買予想。 目標株価： 2,923円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",京成電鉄,2015/03/12,09:38,売り予想,グスクマンさん,-19.94,"3,270.0",+52.95,"2,923",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,639.0",04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\11.html
"京成電鉄(9009)の買い予想。 片山 さんの売買予想。 目標株価： 3,448円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",京成電鉄,2015/03/10,11:27,買い予想,片山さん,-67.64,"3,276.0",-53.55,"3,448",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/03/10 01:52
　割高

","2,639.0",04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\12.html
"京成電鉄(9009)の買い予想。 JC-120 さんの売買予想。 目標株価： 3,392円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,696円",京成電鉄,2015/01/12,22:56,買い予想,JC-120さん,36.73,"2,924.0",-25.77,"3,392",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,639.0",04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\13.html
"京成電鉄(9009)の買い予想。 ☆くまもん☆ さんの売買予想。 目標株価： 2,400円 期間： 中期(数週間~数ヶ月) 理由： その他 レーティング【2段階格上げ↑】 ",京成電鉄,2014/04/30,11:51,買い予想,☆くまもん☆さん,202.74,"1,762.0",+144.76,"2,400",中期(数週間～数ヶ月),その他,"決算発表予定日  2014/10/31

10/10
ＰＥＲ ＰＢＲ 利回り 信用倍率 
18.3倍 1.65倍 0.52％ 0.45倍 

1,156円 前日比  +36 (+3.21%) 


10/9
レーティング【2段階格上げ↑】　
京成　　　　　メリル　　　売り→買い　1400　　　　　　10/9


9/30
レーティング【格上げ↑】　
京成　　　　　野村　　　　中立→買い　940→1300　　　 9/30


7/31
4-6月期(1Q)経常は2％減益も対上期進捗は過去平均を超過

　7月31日大引け後(15:00)に決算を発表。15年3月期第1四半期(4-6月)の連結経常利益は前年同期比2.1％減の96.2億円となり、4-9月期(上期)計画の156億円に対する進捗率は61.7％に達し、5年平均の47.2％も上回った。
 　直近3ヵ月の実績である4-6月期(1Q)の売上営業利益率は前年同期の11.8％→10.7％に悪化した。


4/30
今期経常は13％減益へ

　4月30日後場(14:30)に決算を発表。14年3月期の連結経常利益は前の期比20.8％増の369億円に伸びたが、15年3月期は前期比13.2％減の321億円に減る見通しとなった。

","2,639.0",04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\14.html
"京成電鉄(9009)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 1,934円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。",京成電鉄,2013/12/06,14:20,買い予想,地球猛獣群さん,72.7,"1,882.0",+117.40,"1,934",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,639.0",04月10日,10:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\15.html
"京成電鉄(9009)の買い予想。 kano さんの売買予想。 目標株価： 2,664円 期間： 中期(数週間~数ヶ月) 理由： チャート BUY",京成電鉄,2013/09/09,11:06,買い予想,kanoさん,-7.78,"2,050.0",+84.47,"2,664",中期(数週間～数ヶ月),チャート,,"2,639.0",04月10日,10:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\16.html
"京成電鉄(9009)の買い予想。 ダテマキ さんの売買予想。 目標株価： 1,866円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",京成電鉄,2013/06/05,07:19,買い予想,ダテマキさん,34.6,"1,696.0",+161.46,"1,866",中期(数週間～数ヶ月),チャート,,"2,639.0",04月10日,10:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\17.html
"京成電鉄(9009)の売り予想。 WERD さんの売買予想。 目標株価： 1,254円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成",京成電鉄,2013/04/25,01:10,売り予想,WERDさん,-109.54,"2,070.0",-81.18,"1,254",中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/04/24 02:40
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「627円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","2,639.0",04月10日,10:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9009-京成電鉄/2017-04-10-10-51-21/comment\18.html
