概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"京王電鉄(9008)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 1,361円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価1,331円",京王電鉄,2017/02/26,15:52,買い予想,Newジェントルマンさん,-5.41,877.0,+4.21,"1,361",中期(数週間～数ヶ月),その他,,885.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\1.html
京王電鉄(9008)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 671円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。,京王電鉄,2013/12/06,14:43,買い予想,地球猛獣群さん,72.7,653.0,+103.20,671,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\10.html
京王電鉄(9008)の売り予想。 WERD さんの売買予想。 目標株価： 592円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,京王電鉄,2013/05/29,07:41,売り予想,WERDさん,-109.54,710.0,-72.89,592,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/05/29 02:40
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「592円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
",884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\11.html
京王電鉄(9008)の買い予想。 短期決戦 さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： その他 k,京王電鉄,2013/03/17,13:48,買い予想,短期決戦さん,131.46,800.0,+31.99,900,中期(数週間～数ヶ月),その他,ｋ,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\12.html
京王電鉄(9008)の売り予想。 ・・・・・・・・888・・・・・・・・ さんの売買予想。 目標株価： 619円 期間： 長期(数ヶ月～数年) 理由： チャート 売り,京王電鉄,2013/01/07,08:45,売り予想,・・・・・・・・888・・・・・・・・さん,-201.63,650.0,-105.86,619,長期(数ヶ月～数年),チャート,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\13.html
京王電鉄(9008)の売り予想。 きたあじ さんの売買予想。 目標株価： 591円 期間： 中期(数週間~数ヶ月) 理由： チャート _M_,京王電鉄,2012/12/25,15:55,売り予想,きたあじさん,-334.55,627.0,-120.18,591,中期(数週間～数ヶ月),チャート,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\14.html
京王電鉄(9008)の買い予想。 アジア さんの売買予想。 目標株価： 591円 期間： 中期(数週間~数ヶ月) 理由： その他 k,京王電鉄,2012/07/23,14:35,買い予想,アジアさん,609.13,573.0,+157.31,591,中期(数週間～数ヶ月),その他,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\15.html
京王電鉄(9008)の買い予想。 moko♡ さんの売買予想。 目標株価： 557円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,京王電鉄,2012/06/04,10:30,買い予想,moko♡さん,338.94,535.0,+188.68,557,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

ヨコヨコだね 
　(＊^_-＊)~♡ 
",884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\16.html
京王電鉄(9008)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 550円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,京王電鉄,2012/05/30,03:01,買い予想,【ランキング１位】神様【５冠王】さん,591.12,532.0,+191.35,550,長期(数ヶ月～数年),その他,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\17.html
京王電鉄(9008)の買い予想。 むかちゃん さんの売買予想。 目標株価： 536円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,京王電鉄,2011/12/18,12:44,買い予想,むかちゃんさん,505.28,536.0,+187.80,536,短期(数分～数日),業績(会社計画の修正発表を含む),,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\18.html
京王電鉄(9008)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,京王電鉄,2011/11/02,22:46,買い予想,goodknight1987さん,319.77,534.0,+189.57,600,中期(数週間～数ヶ月),その他,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\19.html
京王電鉄(9008)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 673円 期間： 長期(数ヶ月～数年) 理由： チャート 2017,京王電鉄,2017/01/02,10:13,売り予想,エグゼクティブ・まっちさん,-14.13,971.0,+23.13,672,長期(数ヶ月～数年),チャート,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\2.html
京王電鉄(9008)の買い予想。 birdｅｙｅ さんの売買予想。 目標株価： 834円 期間： 長期(数ヶ月～数年) 理由： チャート 沿線開発,京王電鉄,2011/10/01,13:48,買い予想,birdｅｙｅさん,376.24,550.0,+175.78,834,長期(数ヶ月～数年),チャート,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\20.html
京王電鉄(9008)の買い予想。 yoc1234 さんの売買予想。 目標株価： 458円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,京王電鉄,2011/06/17,09:41,買い予想,yoc1234さん,458.15,416.0,+324.00,458,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/06/17 04:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「560円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\21.html
京王電鉄(9008)の買い予想。 トルテ さんの売買予想。 目標株価： 535円 期間： 中期(数週間~数ヶ月) 理由： その他 京王電鉄は買い,京王電鉄,2011/04/04,06:16,買い予想,トルテさん,291.1,486.0,+236.38,535,中期(数週間～数ヶ月),その他,この企業は堅実です。　短期的には買えませんが、中長期的には買いだと思います。,884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\22.html
京王電鉄(9008)の買い予想。 Soomin さんの売買予想。 目標株価： 520円 期間： 中期(数週間~数ヶ月) 理由： チャート 京王電鉄,京王電鉄,2011/03/31,12:46,買い予想,Soominさん,544.4,496.0,+225.88,520,中期(数週間～数ヶ月),チャート,,884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\23.html
京王電鉄(9008)の買い予想。 shonmao さんの売買予想。 目標株価： 705円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,京王電鉄,2011/03/18,00:05,買い予想,shonmaoさん,234.38,465.0,+259.89,705,短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/03/17 03:38
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「705円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\24.html
"京王電鉄,9008,Keio,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",京王電鉄,2010/11/10,12:56,売り予想,空飛ぶ モンティ・パイさん,-418.66,569.0,-161.42,--,,,藤原紀香？,884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\25.html
"京王電鉄,9008,Keio,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",京王電鉄,2010/06/03,13:01,買い予想,mikeyさん,-284.8,557.0,+170.00,--,中期(数週間～数ヶ月),,,884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\26.html
京王電鉄(9008)の買い予想。 えとー さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 平和に,京王電鉄,2008/11/29,00:32,買い予想,えとーさん,-10.61,518.0,+204.21,600,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\27.html
"京王電鉄,9008,Keio,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",京王電鉄,2008/03/26,01:41,買い予想,poolさん,163.54,565.0,+163.57,--,,,9008,884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\28.html
"京王電鉄,9008,Keio,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",京王電鉄,2007/11/08,12:00,買い予想,000さん,45.79,695.0,+79.78,--,,,買い,884.0,04月10日,10:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\29.html
"京王電鉄(9008)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,107円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,107円",京王電鉄,2016/12/22,02:27,買い予想,twitter88さん,-0.95,971.0,-23.72,"1,107",長期(数ヶ月～数年),チャート,,884.0,04月10日,10:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9008-京王電鉄/2017-04-10-10-50-04/comment\3.html
