0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"伊藤忠商事(8001)の買い予想。 こう貞 さんの売買予想。 目標株価： 1,665円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買い予想 中期 目標株価1,665円",伊藤忠商事,2017/04/06,19:52,買い予想,こう貞さん,-0.96,"1,563.0",+1.45,"1,665",中期(数週間～数ヶ月),配当(株主優待を含む),,"1,572.0",04月10日,01:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\1.html
"伊藤忠商事(8001)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,828円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,828円",伊藤忠商事,2017/02/01,09:33,買い予想,twitter88さん,-0.95,"1,536.5",+6.38,"1,828",長期(数ヶ月～数年),チャート,,"1,572.0",04月10日,01:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\10.html
"伊藤忠商事(8001)の買い予想。 hhh1960 さんの売買予想。 目標株価： 2,530円 期間： 長期(数ヶ月～数年) 理由： その他 成長＝海外展開",伊藤忠商事,2014/02/02,19:28,買い予想,hhh1960さん,1729.83,"1,261.0",+69.90,"2,530",長期(数ヶ月～数年),その他,,"1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\100.html
"伊藤忠商事(8001)の買い予想。 yoc*an*n さんの売買予想。 目標株価： 1,416円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 絶好の買い場がきたーーーp(^-^)q",伊藤忠商事,2014/01/29,22:24,買い予想,yoc*an*nさん,47.58,"1,262.0",+69.62,"1,416",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\101.html
"伊藤忠商事(8001)の買い予想。 きりんパパ さんの売買予想。 目標株価： 1,661円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",伊藤忠商事,2014/01/28,22:09,買い予想,きりんパパさん,20.56,"1,289.0",+62.21,"1,661",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2014/01/28 02:21
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,534円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\102.html
"伊藤忠商事(8001)の買い予想。 エッちゃん615 さんの売買予想。 目標株価： 1,337円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",伊藤忠商事,2013/12/31,15:58,買い予想,エッちゃん615さん,59.95,"1,302.0",+58.75,"1,337",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/12/31 02:18
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,930円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\103.html
"伊藤忠商事(8001)の買い予想。 ect0926 さんの売買予想。 目標株価： 2,613円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",伊藤忠商事,2013/12/16,13:35,買い予想,ect0926さん,127.49,"1,236.0",+77.07,"2,613",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/12/14 02:22
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,613円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\104.html
"伊藤忠商事(8001)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 1,308円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。",伊藤忠商事,2013/12/06,13:53,買い予想,地球猛獣群さん,72.7,"1,245.0",+74.45,"1,308",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\105.html
"伊藤忠商事(8001)の買い予想。 マサラ さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",伊藤忠商事,2013/12/01,18:36,買い予想,マサラさん,40.04,"1,300.0",+59.27,"1,800",中期(数週間～数ヶ月),その他,,"1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\106.html
"伊藤忠商事(8001)の買い予想。 nekotarosu さんの売買予想。 目標株価： 1,417円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 高配当、高利回り、割安、安定安心のNISA向き銘柄",伊藤忠商事,2013/11/27,13:10,買い予想,nekotarosuさん,82.58,"1,284.0",+63.56,"1,417",長期(数ヶ月～数年),配当(株主優待を含む),"こういう株は、来年早々NISAの為に買われる可能性のある
好配当株。安定しているし、安い今のうちに買って、来春値上がりを待つ。","1,572.0",04月10日,02:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8001-伊藤忠商事/2017-04-10-01-57-33/comment\107.html
