0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"住友不動産(8830)の買い予想。 翠鳥 さんの売買予想。 目標株価： 3,558円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",住友不動産,2017/03/28,21:03,買い予想,翠鳥さん,-9.91,"2,959.5",-4.99,"3,558",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,903.0",04月10日,10:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\1.html
"住友不動産(8830)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 3,389円 期間： 長期(数ヶ月～数年) 理由： その他 買い",住友不動産,2016/06/25,14:42,買い予想,リサ・ランドールさん,137.27,"2,620.0",+31.20,"3,389",長期(数ヶ月～数年),その他,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\10.html
"住友不動産(8830)の買い予想。 三時のさんぽ さんの売買予想。 目標株価： 4,500円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の予想",住友不動産,2016/02/17,20:51,買い予想,三時のさんぽさん,53.15,"3,090.0",-16.79,"4,500",長期(数ヶ月～数年),個人投資家の予想,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\11.html
"住友不動産(8830)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,820円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",住友不動産,2015/12/19,08:49,売り予想,松岡政也さん,-25.38,"3,608.0",+55.05,"1,820",長期(数ヶ月～数年),その他,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\12.html
"住友不動産(8830)の買い予想。 ネコネコ1224 さんの売買予想。 目標株価： 4,321円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",住友不動産,2015/10/26,14:58,買い予想,ネコネコ1224さん,-35.6,"4,118.0",-83.58,"4,321",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/09/30 01:51　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「4,321円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\13.html
"住友不動産(8830)の売り予想。 チャーティスト3 さんの売買予想。 目標株価： 2,584円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",住友不動産,2015/09/06,13:26,売り予想,チャーティスト3さん,-33.49,"3,701.0",+60.81,"2,584",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\14.html
"住友不動産(8830)の買い予想。 dover さんの売買予想。 目標株価： 7,192円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に反対",住友不動産,2015/04/23,20:58,買い予想,doverさん,75.34,"4,826.0",-113.04,"7,191",中期(数週間～数ヶ月),チャート,"【株価分析結果】2015/04/23 01:54
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「4,244円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\15.html
"住友不動産(8830)の買い予想。 honeyx16 さんの売買予想。 目標株価： 4,610円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",住友不動産,2015/01/03,10:54,買い予想,honeyx16さん,-81.58,"4,102.5",-82.83,"4,610",中期(数週間～数ヶ月),個人投資家の予想,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\16.html
"住友不動産(8830)の買い予想。 coopee06 さんの売買予想。 目標株価： 3,700円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価3,700円",住友不動産,2014/10/25,18:55,買い予想,coopee06さん,76.41,"3,530.0",-50.14,"3,700",中期(数週間～数ヶ月),チャート,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\17.html
"住友不動産(8830)の買い予想。 なぞなぞ高岡 さんの売買予想。 目標株価： 4,478円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成",住友不動産,2014/06/10,14:48,買い予想,なぞなぞ高岡さん,24.79,"4,486.0",-100.05,"4,478",長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\18.html
"住友不動産(8830)の売り予想。 happylifeforu さんの売買予想。 目標株価： 4,484円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",住友不動産,2014/06/09,15:18,売り予想,happylifeforuさん,-25.49,"4,546.0",+102.36,"4,484",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\19.html
"住友不動産(8830)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 4,815円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価4,718円",住友不動産,2017/02/26,15:50,買い予想,Newジェントルマンさん,-5.41,"3,160.0",-22.72,"4,815",中期(数週間～数ヶ月),その他,,"2,903.0",04月10日,10:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\2.html
"住友不動産(8830)の売り予想。 ｓｅｉｊｊｉ=ｍａｅｈａｒａａａ さんの売買予想。 目標株価： 3,900円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割高」に賛成",住友不動産,2014/06/07,23:35,売り予想,ｓｅｉｊｊｉ=ｍａｅｈａｒａａａさん,25.28,"4,485.0",+99.89,"3,900",長期(数ヶ月～数年),その他,"【株価分析結果】2013/08/10 02:47　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「2,105円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。マンションが傾斜…杭数本「支持層」に届かず2014年06月07日 22時29分　住友不動産（東京）が２００３年に分譲した横浜市西区のマンション「パークスクエア三ツ沢公園」（全５棟）の１棟で、建物を支える杭（くい）の一部が固い地盤「支持層」まで届かず、建物がわずかな傾斜を起こしていることが横浜市などへの取材で分かった。　同市は建築基準法違反とし、同社に原因の調査などを指示した。同社は「安全が担保できない」として、住人に一時的な転居を求めた。　同市建築局によると、同マンションは建築主が住友不動産、設計・施工が熊谷組（東京）で、０３年２月に完成した。傾斜した棟は１１階建てで６５戸ある。　マンション管理組合が隣の棟との継ぎ目の金具部分にズレを見つけ、独自調査したところ、傾斜が判明した。指摘された住友不動産が３月からボーリング調査し、杭数本が支持層に届いていないことが分かった。2014年06月07日 22時29分http://www.022022.net/?vos=ncassADWRMPC0001345","2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\20.html
"住友不動産(8830)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 4,774円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中",住友不動産,2013/12/06,04:53,買い予想,地球猛獣群さん,72.7,"4,655.0",-106.74,"4,774",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\21.html
"住友不動産(8830)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 6,000円 期間： 長期(数ヶ月～数年) 理由： その他 買い",住友不動産,2013/09/08,23:23,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,"4,800.0",-112.11,"6,000",長期(数ヶ月～数年),その他,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\22.html
"住友不動産(8830)の買い予想。 みっちゃん55 さんの売買予想。 目標株価： 5,902円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 騰がる",住友不動産,2013/09/08,23:09,買い予想,みっちゃん55さん,57.95,"4,800.0",-112.11,"5,902",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\23.html
"住友不動産(8830)の売り予想。 梅みんつ さんの売買予想。 目標株価： 3,575円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に反対",住友不動産,2013/08/22,01:04,売り予想,梅みんつさん,2.98,"4,095.0",+82.32,"3,575",中期(数週間～数ヶ月),その他,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\24.html
"住友不動産(8830)の買い予想。 神輿 さんの売買予想。 目標株価： 4,614円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",住友不動産,2013/07/13,23:29,買い予想,神輿さん,13.22,"4,540.0",-102.25,"4,614",中期(数週間～数ヶ月),その他,,"2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\25.html
"住友不動産(8830)の売り予想。 松平 容保 さんの売買予想。 目標株価： 2,800円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に反対",住友不動産,2013/06/27,07:36,売り予想,松平　容保さん,-34.57,"3,510.0",+48.64,"2,800",中期(数週間～数ヶ月),その他,"本日寄付きはリバウンドする可能性大。

しかしながら、アメリカの金利上昇懸念は引き続き重し。

上昇局面は確実に売りたい。","2,903.0",04月10日,10:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8830-住友不動産/2017-04-10-10-38-36/comment\26.html
