概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
住友化学(4005)の買い予想。 ひで３６ さんの売買予想。 目標株価： 773円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,住友化学,2017/04/06,03:45,買い予想,ひで３６さん,-113.35,601.0,-3.31,773,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2017/04/05 02:30　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「773円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一取引市場の平均値よりも高い為、相対比較の観点からは割安と判断されます。,595.0,04月08日,22:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\1.html
住友化学(4005)の買い予想。 musashiXP さんの売買予想。 目標株価： 683円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,住友化学,2016/11/10,09:42,買い予想,musashiXPさん,4.55,477.0,+69.74,682,中期(数週間～数ヶ月),個人投資家の予想,,595.0,04月08日,22:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\10.html
住友化学(4005)の買い予想。 greenbowl さんの売買予想。 目標株価： 464円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,住友化学,2011/04/01,09:37,買い予想,greenbowlさん,835.41,421.0,+116.85,464,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\100.html
住友化学(4005)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 目標株価： 439円 期間： 中期(数週間~数ヶ月) 理由： その他 買い(’(エ)’) ,住友化学,2011/03/28,13:06,買い予想,komko,268.64,396.0,+142.18,439,中期(数週間～数ヶ月),その他,,595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\101.html
住友化学(4005)の買い予想。 dover さんの売買予想。 目標株価： 730円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割高」に反対,住友化学,2011/02/26,14:08,買い予想,doverさん,75.34,440.0,+99.52,730,長期(数ヶ月～数年),その他,"【株価分析結果】2011/02/26 03:12
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「303円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\102.html
住友化学(4005)の買い予想。 mkw**ks23 さんの売買予想。 目標株価： 555円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,住友化学,2011/01/12,13:17,買い予想,mkw**ks23さん,376.6,425.0,+113.07,555,中期(数週間～数ヶ月),チャート,,595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\103.html
住友化学(4005)の買い予想。 TNG さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： その他 買い,住友化学,2011/01/08,19:37,買い予想,TNGさん,178.27,418.0,+119.73,500,長期(数ヶ月～数年),その他,,595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\104.html
住友化学(4005)の買い予想。 ピエール2世 さんの売買予想。 目標株価： 370円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,住友化学,2010/11/02,23:24,買い予想,ピエール2世さん,298.82,339.0,+213.89,370,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\105.html
住友化学(4005)の買い予想。 shankou0814 さんの売買予想。 目標株価： 401円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,住友化学,2010/07/18,19:35,買い予想,shankou0814さん,208.66,336.0,+218.34,401,,業績(会社計画の修正発表を含む),"【株価分析結果】2010/07/17 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「400円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。",595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\106.html
住友化学(4005)の買い予想。 keyzo さんの売買予想。 目標株価： 480円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) おお,住友化学,2010/06/14,17:08,買い予想,keyzoさん,375.73,371.0,+170.92,480,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,595.0,04月08日,22:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4005-住友化学/2017-04-08-22-33-37/comment\107.html
