0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"住友商事(8053)の買い予想。 luna1999 さんの売買予想。 目標株価： 1,542円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",住友商事,2017/04/02,23:12,買い予想,luna1999さん,0.18,"1,505.0",-3.49,"1,542",短期(数分～数日),チャート,,"1,487.5",04月10日,03:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\1.html
住友商事(8053)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 963円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,住友商事,2016/12/31,21:49,売り予想,エグゼクティブ・まっちさん,-14.13,"1,400.0",-17.97,962,長期(数ヶ月～数年),チャート,,"1,487.5",04月10日,03:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\10.html
"住友商事(8053)の買い予想。 GEN1965 さんの売買予想。 目標株価： 1,887円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",住友商事,2013/11/12,10:55,買い予想,GEN1965さん,105.24,"1,259.0",+51.38,"1,887",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),他の商社と比較しても、このくらいの金額は妥当と思います。,"1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\100.html
"住友商事(8053)の買い予想。 wayfarer さんの売買予想。 目標株価： 1,450円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",住友商事,2013/09/21,21:18,買い予想,wayfarerさん,395.7,"1,370.0",+24.18,"1,450",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\101.html
"住友商事(8053)の買い予想。 はるはる さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 2013年3月期は良くなかったが反転",住友商事,2013/09/16,00:17,買い予想,はるはるさん,46.24,"1,320.0",+35.86,"1,600",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\102.html
"住友商事(8053)の売り予想。 tatsu0516ya さんの売買予想。 目標株価： 1,239円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り",住友商事,2013/09/12,23:08,売り予想,tatsu0516yaさん,35.69,"1,300.0",-41.23,"1,239",中期(数週間～数ヶ月),チャート,,"1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\103.html
"住友商事(8053)の買い予想。 梅みんつ さんの売買予想。 目標株価： 1,388円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",住友商事,2013/08/14,09:40,買い予想,梅みんつさん,2.98,"1,331.0",+33.22,"1,388",中期(数週間～数ヶ月),チャート,,"1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\104.html
"住友商事(8053)の買い予想。 rangeman さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 商社は今、安い",住友商事,2013/07/20,11:55,買い予想,rangemanさん,-28.58,"1,333.0",+32.74,"2,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"商社は全体的に安値です。
石油や金属などの資源で売り上げの大半を上げているところが多く、中国や中東のカントリーリスクを懸念されているためです。
しかし、住友商事の利益に占める資源の割合は少なく、売られすぎ感があります。
また、住友商事は他社に類を見ない多角経営を進めており、安定感が高いです。","1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\105.html
"住友商事(8053)の買い予想。 チイちゃん さんの売買予想。 目標株価： 1,626円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割高」に反対",住友商事,2013/07/02,08:44,買い予想,チイちゃんさん,119.05,"1,265.0",+49.79,"1,626",長期(数ヶ月～数年),その他,"【株価分析結果】2013/07/02 02:26
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「959円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\106.html
"住友商事(8053)の買い予想。 yzin さんの売買予想。 目標株価： 1,800円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",住友商事,2013/06/26,13:04,買い予想,yzinさん,60.07,"1,198.0",+68.47,"1,800",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),商社は今後ますます必要性がますので収益も増加していく可能性が大きい,"1,487.5",04月10日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8053-住友商事/2017-04-10-03-00-03/comment\107.html
