0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
住友大阪セメント(5232)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 428円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 54.1pdd,住友大阪セメント,2017/02/26,18:17,売り予想,７本ＤＭさん,0.86,452.0,-0.62,428,中期(数週間～数ヶ月),個人投資家の予想,,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\1.html
住友大阪セメント(5232)の売り予想。 松岡政也 さんの売買予想。 目標株価： 220円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,住友大阪セメント,2015/12/02,19:06,売り予想,松岡政也さん,-25.38,454.0,+0.62,220,長期(数ヶ月～数年),その他,"【株価分析結果】2015/09/30 01:28
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「443円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\10.html
住友大阪セメント(5232)の買い予想。 groz さんの売買予想。 目標株価： 487円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,住友大阪セメント,2015/10/25,07:06,買い予想,grozさん,77.21,480.0,-17.18,487,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\11.html
住友大阪セメント(5232)の買い予想。 pinksapphire さんの売買予想。 目標株価： 487円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,住友大阪セメント,2015/10/09,17:54,買い予想,pinksapphireさん,40.24,443.0,+5.13,487,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\12.html
住友大阪セメント(5232)の売り予想。 鯖味噌煮 さんの売買予想。 目標株価： 450円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価446円,住友大阪セメント,2015/09/18,20:00,売り予想,鯖味噌煮さん,-13.4,447.0,-3.81,450,短期(数分～数日),チャート,,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\13.html
住友大阪セメント(5232)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： その他 買い,住友大阪セメント,2015/07/19,19:26,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,472.0,-12.65,600,長期(数ヶ月～数年),その他,,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\14.html
住友大阪セメント(5232)の買い予想。 だびんち さんの売買予想。 目標株価： 490円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,住友大阪セメント,2015/07/15,12:44,買い予想,だびんちさん,63.67,467.0,-9.74,490,長期(数ヶ月～数年),個人投資家の予想,"一日で乾く道路用ｺﾝｸﾘｰﾄ
ｱｽﾌｧﾙﾄの再補修を考慮すれば、ｺｽﾄ安となるらしい

ﾓｰｻﾃ",452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\15.html
住友大阪セメント(5232)の買い予想。 錯乱トレーダー さんの売買予想。 目標株価： 393円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,住友大阪セメント,2015/03/17,12:37,買い予想,錯乱トレーダーさん,-15.39,357.0,+74.87,392,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\16.html
住友大阪セメント(5232)の買い予想。 qwertxx さんの売買予想。 目標株価： 360円 期間： 中期(数週間~数ヶ月) 理由： その他 ｂ,住友大阪セメント,2014/12/17,01:34,買い予想,qwertxxさん,67.04,339.0,+93.94,360,中期(数週間～数ヶ月),その他,,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\17.html
住友大阪セメント(5232)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 240円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,住友大阪セメント,2014/12/02,02:49,売り予想,エグゼクティブ・まっちさん,-14.13,341.0,-93.39,240,長期(数ヶ月～数年),チャート,,452.0,04月09日,03:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5232-住友大阪セメント/2017-04-09-03-14-59/comment\18.html
