0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"住友重機械工業(6302)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,153円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,152円",住友重機械工業,2017/03/27,14:30,買い予想,twitter88さん,-0.95,785.0,-11.22,"1,153",長期(数ヶ月～数年),チャート,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\1.html
"住友重機械工業(6302)の買い予想。 pepemoon さんの売買予想。 目標株価： 1,102円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",住友重機械工業,2016/10/27,16:22,買い予想,pepemoonさん,22.13,557.0,+100.57,"1,102",長期(数ヶ月～数年),その他,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\10.html
住友重機械工業(6302)の買い予想。 musashiXP さんの売買予想。 目標株価： 891円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,住友重機械工業,2016/10/18,10:51,買い予想,musashiXPさん,4.55,503.0,+141.89,891,中期(数週間～数ヶ月),個人投資家の予想,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\11.html
住友重機械工業(6302)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 514円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,住友重機械工業,2016/10/04,23:35,買い予想,kouboudaisiさん,12.36,498.0,+146.17,514,中期(数週間～数ヶ月),個人投資家の予想,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\12.html
住友重機械工業(6302)の買い予想。 ニューライフ さんの売買予想。 目標株価： 684円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価681円,住友重機械工業,2016/08/11,23:33,買い予想,ニューライフさん,31.03,480.0,+162.32,684,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\13.html
"住友重機械工業(6302)の買い予想。 揚げ饅 さんの売買予想。 目標株価： 1,514円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,514円",住友重機械工業,2016/05/27,08:18,買い予想,揚げ饅さん,67.55,537.0,+114.90,"1,514",長期(数ヶ月～数年),その他,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\14.html
住友重機械工業(6302)の買い予想。 MADMAX さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,住友重機械工業,2016/01/09,09:03,買い予想,MADMAXさん,31.81,501.0,+143.59,700,中期(数週間～数ヶ月),その他,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\15.html
住友重機械工業(6302)の売り予想。 松岡政也 さんの売買予想。 目標株価： 280円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,住友重機械工業,2015/12/05,18:01,売り予想,松岡政也さん,-25.38,569.0,-93.45,280,長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/05 01:30
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「629円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\16.html
住友重機械工業(6302)の買い予想。 pinksapphire さんの売買予想。 目標株価： 618円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,住友重機械工業,2015/10/10,10:36,買い予想,pinksapphireさん,40.24,565.0,+95.12,618,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/10/10 01:30
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「618円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\17.html
住友重機械工業(6302)の売り予想。 鯖味噌煮 さんの売買予想。 目標株価： 489円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価489円,住友重機械工業,2015/09/18,20:04,売り予想,鯖味噌煮さん,-13.4,538.0,-115.22,489,短期(数分～数日),チャート,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\18.html
住友重機械工業(6302)の買い予想。 うにゃんち さんの売買予想。 目標株価： 600円 期間： 短期(数分~数日) 理由： チャート 上がるでしょぅ〜,住友重機械工業,2015/09/07,22:54,買い予想,うにゃんちさん,14.2,527.0,+122.48,600,短期(数分～数日),チャート,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\19.html
住友重機械工業(6302)の買い予想。 のぞちゃん さんの売買予想。 目標株価： 952円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,住友重機械工業,2017/03/24,18:18,買い予想,のぞちゃんさん,-11.54,788.0,-12.26,952,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2017/03/24 03:20
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「952円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\2.html
住友重機械工業(6302)の買い予想。 タキーラ さんの売買予想。 目標株価： 731円 期間： 長期(数ヶ月～数年) 理由： チャート 6302,住友重機械工業,2015/09/02,18:41,買い予想,タキーラさん,411.44,498.0,+146.17,730,長期(数ヶ月～数年),チャート,"指標面から売られ過ぎ
",755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\20.html
住友重機械工業(6302)の買い予想。 makimuku さんの売買予想。 目標株価： 790円 期間： 短期(数分~数日) 理由： チャート 住友重機,住友重機械工業,2015/03/20,09:39,買い予想,makimukuさん,-10.15,784.0,-10.88,790,短期(数分～数日),チャート,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\21.html
住友重機械工業(6302)の買い予想。 sudaji さんの売買予想。 目標株価： 861円 期間： 短期(数分~数日) 理由： その他 買い予想 長期 目標株価861円,住友重機械工業,2015/02/16,11:08,買い予想,sudajiさん,13.8,721.0,+13.01,861,短期(数分～数日),その他,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\22.html
住友重機械工業(6302)の買い予想。 yuuji1970 さんの売買予想。 目標株価： 674円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,住友重機械工業,2015/01/05,20:28,買い予想,yuuji1970さん,56.33,631.0,+55.42,674,長期(数ヶ月～数年),個人投資家の予想,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\23.html
住友重機械工業(6302)の買い予想。 荒野ノ大鷹 さんの売買予想。 目標株価： 804円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価804円,住友重機械工業,2014/12/16,19:02,買い予想,荒野ノ大鷹さん,51.47,640.0,+50.65,804,長期(数ヶ月～数年),その他,,755.0,04月09日,13:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\24.html
住友重機械工業(6302)の売り予想。 startan さんの売買予想。 目標株価： 619円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想 長期 目標株価611円,住友重機械工業,2014/12/12,18:23,売り予想,startanさん,125.32,668.0,-37.46,619,長期(数ヶ月～数年),その他,,755.0,04月09日,13:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\25.html
住友重機械工業(6302)の売り予想。 ぽんこつ さんの売買予想。 目標株価： 448円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,住友重機械工業,2014/10/24,12:17,売り予想,ぽんこつさん,53.49,567.0,-94.78,448,短期(数分～数日),業績(会社計画の修正発表を含む),【株価分析結果】2014/10/24 02:01　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「530円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。,755.0,04月09日,13:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\26.html
住友重機械工業(6302)の買い予想。 ☆くまもん☆ さんの売買予想。 目標株価： 650円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 今期経常を15％上方修正、配当も1円増額,住友重機械工業,2014/10/22,17:08,買い予想,☆くまもん☆さん,202.74,573.0,+89.82,650,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"10/30
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.9倍 1.08倍 1.73％ 0.66倍 

579円 前日比  +6 (+1.05%) 

今期経常を15％上方修正、配当も1円増額

　10月30日大引け後(15:00)に決算を発表。15年3月期第2四半期累計(4-9月)の連結経常利益は前年同期比2.6倍の200億円に急拡大し、従来予想の105億円を上回って着地。
 　併せて、通期の同利益を従来予想の335億円→385億円(前期は330億円)に14.9％上方修正し、増益率が1.5％増→16.7％増に拡大する見通しとなった。
 　業績好調に伴い、今期の年間配当を従来計画の9円→10円(前期は7円)に増額修正した。
 　直近3ヵ月の実績である7-9月期(2Q)の連結経常利益は前年同期比2.4倍の140億円に急拡大し、売上営業利益率は前年同期の4.6％→8.4％に大幅改善した。


10/22
ＰＥＲ ＰＢＲ 利回り 信用倍率 
18.7倍 1.09倍 1.56％ 0.55倍 

578円 前日比  +27 (+4.90%) ",755.0,04月09日,13:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\27.html
住友重機械工業(6302)の買い予想。 ブラックキャッツ さんの売買予想。 目標株価： 568円 期間： 短期(数分~数日) 理由： チャート 買い,住友重機械工業,2014/10/21,14:45,買い予想,ブラックキャッツさん,0.74,553.0,+103.35,567,短期(数分～数日),チャート,,755.0,04月09日,13:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\28.html
住友重機械工業(6302)の買い予想。 cebumiki さんの売買予想。 目標株価： 550円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,住友重機械工業,2014/08/18,22:39,買い予想,cebumikiさん,147.31,498.0,+146.17,550,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2014/08/16 02:00　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「550円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,755.0,04月09日,13:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\29.html
住友重機械工業(6302)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 750円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆,住友重機械工業,2017/03/20,19:35,売り予想,ひとみん｡｡☆さん,0.86,834.0,+26.59,750,中期(数週間～数ヶ月),チャート,,755.0,04月09日,13:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\3.html
住友重機械工業(6302)の買い予想。 のざわし さんの売買予想。 目標株価： 509円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成,住友重機械工業,2014/07/22,21:06,買い予想,のざわしさん,152.69,488.0,+154.99,509,長期(数ヶ月～数年),その他,,755.0,04月09日,13:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6302-住友重機械工業/2017-04-09-13-27-59/comment\30.html
