0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"住友電気工業(5802)の買い予想。 京子ちゃん さんの売買予想。 目標株価： 2,100円 期間： 長期(数ヶ月～数年) 理由： チャート 転換期･･･",住友電気工業,2017/04/07,12:56,買い予想,京子ちゃんさん,3.22,"1,739.5",-0.32,"2,100",長期(数ヶ月～数年),チャート,"為替、１ドル＝１１０円が、上限では･･･。
株価、底値です。
買い。
自動車用ワイヤーハーネス。
需要増･･･♪","1,738.5",04月09日,12:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\1.html
"住友電気工業(5802)の買い予想。 mumu1919 さんの売買予想。 目標株価： 1,894円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価1,888円",住友電気工業,2017/01/31,16:12,買い予想,mumu1919さん,75.64,"1,634.0",+18.01,"1,894",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,738.5",04月09日,12:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\10.html
"住友電気工業(5802)の買い予想。 タオ_ さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 個人投資家の意見「買い」に賛成",住友電気工業,2010/07/04,17:59,買い予想,タオ_さん,448.78,"1,012.0",+203.85,"1,100",中期(数週間～数ヶ月),,,"1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\100.html
"住友電気工業(5802)の買い予想。 かえる。 さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： その他 買ったらどうなるかな？",住友電気工業,2010/06/23,16:22,買い予想,かえる。さん,152.37,"1,107.0",+161.95,"1,500",長期(数ヶ月～数年),その他,,"1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\101.html
住友電気工業(5802)の買い予想。 101kei さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) スマートグリッドの中核,住友電気工業,2010/05/15,21:33,買い予想,101keiさん,158.18,"1,119.0",+157.17,--,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),日本力を世界に見せつけろ,"1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\102.html
"住友電気工業(5802)の買い予想。 ｺﾊﾟｵ さんの売買予想。 目標株価： 1,800円 期間： 長期(数ヶ月～数年) 理由： その他 買い",住友電気工業,2010/05/12,01:33,買い予想,ｺﾊﾟｵさん,80.22,"1,120.0",+156.77,"1,800",長期(数ヶ月～数年),その他,,"1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\103.html
"住友電気工業(5802)の買い予想。 はひ さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",住友電気工業,2010/05/08,18:59,買い予想,はひさん,386.03,"1,132.0",+152.10,"2,000",長期(数ヶ月～数年),その他,"超伝導、スマートグリッドなどこれから有望なキーワードがいっぱい。
買っておけば幸せになれる。

たぶん","1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\104.html
住友電気工業(5802)の買い予想。 藤原 裕希 さんの売買予想。 期間： 中期(数週間~数ヶ月) 個人投資家の意見「買い」に賛成,住友電気工業,2010/05/07,21:02,買い予想,藤原　裕希さん,236.87,"1,132.0",+152.10,--,中期(数週間～数ヶ月),,,"1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\105.html
"住友電気工業(5802)の買い予想。 buraiann さんの売買予想。 目標株価： 1,300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",住友電気工業,2010/04/18,13:52,買い予想,buraiannさん,125.38,"1,155.0",+143.41,"1,300",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\106.html
"住友電気工業(5802)の売り予想。 myachan28 さんの売買予想。 目標株価： 1,069円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",住友電気工業,2010/04/16,13:33,売り予想,myachan28さん,282.79,"1,177.0",-135.89,"1,069",,業績(会社計画の修正発表を含む),"【株価分析結果】2010/04/16 03:18
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,069円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。

","1,738.5",04月09日,12:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5802-住友電気工業/2017-04-09-12-48-56/comment\107.html
