概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"信越化学工業(4063)の買い予想。 いちくん！ さんの売買予想。 目標株価： 10,600円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",信越化学工業,2017/04/04,11:27,買い予想,いちくん！さん,-13.34,"9,629.0",-6.34,"10,599",中期(数週間～数ヶ月),その他,,"9,415.0",04月08日,22:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\1.html
"信越化学工業(4063)の売り予想。 ushiwan さんの売買予想。 目標株価： 8,227円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に反対",信越化学工業,2016/12/09,12:58,売り予想,ushiwanさん,-2.66,"9,146.0",-8.39,"8,226",中期(数週間～数ヶ月),その他,,"9,415.0",04月08日,22:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\10.html
"信越化学工業(4063)の買い予想。 ばくちゃ さんの売買予想。 目標株価： 4,411円 期間： 中期(数週間~数ヶ月) 理由： チャート もう底値に近いのでは",信越化学工業,2011/08/03,21:17,買い予想,ばくちゃさん,380.93,"4,040.0",+378.25,"4,411",中期(数週間～数ヶ月),チャート,"ってかアメリカがデフォルトなんてありえないし・・・

","9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\100.html
"信越化学工業(4063)の買い予想。 たつ0627 さんの売買予想。 目標株価： 5,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",信越化学工業,2011/07/10,23:17,買い予想,たつ0627さん,297.32,"4,350.0",+331.03,"5,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/07/09 03:26
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「4,604円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\101.html
"信越化学工業(4063)の買い予想。 shintarou さんの売買予想。 目標株価： 4,629円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",信越化学工業,2011/06/20,11:55,買い予想,shintarouさん,162.0,"4,065.0",+374.18,"4,629",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/06/18 03:26
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「4,629円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\102.html
"信越化学工業(4063)の売り予想。 社労士 さんの売買予想。 目標株価： 3,904円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「売り」に賛成",信越化学工業,2011/05/20,20:20,売り予想,社労士さん,-283.43,"4,100.0",-368.69,"3,904",短期(数分～数日),その他,,"9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\103.html
"信越化学工業(4063)の買い予想。 短期決戦 さんの売買予想。 目標株価： 4,400円 期間： 短期(数分~数日) 理由： その他 k",信越化学工業,2011/04/25,03:27,買い予想,短期決戦さん,131.46,"4,250.0",+345.51,"4,400",短期(数分～数日),その他,k,"9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\104.html
"信越化学工業(4063)の買い予想。 ジェネラル さんの売買予想。 目標株価： 5,500円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",信越化学工業,2011/04/10,20:04,買い予想,ジェネラルさん,395.95,"4,155.0",+359.91,"5,500",中期(数週間～数ヶ月),その他,,"9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\105.html
"信越化学工業(4063)の買い予想。 aomakigami♪ さんの売買予想。 目標株価： 5,252円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",信越化学工業,2011/04/04,14:43,買い予想,aomakigami♪さん,94.32,"4,045.0",+377.43,"5,252",中期(数週間～数ヶ月),その他,,"9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\106.html
"信越化学工業(4063)の売り予想。 浪速のペ・ヨンジュン さんの売買予想。 目標株価： 3,895円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「売り」に賛成",信越化学工業,2011/03/14,12:48,売り予想,浪速のペ・ヨンジュンさん,-71.28,"3,995.0",-385.86,"3,895",短期(数分～数日),その他,,"9,415.0",04月08日,22:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4063-信越化学工業/2017-04-08-22-55-59/comment\108.html
