0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"凸版印刷(7911)の買い予想。 ぜんちゃん99 さんの売買予想。 目標株価： 1,487円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",凸版印刷,2017/03/30,11:09,買い予想,ぜんちゃん99さん,1.37,"1,144.0",-7.45,"1,487",短期(数分～数日),個人投資家の予想,,"1,115.0",04月10日,01:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\1.html
"凸版印刷(7911)の買い予想。 weixingsan さんの売買予想。 目標株価： 1,048円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 株価診断結果「割高」に反対",凸版印刷,2016/10/23,10:13,買い予想,weixingsanさん,43.09,970.0,+42.21,"1,048",長期(数ヶ月～数年),配当(株主優待を含む),【株価分析結果】2016/10/22 04:03　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「906円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。,"1,115.0",04月10日,01:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\10.html
"凸版印刷(7911)の買い予想。 t-oku さんの売買予想。 目標株価： 1,244円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",凸版印刷,2016/10/18,16:19,買い予想,t-okuさん,47.03,951.0,+48.73,"1,244",中期(数週間～数ヶ月),個人投資家の予想,,"1,115.0",04月10日,01:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\11.html
凸版印刷(7911)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 940円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し 買い予想 長期 目標株価940円,凸版印刷,2016/09/17,21:22,買い予想,37 　 工事中 !さん,57.65,911.0,+63.36,940,長期(数ヶ月～数年),その他,,"1,115.0",04月10日,01:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\12.html
"凸版印刷(7911)の買い予想。 coopee06 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,000円",凸版印刷,2016/08/21,10:13,買い予想,coopee06さん,76.41,883.0,+74.39,"1,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,115.0",04月10日,01:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\13.html
凸版印刷(7911)の売り予想。 松岡政也 さんの売買予想。 目標株価： 540円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,凸版印刷,2015/12/13,18:29,売り予想,松岡政也さん,-25.38,"1,059.0",-15.30,539,長期(数ヶ月～数年),その他,,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\14.html
凸版印刷(7911)の売り予想。 duke_2002 さんの売買予想。 目標株価： 653円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,凸版印刷,2015/10/28,22:51,売り予想,duke_2002さん,-18.55,"1,062.0",-14.45,653,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2015/10/28 01:40　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「938円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\15.html
"凸版印刷(7911)の買い予想。 pinksapphire さんの売買予想。 目標株価： 1,171円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",凸版印刷,2015/10/27,11:50,買い予想,pinksapphireさん,40.24,"1,064.0",+13.36,"1,171",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\16.html
"凸版印刷(7911)の買い予想。 com@ さんの売買予想。 目標株価： 1,400円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,400円",凸版印刷,2015/04/25,19:00,買い予想,com@さん,-23.21,"1,003.0",+31.46,"1,400",長期(数ヶ月～数年),その他,,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\17.html
"凸版印刷(7911)の買い予想。 AAI Fund さんの売買予想。 目標株価： 1,113円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価1,126円",凸版印刷,2015/03/21,12:38,買い予想,AAI Fundさん,594.97,935.0,+54.43,"1,113",中期(数週間～数ヶ月),チャート,,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\18.html
"凸版印刷(7911)の買い予想。 qwertxx さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： その他 b",凸版印刷,2015/02/13,01:42,買い予想,qwertxxさん,67.04,828.0,+98.22,"1,000",中期(数週間～数ヶ月),その他,,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\19.html
"凸版印刷(7911)の買い予想。 8月のライオン さんの売買予想。 目標株価： 1,248円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",凸版印刷,2017/03/19,22:38,買い予想,8月のライオンさん,-20.41,"1,176.0",-14.99,"1,248",中期(数週間～数ヶ月),個人投資家の予想,,"1,115.0",04月10日,01:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\2.html
凸版印刷(7911)の買い予想。 フェブラリーキング さんの売買予想。 目標株価： 860円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,凸版印刷,2014/09/13,17:59,買い予想,フェブラリーキングさん,70.22,762.0,+131.35,860,長期(数ヶ月～数年),個人投資家の予想,,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\20.html
凸版印刷(7911)の買い予想。 あきばえ さんの売買予想。 目標株価： 813円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価813円,凸版印刷,2014/09/05,15:24,買い予想,あきばえさん,-44.88,769.0,+127.57,813,長期(数ヶ月～数年),その他,,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\21.html
凸版印刷(7911)の買い予想。 ぐっさん0598 さんの売買予想。 目標株価： 830円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 新聞に出てた！,凸版印刷,2014/02/28,17:17,買い予想,ぐっさん0598さん,143.09,746.0,+140.27,830,長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),,"1,115.0",04月10日,01:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7911-凸版印刷/2017-04-10-01-47-23/comment\22.html
