概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"千代田化工建設(6366)の買い予想。 やし丸 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",千代田化工建設,2017/04/06,17:08,買い予想,やし丸さん,3.58,718.0,+0.39,"1,000",長期(数ヶ月～数年),個人投資家の予想,,720.0,04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\1.html
千代田化工建設(6366)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 706円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し,千代田化工建設,2016/06/16,12:05,買い予想,37 　 工事中 !さん,57.65,683.0,+14.98,706,長期(数ヶ月～数年),その他,,720.0,04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\10.html
"千代田化工建設(6366)の買い予想。 Air さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) しっかり＾＾",千代田化工建設,2008/05/23,02:13,買い予想,Airさん,90.88,"1,045.0",-88.70,"1,200",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"しっかり。
ＣＬＳＡが投資判断を「セル」から
「アウトパフォーム」に格上げしている。
目標株価も780円から1050円に引き上げと。
カタールでの建設がピークを通過、
新規受注への人員投入を始めるなど
中長期的なイメージは改善と評しているもよう。
今期の営業利益や受注予想を引き上げたようだ。
",720.0,04月09日,13:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\100.html
千代田化工建設(6366)の買い予想。 あつたろ さんの売買予想。 目標株価： 690円 期間： 短期(数分~数日) 理由： チャート そろそろ,千代田化工建設,2008/04/10,22:13,買い予想,あつたろさん,146.47,681.0,+15.86,690,短期(数分～数日),チャート,,720.0,04月09日,13:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\101.html
"千代田化工建設(6366)の買い予想。 masatoh1977 さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 目標株価1000円",千代田化工建設,2008/04/04,22:12,買い予想,masatoh1977さん,対象外,715.0,+1.59,"1,000",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,720.0,04月09日,13:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\102.html
"千代田化工建設,6366,Chiyoda,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",千代田化工建設,2008/02/23,10:24,買い予想,かつくんさん,339.96,"1,057.0",-90.93,--,,,信用売残が膨らんできているのに注目しています。ここ数日の水準で買い増して、平均取得単価￥1098までさげることができました。さらに下げれば買い、あがれば売り。,720.0,04月09日,13:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\103.html
"千代田化工建設,6366,Chiyoda,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",千代田化工建設,2007/11/09,09:43,買い予想,ひなさん,118.62,"1,752.0",-167.66,--,,,"急激に下げましたね
プラント業界は長いスパンで収益を見込むとか
今は先行投資と言う事で、今後上昇してほしいです",720.0,04月09日,13:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\104.html
"千代田化工建設,6366,Chiyoda,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",千代田化工建設,2007/08/15,03:08,買い予想,takyさん,12.8,"2,005.0",-182.38,--,,,上がりますよー,720.0,04月09日,13:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\105.html
"千代田化工建設,6366,Chiyoda,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",千代田化工建設,2007/07/31,07:41,買い予想,株トレ中さん,-38.69,"2,390.0",-198.81,--,,,最近下がってます。,720.0,04月09日,13:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\106.html
千代田化工建設(6366)の買い予想。 moko♡ さんの売買予想。 目標株価： 735円 期間： 中期(数週間~数ヶ月) 理由： その他 買い♪,千代田化工建設,2016/06/13,11:33,買い予想,moko♡さん,338.94,700.0,+7.71,735,中期(数週間～数ヶ月),その他,"モゴモゴだね 
(＊^_-＊)~♡ 

",720.0,04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6366-千代田化工建設/2017-04-09-13-48-17/comment\11.html
