0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"協和発酵キリン(4151)の買い予想。 優々株 さんの売買予想。 目標株価： 1,800円 期間： 短期(数分~数日) 理由： その他 買い予想 短期 目標株価1,800円",協和発酵キリン,2017/04/07,09:13,買い予想,優々株さん,1.58,"1,726.0",-1.97,"1,800",短期(数分～数日),その他,,"1,715.0",04月08日,23:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\1.html
"協和発酵キリン(4151)の買い予想。 zaiki さんの売買予想。 目標株価： 2,000円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価2,000円",協和発酵キリン,2016/07/29,14:49,買い予想,zaikiさん,-12.19,"1,795.0",-12.83,"2,000",短期(数分～数日),チャート,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\10.html
"協和発酵キリン(4151)の買い予想。 pinksapphire さんの売買予想。 目標株価： 2,019円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",協和発酵キリン,2016/05/09,21:04,買い予想,pinksapphireさん,40.24,"1,959.0",-35.56,"2,019",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"■協和発酵キリン  　1,948円　 +55 円 (+2.9％)　　本日終値
　協和発酵キリンが反発。クレディ・スイス証券では、目先の株価は自社開発の成人Ｔ細胞白血病リンパ腫治療薬ポテリジオ、喘息／ＣＯＰＤ治療薬ベンラリズマブ、くる病治療薬ＫＲＮ２３などの抗体医薬の開発プロジェクトの進展による影響が大きいと指摘。ポテリジオは、がん免疫チェックポイント阻害薬オプジーボなどとの併用試験がフェーズ１進行中で、ベンラリズマブはアストラゼネカへ全面導出、１６年度上期以降の主要な呼吸器学会でフェーズ３の良好な結果報告が期待されるとみて、第１四半期決算の進捗率が高かったことから通期業績にさらなる上振れ余地が生じたと解説。レーティングを「ニュートラル」から「アウトパフォーム」に、目標株価を１６００円から２２００円に引き上げている。
","1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\11.html
"協和発酵キリン(4151)の売り予想。 きゅちゃん さんの売買予想。 目標株価： 1,479円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り予想 中期 目標株価1,464円",協和発酵キリン,2016/04/15,22:39,売り予想,きゅちゃんさん,3.89,"1,895.0",+26.86,"1,479",中期(数週間～数ヶ月),個人投資家の予想,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\12.html
"協和発酵キリン(4151)の買い予想。 kazu_yama さんの売買予想。 目標株価： 2,265円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",協和発酵キリン,2016/04/07,13:29,買い予想,kazu_yamaさん,-7.41,"1,764.0",-8.06,"2,265",長期(数ヶ月～数年),個人投資家の予想,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\13.html
"協和発酵キリン(4151)の買い予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 1,641円 期間： 短期(数分~数日) 理由： その他 sd",協和発酵キリン,2016/02/20,20:45,買い予想,ファミリア、マクハリさん,148.36,"1,567.0",+26.67,"1,641",短期(数分～数日),その他,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\14.html
"協和発酵キリン(4151)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",協和発酵キリン,2015/11/28,13:06,売り予想,松岡政也さん,-25.38,"2,150.0",+57.40,"1,000",長期(数ヶ月～数年),その他,"【株価分析結果】2015/11/28 01:20
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,459円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。
","1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\15.html
"協和発酵キリン(4151)の買い予想。 takasitokio さんの売買予想。 目標株価： 1,934円 期間： 長期(数ヶ月～数年) 理由： その他 買い",協和発酵キリン,2015/08/25,20:31,買い予想,takasitokioさん,32.21,"1,909.0",-29.04,"1,934",長期(数ヶ月～数年),その他,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\16.html
"協和発酵キリン(4151)の買い予想。 揚げ饅 さんの売買予想。 目標株価： 2,207円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価2,207円",協和発酵キリン,2015/03/25,23:33,買い予想,揚げ饅さん,67.55,"1,621.0",+16.31,"2,207",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\17.html
"協和発酵キリン(4151)の買い予想。 asakiti さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い",協和発酵キリン,2015/02/25,00:24,買い予想,asakitiさん,-22.85,"1,450.0",+51.77,"1,000",長期(数ヶ月～数年),個人投資家の予想,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\18.html
"協和発酵キリン(4151)の買い予想。 Pf_Snowman さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",協和発酵キリン,2015/02/23,11:17,買い予想,Pf_Snowmanさん,82.84,"1,424.0",+57.91,"1,500",中期(数週間～数ヶ月),個人投資家の予想,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\19.html
"協和発酵キリン(4151)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,054円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,054円",協和発酵キリン,2017/03/27,14:13,買い予想,twitter88さん,-0.95,"1,748.0",-5.53,"2,054",長期(数ヶ月～数年),チャート,,"1,715.0",04月08日,23:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\2.html
"協和発酵キリン(4151)の買い予想。 sjw さんの売買予想。 目標株価： 1,605円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価1,605円",協和発酵キリン,2015/02/22,16:29,買い予想,sjwさん,55.05,"1,410.0",+61.30,"1,605",短期(数分～数日),チャート,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\20.html
"協和発酵キリン(4151)の買い予想。 t-oku さんの売買予想。 目標株価： 1,553円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",協和発酵キリン,2015/01/27,15:46,買い予想,t-okuさん,47.03,"1,305.0",+89.12,"1,553",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2015/01/27 01:40　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,182円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\21.html
"協和発酵キリン(4151)の買い予想。 ｾﾞﾗﾆｳﾑ0519 さんの売買予想。 目標株価： 1,850円 期間： 長期(数ヶ月～数年) 理由： チャート 買い",協和発酵キリン,2015/01/11,22:04,買い予想,ｾﾞﾗﾆｳﾑ0519さん,29.49,"1,133.0",+145.81,"1,850",長期(数ヶ月～数年),チャート,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\22.html
"協和発酵キリン(4151)の買い予想。 タツ1101 さんの売買予想。 目標株価： 1,496円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,496円",協和発酵キリン,2015/01/06,15:45,買い予想,タツ1101さん,52.1,"1,096.0",+160.34,"1,496",長期(数ヶ月～数年),その他,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\23.html
"協和発酵キリン(4151)の買い予想。 ect0926 さんの売買予想。 目標株価： 1,196円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",協和発酵キリン,2014/12/29,14:05,買い予想,ect0926さん,127.49,"1,141.0",+142.80,"1,196",中期(数週間～数ヶ月),その他,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\24.html
"協和発酵キリン(4151)の買い予想。 荒野ノ大鷹 さんの売買予想。 目標株価： 1,480円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,480円",協和発酵キリン,2014/12/23,17:41,買い予想,荒野ノ大鷹さん,51.47,"1,167.0",+133.28,"1,480",長期(数ヶ月～数年),その他,,"1,715.0",04月08日,23:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4151-協和発酵キリン/2017-04-08-23-04-30/comment\25.html
