概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
古河機械金属(5715)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価350円,古河機械金属,2017/02/26,15:26,買い予想,Newジェントルマンさん,-5.41,232.0,-42.89,350,中期(数週間～数ヶ月),その他,,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\1.html
古河機械金属(5715)の買い予想。 bakerst221bx さんの売買予想。 目標株価： 172円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,古河機械金属,2016/07/01,13:00,買い予想,bakerst221bxさん,42.72,138.0,+121.57,172,中期(数週間～数ヶ月),チャート,,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\10.html
古河機械金属(5715)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 161円 期間： 長期(数ヶ月～数年) 理由： その他 損切り分の買い直し,古河機械金属,2016/05/06,21:36,買い予想,37 　 工事中 !さん,57.65,157.0,+72.44,161,長期(数ヶ月～数年),その他,,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\11.html
古河機械金属(5715)の買い予想。 etctatou さんの売買予想。 目標株価： 221円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,古河機械金属,2016/04/12,09:56,買い予想,etctatouさん,96.06,148.0,+94.14,221,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2016/04/12 03:03　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「221円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\12.html
古河機械金属(5715)の売り予想。 松岡政也 さんの売買予想。 目標株価： 120円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,古河機械金属,2015/12/04,15:37,売り予想,松岡政也さん,-25.38,242.0,+50.52,120,長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/04 01:26
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「257円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\13.html
古河機械金属(5715)の買い予想。 yottccttoy さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 短期 目標株価300円,古河機械金属,2015/11/09,02:10,買い予想,yottccttoyさん,-19.79,265.0,-72.96,300,中期(数週間～数ヶ月),チャート,,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\14.html
古河機械金属(5715)の買い予想。 ぴかっと さんの売買予想。 目標株価： 308円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成,古河機械金属,2015/10/14,05:02,買い予想,ぴかっとさん,3.26,279.0,-83.57,308,短期(数分～数日),その他,,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\15.html
古河機械金属(5715)の買い予想。 ウエイブドラ さんの売買予想。 目標株価： 336円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,古河機械金属,2015/10/09,14:11,買い予想,ウエイブドラさん,-19.8,270.0,-76.88,336,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2015/10/09 01:27　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「217円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\16.html
古河機械金属(5715)の買い予想。 カズちゃん さんの売買予想。 目標株価： 600円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,古河機械金属,2015/08/30,06:46,買い予想,カズちゃんさん,21.35,299.0,-97.00,600,短期(数分～数日),個人投資家の予想,,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\17.html
古河機械金属(5715)の売り予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 289円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に反対,古河機械金属,2015/08/15,15:11,売り予想,ファミリア、マクハリさん,148.36,296.0,+93.18,289,短期(数分～数日),個人投資家の予想,,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\18.html
古河機械金属(5715)の売り予想。 moko♡ さんの売買予想。 目標株価： 262円 期間： 中期(数週間~数ヶ月) 理由： その他 売り♡ ,古河機械金属,2015/08/11,11:40,売り予想,moko♡さん,338.94,269.0,+73.99,261,中期(数週間～数ヶ月),その他,"モゴモゴだね 
(＊^_-＊)~♡ 
",198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\19.html
古河機械金属(5715)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 149円 期間： 長期(数ヶ月～数年) 理由： チャート 2017,古河機械金属,2017/01/01,21:20,売り予想,エグゼクティブ・まっちさん,-14.13,215.0,+21.16,149,長期(数ヶ月～数年),チャート,,198.0,04月09日,12:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\2.html
古河機械金属(5715)の買い予想。 let's smile! さんの売買予想。 目標株価： 275円 期間： 長期(数ヶ月～数年) 理由： チャート 買い,古河機械金属,2015/06/19,16:38,買い予想,let's smile!さん,43.45,228.0,-38.66,275,長期(数ヶ月～数年),チャート,,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\20.html
古河機械金属(5715)の買い予想。 dustbox さんの売買予想。 目標株価： 238円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,古河機械金属,2015/05/12,21:00,買い予想,dustboxさん,58.85,216.0,-25.01,237,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\21.html
古河機械金属(5715)の買い予想。 ＲＭＧＱ１７２５ さんの売買予想。 目標株価： 376円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,古河機械金属,2015/05/01,04:33,買い予想,ＲＭＧＱ１７２５さん,-58.94,208.0,-15.03,376,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),リニア、五輪、老朽化橋、出番はこれからも。,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\22.html
古河機械金属(5715)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 225円 期間： 長期(数ヶ月～数年) 理由： その他 買い,古河機械金属,2015/03/25,14:18,買い予想,リサ・ランドールさん,137.27,221.0,-30.88,225,長期(数ヶ月～数年),その他,,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\23.html
古河機械金属(5715)の買い予想。 Ψ武Ψ さんの売買予想。 目標株価： 615円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,古河機械金属,2015/02/18,21:53,買い予想,Ψ武Ψさん,448.76,205.0,-11.09,615,中期(数週間～数ヶ月),その他,,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\24.html
古河機械金属(5715)の買い予想。 kawahide1950 さんの売買予想。 目標株価： 446円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価446円 リニア・計画中新幹線前倒し,古河機械金属,2015/01/21,08:56,買い予想,kawahide1950さん,35.47,194.0,+4.39,446,中期(数週間～数ヶ月),個人投資家の予想,,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\25.html
古河機械金属(5715)の買い予想。 荒野ノ大鷹 さんの売買予想。 目標株価： 261円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価261円,古河機械金属,2014/12/05,10:42,買い予想,荒野ノ大鷹さん,51.47,218.0,-27.39,261,長期(数ヶ月～数年),その他,,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\26.html
古河機械金属(5715)の買い予想。 catz さんの売買予想。 目標株価： 346円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,古河機械金属,2014/07/20,16:41,買い予想,catzさん,182.23,215.0,-23.80,346,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,198.0,04月09日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5715-古河機械金属/2017-04-09-12-41-16/comment\27.html
