概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"古河電気工業(5801)の買い予想。 ゴマダレ さんの売買予想。 目標株価： 4,263円 期間： 中期(数週間~数ヶ月) 理由： その他 ＠＠",古河電気工業,2017/04/05,09:07,買い予想,ゴマダレさん,-5.84,"4,145.0",+3.70,"4,263",中期(数週間～数ヶ月),その他,,"4,200.0",04月09日,12:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\1.html
"古河電気工業(5801)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 1,652円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対",古河電気工業,2016/02/23,23:35,売り予想,エグゼクティブ・まっちさん,-14.13,"2,320.0",-230.55,"1,652",長期(数ヶ月～数年),チャート,,"4,200.0",04月09日,12:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\10.html
"古河電気工業(5801)の買い予想。 もやし2010 さんの売買予想。 目標株価： 5,000円 期間： 短期(数分~数日) 個人投資家の意見「買い」に賛成",古河電気工業,2010/04/12,15:54,買い予想,もやし2010さん,125.48,"4,800.0",-35.60,"5,000",短期(数分～数日),,,"4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\100.html
"古河電気工業,5801,TheFurukawaElectric,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",古河電気工業,2010/04/08,16:03,買い予想,ゆきほたるさん,-33.67,"4,780.0",-34.56,2,,,"
古河電工が中期計画発表、１２年度の連結営業利益５００億円が目標に

　電線、ケーブル大手の古河電気工業は８日、２０１２年度（１３年３月期）を最終年度とする中期経営計画「ニューフロンティア２０１２」を発表した。

　新中期計画では、グローバルなインフラ需要を取り込みながら、研究開発を強化し、同社にとってのニューフロンティア（新市場・新事業）で成長し、同時に変化に強い経営を目指す、としている。

　新中期計画では、新興国・地域の成長により、送電・通信など伝送インフラの投資機会が拡大することから、光ファイバーや超高圧ケーブル、高速鉄道市場で積極的に事業を展開し、海外売上高比率を２０１２年度には３５％、長期的には５０％超を目指す。

　高機能素材では、競争力のある技術の確立や生産性の向上により、トップサプライヤーを目指し、また、次世代自動車、スマートグリッド、大容量光通信の分野でも、高機能素材で新事業を創出する。

　これらにより、最終１２年度の売上高を１兆円（１０年３月期推定比２４％増）、営業利益５００億円（同３．５倍）、純利益２５０億円（同６．２倍）を目標にしている。

　８日の終値は前日比１８円安の４７２円。（高野龍一）



［ 株式新聞速報ニュース／ＫＡＢＤＡＳ－ＥＸＰＲＥＳＳ ］

提供：モーニングスター社

","4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\101.html
"古河電気工業(5801)の買い予想。 BlueImpact さんの売買予想。 目標株価： 4,920円 期間： 長期(数ヶ月～数年) 理由： チャート 買い",古河電気工業,2010/03/19,00:20,買い予想,BlueImpactさん,109.87,"4,900.0",-40.68,"4,920",長期(数ヶ月～数年),チャート,,"4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\102.html
"古河電気工業(5801)の買い予想。 堕落汚バマ さんの売買予想。 目標株価： 5,000円 期間： 中期(数週間~数ヶ月) 理由： その他 0",古河電気工業,2010/03/15,08:43,買い予想,堕落汚バマさん,327.04,"4,750.0",-32.98,"5,000",中期(数週間～数ヶ月),その他,0,"4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\103.html
"古河電気工業(5801)の買い予想。 桜吹雪@ さんの売買予想。 目標株価： 5,200円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",古河電気工業,2010/01/23,10:08,買い予想,桜吹雪@さん,189.75,"4,370.0",-11.12,"5,200",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\104.html
古河電気工業(5801)の買い予想。 RX78G3 さんの売買予想。 目標株価： 3円 期間： 短期(数分~数日) 買い,古河電気工業,2009/12/02,08:51,買い予想,RX78G3さん,601.44,"3,330.0",+74.20,2,短期(数分～数日),,,"4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\105.html
"古河電気工業(5801)の買い予想。 トレタマ さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",古河電気工業,2009/11/19,23:53,買い予想,トレタマさん,46.58,"3,300.0",+154.93,"4,000",中期(数週間～数ヶ月),その他,,"4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\106.html
古河電気工業(5801)の買い予想。 deb*te*ocu* さんの売買予想。 目標株価： 3円 期間： 長期(数ヶ月～数年) 電線需要,古河電気工業,2009/11/17,22:26,買い予想,deb*te*ocu*さん,239.22,"3,470.0",+59.74,2,長期(数ヶ月～数年),,,"4,200.0",04月09日,12:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5801-古河電気工業/2017-04-09-12-43-55/comment\107.html
