0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"味の素(2802)の売り予想。 kendobun さんの売買予想。 目標株価： 2,127円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り予想 短期 目標株価2,121円",味の素,2017/04/08,19:45,売り予想,kendobunさん,2.41,成り行き ,,"2,127",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,152.5",04月08日,20:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\1.html
"味の素(2802)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 3,368円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価3,368円",味の素,2017/02/26,14:29,買い予想,Newジェントルマンさん,-5.41,"2,250.0",-12.44,"3,368",中期(数週間～数ヶ月),その他,,"2,152.5",04月08日,20:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\10.html
味の素(2802)の買い予想。 むかちゃん さんの売買予想。 目標株価： 901円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,味の素,2011/12/01,14:36,買い予想,むかちゃんさん,505.28,900.0,+395.41,901,短期(数分～数日),業績(会社計画の修正発表を含む),,"2,152.5",04月08日,20:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\100.html
味の素(2802)の買い予想。 唐変黙 さんの売買予想。 目標株価： 879円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成,味の素,2011/11/02,13:13,買い予想,唐変黙さん,421.41,856.0,+430.36,879,長期(数ヶ月～数年),その他,"【株価分析結果】2011/11/02 01:15
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「879円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

","2,152.5",04月08日,20:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\101.html
味の素(2802)の買い予想。 moko♡ さんの売買予想。 目標株価： 936円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,味の素,2011/10/23,22:36,買い予想,moko♡さん,338.94,898.0,+396.93,936,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

boxだね 
８５０円 ～９５０円
（＊^_^＊)v 

","2,152.5",04月08日,20:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\102.html
"味の素(2802)の買い予想。 saburouta さんの売買予想。 目標株価： 1,225円 期間： 長期(数ヶ月～数年) 理由： チャート 買いへ",味の素,2011/10/05,20:29,買い予想,saburoutaさん,330.19,945.0,+363.04,"1,225",長期(数ヶ月～数年),チャート,,"2,152.5",04月08日,20:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\103.html
味の素(2802)の売り予想。 Good Luck さんの売買予想。 目標株価： 800円 期間： 長期(数ヶ月～数年) 理由： その他 落ちてきそう,味の素,2011/09/21,02:21,売り予想,Good Luckさん,-3.57,894.0,-400.61,800,長期(数ヶ月～数年),その他,どうかな？,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\104.html
"味の素(2802)の買い予想。 エンリケ航海王子 さんの売買予想。 目標株価： 1,054円 期間： 短期(数分~数日) 理由： チャート 買い判断",味の素,2011/07/13,14:09,買い予想,エンリケ航海王子さん,318.14,"1,003.0",+325.61,"1,054",短期(数分～数日),チャート,"○チャート
△過熱感、割高感","2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\105.html
"味の素(2802)の買い予想。 nanasato さんの売買予想。 目標株価： 1,012円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",味の素,2011/07/03,20:17,買い予想,nanasatoさん,319.0,975.0,+343.12,"1,012",中期(数週間～数ヶ月),その他,,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\106.html
"味の素(2802)の買い予想。 いそりん さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",味の素,2011/06/05,01:47,買い予想,いそりんさん,149.51,938.0,+367.87,"1,100",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\107.html
"味の素(2802)の買い予想。 ガル研君 さんの売買予想。 目標株価： 2,814円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 日本の食文化は世界一",味の素,2011/06/04,11:26,買い予想,ガル研君さん,406.62,938.0,+367.87,"2,814",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\108.html
"味の素(2802)の買い予想。 hamu3 さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 理由： チャート 買っ",味の素,2011/05/21,17:48,買い予想,hamu3さん,527.93,911.0,+387.21,"1,100",中期(数週間～数ヶ月),チャート,,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\109.html
"味の素(2802)の買い予想。 aloegel さんの売買予想。 目標株価： 2,430円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価2,430円",味の素,2017/02/26,11:39,買い予想,aloegelさん,-7.55,"2,250.0",-12.44,"2,430",中期(数週間～数ヶ月),チャート,,"2,152.5",04月08日,20:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\11.html
味の素(2802)の買い予想。 ぽんた１３９４ さんの売買予想。 目標株価： 966円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買いポン(ﾟДﾟ),味の素,2011/05/13,02:46,買い予想,ぽんた１３９４さん,277.16,921.0,+379.91,966,短期(数分～数日),業績(会社計画の修正発表を含む),,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\110.html
"味の素(2802)の買い予想。 ライオンキング☆ノノノ さんの売買予想。 目標株価： 1,055円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",味の素,2011/01/17,10:52,買い予想,ライオンキング☆ノノノさん,185.54,898.0,+396.93,"1,055",中期(数週間～数ヶ月),チャート,アミノサン,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\111.html
"味の素(2802)の買い予想。 ウォーレン・バフェット敬愛 さんの売買予想。 目標株価： 2,538円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",味の素,2011/01/01,02:03,買い予想,ウォーレン・バフェット敬愛さん,276.34,853.0,+432.87,"2,538",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\112.html
"味の素(2802)の買い予想。 は る さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) かい",味の素,2010/12/29,21:39,買い予想,は るさん,289.69,849.0,+436.25,"1,000",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),"味の素が反発、岡三証券が「強気」(メルトレ)
2010/12/29(17:30)
http://minkabu.jp/stock/2802/news/92196","2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\113.html
"味の素(2802)の買い予想。 sumi001 さんの売買予想。 目標株価： 1,000円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「妥当圏内」に反対",味の素,2010/12/01,16:56,買い予想,sumi001さん,257.01,842.0,+442.24,"1,000",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2010/12/01 03:08
　妥当圏内

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「妥当圏内」と結論付けました。
　現在値から下落すれば割安圏内に、上昇すれば割高圏内となります。加えて、この銘柄の株価は妥当圏内ながら、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には買い圧力が強まる可能性があります。
　このように、この銘柄は現在の株価水準において妥当圏内と判断されますが、この結果は必ずしも今後の株価の維持を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

","2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\114.html
味の素(2802)の買い予想。 てっか さんの売買予想。 目標株価： 820円 期間： 中期(数週間~数ヶ月) 理由： その他 切り返し,味の素,2010/11/05,23:29,買い予想,てっかさん,312.46,783.0,+496.99,820,中期(数週間～数ヶ月),その他,そろそろ切り返す？ｶﾝﾌﾞﾘｱ宮殿で取り上げる｡,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\115.html
味の素(2802)の買い予想。 eiji55ka さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,味の素,2010/11/05,11:16,買い予想,eiji55kaさん,432.63,782.0,+497.99,--,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\116.html
"味の素(2802)の買い予想。 カンブリア銘柄で１億ゲットした男 さんの売買予想。 目標株価： 1,500円 期間： 短期(数分~数日) 理由： その他 １１/１１カンブリア宮殿放映、株価最高値！！ ",味の素,2010/11/02,12:27,買い予想,カンブリア銘柄で１億ゲットした男さん,271.46,771.0,+509.15,"1,500",短期(数分～数日),その他,１１/１１にカンブリ○宮殿で放映されるため、悪くても年初来高値いくよ。,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\117.html
味の素(2802)の買い予想。 リサ・ランドール さんの売買予想。 期間： 長期(数ヶ月～数年) 買い,味の素,2010/10/26,17:18,買い予想,リサ・ランドールさん,137.27,796.0,+484.23,--,長期(数ヶ月～数年),,,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\118.html
味の素(2802)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 期間： 中期(数週間~数ヶ月) 買い(’(エ)’) ,味の素,2010/10/13,13:20,買い予想,komko,268.64,807.0,+473.75,--,中期(数週間～数ヶ月),,,"2,152.5",04月08日,20:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\119.html
"味の素(2802)の買い予想。 テラティー さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買いたい",味の素,2017/02/25,19:45,買い予想,テラティーさん,112.74,"2,250.0",-12.44,"3,000",中期(数週間～数ヶ月),配当(株主優待を含む),,"2,152.5",04月08日,20:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2802-味の素/2017-04-08-20-33-05/comment\12.html
