概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
商船三井(9104)の買い予想。 ピエール＝ドンファン さんの売買予想。 目標株価： 449円 期間： 長期(数ヶ月～数年) 理由： その他 予想,商船三井,2017/04/05,12:27,買い予想,ピエール＝ドンファンさん,-2.12,345.0,-1.64,448,長期(数ヶ月～数年),その他,,345.0,04月10日,11:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\1.html
商船三井(9104)の買い予想。 musashiXP さんの売買予想。 目標株価： 284円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,商船三井,2016/11/10,14:07,買い予想,musashiXPさん,4.55,257.0,+95.15,283,中期(数週間～数ヶ月),個人投資家の予想,,345.0,04月10日,11:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\10.html
商船三井(9104)の買い予想。 ﾐﾙｹﾞﾝ さんの売買予想。 目標株価： 250円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,商船三井,2012/10/13,11:49,買い予想,ﾐﾙｹﾞﾝさん,158.78,180.0,+257.50,250,中期(数週間～数ヶ月),チャート,,345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\100.html
"商船三井(9104)の買い予想。 ウォーレン・バフェット敬愛 さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",商船三井,2012/10/04,07:48,買い予想,ウォーレン・バフェット敬愛さん,276.34,190.0,+228.98,"1,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2012/10/04 02:58
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「297円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\101.html
商船三井(9104)の買い予想。 moko♡ さんの売買予想。 目標株価： 192円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,商船三井,2012/09/11,21:23,買い予想,moko♡さん,338.94,182.0,+251.54,192,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

ヨコヨコだね 
　(＊^_-＊)~♡ 
",345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\102.html
商船三井(9104)の買い予想。 むかちゃん さんの売買予想。 目標株価： 189円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) k,商船三井,2012/09/07,19:40,買い予想,むかちゃんさん,505.28,184.0,+245.72,189,短期(数分～数日),業績(会社計画の修正発表を含む),,345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\103.html
商船三井(9104)の買い予想。 アジア さんの売買予想。 目標株価： 285円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成,商船三井,2012/09/06,11:14,買い予想,アジアさん,609.13,183.0,+248.62,285,中期(数週間～数ヶ月),その他,"【株価分析結果】2012/09/06 02:54
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「285円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\104.html
商船三井(9104)の買い予想。 k.masa.bousou('∀'●) さんの売買予想。 目標株価： 215円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,商船三井,2012/09/04,12:08,買い予想,k.masa.bouso,591.83,196.0,+213.27,215,中期(数週間～数ヶ月),その他,,345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\105.html
商船三井(9104)の買い予想。 呑気呆亭 さんの売買予想。 目標株価： 250円 期間： 長期(数ヶ月～数年) 理由： その他 買い,商船三井,2012/09/03,22:29,買い予想,呑気呆亭さん,280.57,192.0,+223.63,250,長期(数ヶ月～数年),その他,,345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\106.html
商船三井(9104)の買い予想。 ﾅﾍﾞｺﾞﾝ さんの売買予想。 目標株価： 298円 期間： 長期(数ヶ月～数年) 理由： その他 そろそろ買い,商船三井,2012/09/03,20:58,買い予想,ﾅﾍﾞｺﾞﾝさん,289.65,192.0,+223.63,298,長期(数ヶ月～数年),その他,今月中は､まだ下がるだろうが､長期間持っておけば上がるさ[emo:154],345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\107.html
商船三井(9104)の買い予想。 きゅうしゅう団地！！ さんの売買予想。 目標株価： 588円 期間： 長期(数ヶ月～数年) 理由： その他 今は暴風雨に耐える時,商船三井,2012/09/01,04:01,買い予想,きゅうしゅう団地！！さん,257.06,196.0,+213.27,588,長期(数ヶ月～数年),その他,"海運無くして日本の産業は成り立たない。
必ず突破できる。
",345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\108.html
商船三井(9104)の買い予想。 ニャン(=^・^=) ママ さんの売買予想。 目標株価： 260円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成,商船三井,2012/09/01,03:16,買い予想,ニャ,205.76,196.0,+213.27,260,長期(数ヶ月～数年),その他,,345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\109.html
商船三井(9104)の買い予想。 Hutamakimozi さんの売買予想。 目標株価： 252円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価252円,商船三井,2016/11/09,12:53,買い予想,Hutamakimoziさん,34.09,239.0,+123.73,252,長期(数ヶ月～数年),その他,,345.0,04月10日,11:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\11.html
商船三井(9104)の買い予想。 kuritann さんの売買予想。 目標株価： 309円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,商船三井,2012/08/30,14:41,買い予想,kuritannさん,362.13,198.0,+208.24,309,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/08/30 02:53
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「309円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\110.html
商船三井(9104)の売り予想。 たきどん さんの売買予想。 目標株価： 160円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に賛成,商船三井,2012/08/29,22:55,売り予想,たきどんさん,-203.31,200.0,-206.16,160,短期(数分～数日),チャート,,345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\111.html
商船三井(9104)の買い予想。 masmi1654 さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,商船三井,2012/08/28,20:38,買い予想,masmi1654さん,304.66,202.0,+198.48,500,長期(数ヶ月～数年),その他,,345.0,04月10日,11:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9104-商船三井/2017-04-10-11-33-36/comment\112.html
