概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"国際石油開発帝石(1605)の買い予想。 dover さんの売買予想。 目標株価： 1,185円 期間： 中期(数週間~数ヶ月) 理由： その他 ...",国際石油開発帝石,2017/04/07,12:00,買い予想,doverさん,75.34,"1,126.5",-0.25,"1,185",中期(数週間～数ヶ月),その他,,"1,126.5",04月08日,17:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\1.html
"国際石油開発帝石(1605)の買い予想。 rinrinrin04 さんの売買予想。 目標株価： 1,250円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 世界情勢から市況強含み",国際石油開発帝石,2017/02/09,20:59,買い予想,rinrinrin04さん,9.52,"1,088.5",+9.66,"1,250",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,126.5",04月08日,17:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\10.html
"国際石油開発帝石(1605)の買い予想。 夢野 さんの売買予想。 目標株価： 4,615円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 株価診断結果「割安」に賛成",国際石油開発帝石,2013/06/22,17:28,買い予想,夢野さん,31.69,"1,032.5",+51.22,"4,615",中期(数週間～数ヶ月),配当(株主優待を含む),"【株価分析結果】2013/06/22 01:06
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「522,388円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,126.5",04月08日,17:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\100.html
"国際石油開発帝石(1605)の買い予想。 jun1916 さんの売買予想。 目標株価： 4,615円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",国際石油開発帝石,2013/06/12,01:04,買い予想,jun1916さん,145.97,"1,062.5",+16.86,"4,615",中期(数週間～数ヶ月),チャート,,"1,126.5",04月08日,17:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\101.html
"国際石油開発帝石(1605)の買い予想。 SDSN さんの売買予想。 目標株価： 4,615円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",国際石油開発帝石,2013/06/04,13:07,買い予想,SDSNさん,90.27,"1,081.2",+11.63,"4,615",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2013/06/04 02:04
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「584,490円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,126.5",04月08日,17:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\102.html
"国際石油開発帝石(1605)の買い予想。 らいとにんぐ さんの売買予想。 目標株価： 4,615円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",国際石油開発帝石,2013/06/01,13:57,買い予想,らいとにんぐさん,553.37,"1,088.7",+9.59,"4,615",長期(数ヶ月～数年),チャート,,"1,126.5",04月08日,17:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\103.html
"国際石油開発帝石(1605)の買い予想。 烈神 さんの売買予想。 目標株価： 4,615円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",国際石油開発帝石,2013/05/30,22:46,買い予想,烈神さん,71.11,"1,112.5",+3.32,"4,615",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/05/30 01:07
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「530,303円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,126.5",04月08日,17:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\104.html
"国際石油開発帝石(1605)の買い予想。 roby10 さんの売買予想。 目標株価： 4,615円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成",国際石油開発帝石,2013/05/29,14:02,買い予想,roby10さん,-8.01,"1,117.5",+2.03,"4,615",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,126.5",04月08日,17:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\105.html
"国際石油開発帝石(1605)の買い予想。 トアンパパ さんの売買予想。 目標株価： 4,615円 期間： 長期(数ヶ月～数年) 理由： その他 シェールガス",国際石油開発帝石,2013/05/29,13:54,買い予想,トアンパパさん,-34.07,"1,121.2",+1.07,"4,615",長期(数ヶ月～数年),その他,,"1,126.5",04月08日,17:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\106.html
"国際石油開発帝石(1605)の買い予想。 Darth Danon さんの売買予想。 目標株価： 4,615円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 買い",国際石油開発帝石,2013/05/26,13:41,買い予想,Darth Danonさん,245.25,"1,125.0",+0.12,"4,615",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,126.5",04月08日,17:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1605-国際石油開発帝石/2017-04-08-17-04-09/comment\107.html
