0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"塩野義製薬(4507)の買い予想。 twitter88 さんの売買予想。 目標株価： 7,265円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価7,265円",塩野義製薬,2017/03/27,14:14,買い予想,twitter88さん,-0.95,"5,788.0",+3.93,"7,265",長期(数ヶ月～数年),チャート,,"5,869.0",04月09日,00:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\1.html
"塩野義製薬(4507)の買い予想。 咲紅羅坂桜子 さんの売買予想。 目標株価： 5,578円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 purchase♡",塩野義製薬,2016/10/22,07:56,買い予想,咲紅羅坂桜子さん,15.35,"5,063.0",+45.21,"5,578",中期(数週間～数ヶ月),個人投資家の予想,,"5,869.0",04月09日,00:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\10.html
塩野義製薬(4507)の買い予想。 むかちゃん さんの売買予想。 目標株価： 883円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,塩野義製薬,2011/11/28,11:23,買い予想,むかちゃんさん,505.28,882.0,"+1,607.50",883,短期(数分～数日),業績(会社計画の修正発表を含む),,"5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\100.html
"塩野義製薬(4507)の買い予想。 crepos さんの売買予想。 目標株価： 1,141円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",塩野義製薬,2011/11/24,12:47,買い予想,creposさん,794.82,883.0,"+1,605.36","1,141",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\101.html
"塩野義製薬(4507)の買い予想。 みに さんの売買予想。 目標株価： 1,205円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成",塩野義製薬,2011/11/18,16:16,買い予想,みにさん,239.67,932.0,"+1,506.01","1,205",中期(数週間～数ヶ月),その他,"【株価分析結果】2011/11/18 01:29
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,476円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\102.html
"塩野義製薬(4507)の買い予想。 kuritann さんの売買予想。 目標株価： 1,506円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",塩野義製薬,2011/11/10,11:27,買い予想,kuritannさん,362.13,977.0,"+1,423.54","1,506",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/11/10 01:29
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,506円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\103.html
"塩野義製薬(4507)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： その他 買い",塩野義製薬,2011/11/03,16:19,買い予想,goodknight1987さん,319.77,"1,019.0","+1,353.15","1,200",長期(数ヶ月～数年),その他,,"5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\104.html
"塩野義製薬(4507)の買い予想。 mikey さんの売買予想。 目標株価： 2,018円 期間： 長期(数ヶ月～数年) 理由： チャート かい",塩野義製薬,2011/11/02,15:46,買い予想,mikeyさん,-284.8,"1,019.0","+1,353.15","2,018",長期(数ヶ月～数年),チャート,,"5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\105.html
"塩野義製薬(4507)の買い予想。 mugimugimon さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",塩野義製薬,2011/11/01,13:08,買い予想,mugimugimonさん,433.54,"1,023.0","+1,346.74","1,100",中期(数週間～数ヶ月),チャート,,"5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\106.html
塩野義製薬(4507)の売り予想。 とし1926 さんの売買予想。 目標株価： 999円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成,塩野義製薬,2011/10/20,20:01,売り予想,とし1926さん,-157.49,"1,103.0","-1,228.96",999,中期(数週間～数ヶ月),チャート,,"5,869.0",04月09日,00:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4507-塩野義製薬/2017-04-09-00-14-14/comment\107.html
