0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"大和ハウス工業(1925)の売り予想。 up.down さんの売買予想。 目標株価： 2,928円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価2,928円",大和ハウス工業,2017/04/06,14:27,売り予想,up.downさん,0.28,"3,110.0",-6.03,"2,928",中期(数週間～数ヶ月),チャート,,"3,175.0",04月08日,18:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\1.html
"大和ハウス工業(1925)の買い予想。 たあ3 さんの売買予想。 目標株価： 3,600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",大和ハウス工業,2017/02/24,05:56,買い予想,たあ3さん,4.94,"3,136.0",+3.44,"3,600",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2017/02/24 01:17
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,902円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
","3,175.0",04月08日,18:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\10.html
"大和ハウス工業(1925)の買い予想。 arama- さんの売買予想。 目標株価： 1,249円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 新技術開発",大和ハウス工業,2011/11/03,17:19,買い予想,arama-さん,177.73,972.0,+644.19,"1,249",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"新技術開発で上値が望めそう

","3,175.0",04月08日,18:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\100.html
"大和ハウス工業(1925)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 1,100円 期間： 長期(数ヶ月～数年) 理由： その他 買い",大和ハウス工業,2011/11/03,16:49,買い予想,goodknight1987さん,319.77,972.0,+644.19,"1,100",長期(数ヶ月～数年),その他,,"3,175.0",04月08日,18:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\101.html
"大和ハウス工業(1925)の買い予想。 福之神 さんの売買予想。 目標株価： 1,121円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです",大和ハウス工業,2011/10/12,09:20,買い予想,福之神さん,287.47,"1,000.0",+618.19,"1,121",中期(数週間～数ヶ月),チャート,買い。http://yoseyo.net/1/1925/,"3,175.0",04月08日,18:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\102.html
"大和ハウス工業(1925)の買い予想。 唐変黙 さんの売買予想。 目標株価： 1,105円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",大和ハウス工業,2011/10/05,12:25,買い予想,唐変黙さん,421.41,986.0,+631.01,"1,105",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2011/10/05 01:06
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,105円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一取引市場の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","3,175.0",04月08日,18:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\103.html
大和ハウス工業(1925)の売り予想。 Good Luck さんの売買予想。 目標株価： 850円 期間： 長期(数ヶ月～数年) 理由： その他 自信なし,大和ハウス工業,2011/09/21,02:22,売り予想,Good Luckさん,-3.57,956.0,-660.33,850,長期(数ヶ月～数年),その他,どうかな？,"3,175.0",04月08日,18:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\104.html
"大和ハウス工業(1925)の買い予想。 yosi_0701 さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",大和ハウス工業,2011/09/16,14:59,買い予想,yosi_0701さん,74.93,957.0,+658.75,"1,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),復興需要、ソーラーハウス、エコハウス,"3,175.0",04月08日,18:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\105.html
大和ハウス工業(1925)の売り予想。 ディケイド さんの売買予想。 目標株価： 970円 期間： 短期(数分~数日) 理由： その他 ｳﾘ,大和ハウス工業,2011/06/22,14:47,売り予想,ディケイドさん,-473.47,"1,002.0",-616.96,970,短期(数分～数日),その他,,"3,175.0",04月08日,18:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\106.html
"大和ハウス工業(1925)の買い予想。 ota81 さんの売買予想。 目標株価： 1,264円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",大和ハウス工業,2011/05/06,19:32,買い予想,ota81さん,177.2,981.0,+635.67,"1,264",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),買い,"3,175.0",04月08日,18:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\107.html
"大和ハウス工業(1925)の買い予想。 サプリ堂 さんの売買予想。 目標株価： 1,212円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",大和ハウス工業,2011/04/27,23:26,買い予想,サプリ堂さん,447.35,942.0,+673.77,"1,212",中期(数週間～数ヶ月),チャート,,"3,175.0",04月08日,18:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\108.html
"大和ハウス工業(1925)の買い予想。 huns さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 大和ハウス工業",大和ハウス工業,2011/04/27,21:43,買い予想,hunsさん,279.5,942.0,+673.77,"1,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,175.0",04月08日,18:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1925-大和ハウス工業/2017-04-08-18-33-50/comment\109.html
