概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
大和証券グループ本社(8601)の売り予想。 クニハロー さんの売買予想。 目標株価： 659円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対,大和証券グループ本社,2017/04/01,00:16,売り予想,クニハローさん,-0.11,676.0,+4.08,659,中期(数週間～数ヶ月),チャート,,663.4,04月10日,09:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\1.html
大和証券グループ本社(8601)の売り予想。 chand さんの売買予想。 目標株価： 586円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に反対,大和証券グループ本社,2016/11/07,21:53,売り予想,chandさん,-28.03,606.5,-28.03,586,短期(数分～数日),その他,,663.4,04月10日,09:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\10.html
大和証券グループ本社(8601)の買い予想。 寅 さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) いまがcb ,大和証券グループ本社,2010/08/26,14:52,買い予想,寅さん,76.97,342.0,+267.98,600,中期(数週間～数ヶ月),配当(株主優待を含む),"株主優待制度の拡充について(適時開示情報)
2010/08/23(16:30)
http://minkabu.jp/stock/8601/news/44368",663.4,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\100.html
大和証券グループ本社(8601)の買い予想。 ikoinokyuukeijo さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： その他 買い,大和証券グループ本社,2010/08/26,13:13,買い予想,ikoinokyuukeijoさん,488.22,342.0,+267.98,--,長期(数ヶ月～数年),その他,,663.4,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\101.html
大和証券グループ本社(8601)の買い予想。 masashimaasa さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 個人投資家の意見「売り」に反対,大和証券グループ本社,2010/08/24,12:12,買い予想,masashimaasaさん,296.63,354.0,+249.25,700,中期(数週間～数ヶ月),,,663.4,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\102.html
大和証券グループ本社(8601)の買い予想。 シャーク さんの売買予想。 目標株価： 580円 期間： 長期(数ヶ月～数年) 理由： チャート 株価診断結果「割安」に賛成,大和証券グループ本社,2010/08/22,14:48,買い予想,シャークさん,-150.56,362.0,+237.46,580,長期(数ヶ月～数年),チャート,"【株価分析結果】2010/08/21 03:32
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「601円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",663.4,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\103.html
大和証券グループ本社(8601)の売り予想。 野村證券 さんの売買予想。 目標株価： 607円 期間： 短期(数分~数日) 個人投資家の意見「売り」に賛成,大和証券グループ本社,2010/07/08,02:09,売り予想,野村證券さん,-2.37,396.0,-194.09,607,短期(数分～数日),,,665.3,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\104.html
大和証券グループ本社(8601)の買い予想。 キャッシー さんの売買予想。 目標株価： 0円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成,大和証券グループ本社,2010/07/03,15:20,買い予想,キャッシーさん,162.57,382.0,+210.14,--,長期(数ヶ月～数年),その他,急な上げは、あまり期待していませんが、優待も継続していたし下値も限定的ではと思い買いかと、,665.3,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\105.html
大和証券グループ本社(8601)の買い予想。 投資の未熟者 さんの売買予想。 目標株価： 524円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,大和証券グループ本社,2010/06/16,22:22,買い予想,投資の未熟者さん,136.28,406.0,+180.91,524,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2010/06/16 03:31
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「524円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",665.3,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\106.html
大和証券グループ本社(8601)の買い予想。 ジェームズ さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： チャート 問答無用で買い,大和証券グループ本社,2010/05/15,07:09,買い予想,ジェームズさん,1846.47,425.0,+160.11,500,中期(数週間～数ヶ月),チャート,"今の株価水準は超割安です。野村の時価2兆2500億に対し大和の7400億は
冷静に考えれば異常値といえるでしょう。いずれにせよこの水準で買っておけば
下がっても100円、上がったら倍も夢ではないと思います。超強気で買いましょう",665.3,04月10日,09:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8601-大和証券グループ本社/2017-04-10-09-17-36/comment\107.html
