0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"大塚ホールディングス(4578)の買い予想。 twitter88 さんの売買予想。 目標株価： 6,306円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価6,303円",大塚ホールディングス,2017/03/27,14:18,買い予想,twitter88さん,-0.95,"5,106.0",+0.72,"6,306",長期(数ヶ月～数年),チャート,,"5,120.0",04月09日,00:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\1.html
"大塚ホールディングス(4578)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 5,200円 期間： 短期(数分~数日) 理由： チャート ｡｡★短期予想★｡｡5200",大塚ホールディングス,2016/12/20,08:29,買い予想,ひとみん｡｡☆さん,0.86,"4,974.0",+8.28,"5,200",短期(数分～数日),チャート,,"5,120.0",04月09日,00:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\10.html
"大塚ホールディングス(4578)の買い予想。 kuritann さんの売買予想。 目標株価： 2,288円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",大塚ホールディングス,2011/08/13,13:30,買い予想,kuritannさん,362.13,"2,056.0",+423.63,"2,288",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/08/13 03:30
　割安

  【総論】
　この銘柄は、上場期間が短い為、みんかぶリサーチによる株価診断においては過去比較を行わず、相対比較の結果を結論として採用します。結果、現在の株価は「割安」と判断されます。
　但し、この銘柄の株価が「2,288円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　この銘柄は、主市場の変更等の要因により、過去分析によって株価の妥当性を判断するに十分な期間に達していません。

【相対比較】
　一方、この銘柄のPBRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\100.html
"大塚ホールディングス(4578)の買い予想。 mar*ko1*444* さんの売買予想。 目標株価： 2,485円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",大塚ホールディングス,2011/08/11,11:26,買い予想,mar*ko1*444*さん,162.75,"2,054.0",+424.32,"2,485",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\101.html
"大塚ホールディングス(4578)の買い予想。 ﾊﾑ太郎 さんの売買予想。 目標株価： 2,400円 期間： 中期(数週間~数ヶ月) 理由： その他 買いたくないけど",大塚ホールディングス,2011/08/09,14:39,買い予想,ﾊﾑ太郎さん,-36.06,"2,022.0",+435.54,"2,400",中期(数週間～数ヶ月),その他,ｳﾞｫﾙﾃｨｽ徳島(ｻｯｶｰJ2)が異常に強いです｡空売りの人は要注意,"5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\102.html
"大塚ホールディングス(4578)の買い予想。 福之神 さんの売買予想。 目標株価： 2,329円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです",大塚ホールディングス,2011/07/08,18:30,買い予想,福之神さん,287.47,"2,137.0",+396.80,"2,329",中期(数週間～数ヶ月),チャート,買い。http://yoseyo.net/4/4578/,"5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\103.html
"大塚ホールディングス(4578)の買い予想。 サプリ堂 さんの売買予想。 目標株価： 2,737円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",大塚ホールディングス,2011/06/19,21:45,買い予想,サプリ堂さん,447.35,"2,115.0",+403.88,"2,737",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\104.html
"大塚ホールディングス(4578)の買い予想。 ガル研君 さんの売買予想。 目標株価： 6,297円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 手堅い経営で裏切らないのが魅力",大塚ホールディングス,2011/06/04,21:08,買い予想,ガル研君さん,406.62,"2,101.0",+408.47,"6,297",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\105.html
"大塚ホールディングス(4578)の買い予想。 ２０A さんの売買予想。 目標株価： 2,400円 期間： 中期(数週間~数ヶ月) 理由： その他 次世代ﾃﾞｨﾌｪﾝｼﾌﾞ",大塚ホールディングス,2011/05/23,21:26,買い予想,２０Aさん,-269.36,"2,139.0",+396.16,"2,400",中期(数週間～数ヶ月),その他,,"5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\106.html
"大塚ホールディングス(4578)の買い予想。 ハヤシのゴトク さんの売買予想。 目標株価： 2,336円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",大塚ホールディングス,2011/05/15,19:45,買い予想,ハヤシのゴトクさん,270.21,"2,125.0",+400.64,"2,336",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/05/14 03:16
　割安

  【総論】
　この銘柄は、上場期間が短い為、みんかぶリサーチによる株価診断においては過去比較を行わず、相対比較の結果を結論として採用します。結果、現在の株価は「割安」と判断されます。
　但し、この銘柄の株価が「2,762円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　この銘柄は、主市場の変更等の要因により、過去分析によって株価の妥当性を判断するに十分な期間に達していません。

【相対比較】
　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","5,120.0",04月09日,00:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4578-大塚ホールディングス/2017-04-09-00-51-02/comment\107.html
