概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
大成建設(1801)の売り予想。 up.down さんの売買予想。 目標株価： 749円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価749円,大成建設,2017/04/06,12:35,売り予想,up.downさん,0.28,822.0,-0.69,749,中期(数週間～数ヶ月),チャート,,823.0,04月08日,17:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\1.html
"大成建設(1801)の買い予想。 オラシオン さんの売買予想。 目標株価： 1,072円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,071円",大成建設,2017/01/08,14:20,買い予想,オラシオンさん,21.05,845.0,-7.73,"1,072",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,823.0,04月08日,17:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\10.html
大成建設(1801)の買い予想。 ゆーたろう73 さんの売買予想。 目標株価： 574円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,大成建設,2013/09/10,03:26,買い予想,ゆーたろう73さん,-57.65,480.0,+202.60,574,中期(数週間～数ヶ月),その他,,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\100.html
大成建設(1801)の買い予想。 サンディ さんの売買予想。 目標株価： 575円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成,大成建設,2013/09/09,23:14,買い予想,サンディさん,203.79,480.0,+202.60,575,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\101.html
大成建設(1801)の買い予想。 xxxyyyzzz さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) KAI,大成建設,2013/09/09,22:14,買い予想,xxxyyyzzzさん,102.57,480.0,+202.60,800,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\102.html
大成建設(1801)の買い予想。 大平義之 さんの売買予想。 目標株価： 575円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,大成建設,2013/09/09,15:20,買い予想,大平義之さん,-81.15,480.0,+202.60,575,短期(数分～数日),業績(会社計画の修正発表を含む),,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\103.html
大成建設(1801)の買い予想。 優パパ32 さんの売買予想。 目標株価： 515円 期間： 中期(数週間~数ヶ月) 理由： その他 オリンピック,大成建設,2013/09/09,11:44,買い予想,優パパ32さん,153.54,470.0,+212.96,515,中期(数週間～数ヶ月),その他,オリンピック,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\104.html
大成建設(1801)の買い予想。 kano さんの売買予想。 目標株価： 711円 期間： 長期(数ヶ月～数年) 理由： チャート BUY,大成建設,2013/09/09,10:38,買い予想,kanoさん,-7.78,470.0,+212.96,711,長期(数ヶ月～数年),チャート,,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\105.html
大成建設(1801)の買い予想。 なしごれん さんの売買予想。 目標株価： 573円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成,大成建設,2013/09/09,08:19,買い予想,なしごれんさん,82.55,478.0,+204.64,573,短期(数分～数日),その他,オリンピック効果,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\106.html
大成建設(1801)の買い予想。 jun1916 さんの売買予想。 目標株価： 427円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,大成建設,2013/09/09,04:00,買い予想,jun1916さん,145.97,478.0,+204.64,427,中期(数週間～数ヶ月),チャート,,823.0,04月08日,17:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1801-大成建設/2017-04-08-17-18-15/comment\107.html
