0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"大日本住友製薬(4506)の買い予想。 畦道花の山 さんの売買予想。 目標株価： 2,116円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価2,112円",大日本住友製薬,2017/04/07,06:35,買い予想,畦道花の山さん,1.35,"1,812.0",-2.04,"2,116",長期(数ヶ月～数年),その他,,"1,800.0",04月09日,00:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\1.html
"大日本住友製薬(4506)の売り予想。 ChiChi-Hiroshi さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に反対",大日本住友製薬,2016/08/31,19:32,売り予想,ChiChi-Hiroshiさん,-14.62,"1,710.0",-15.13,"1,500",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),早期退職募集している時点で、浮上の望み薄。,"1,800.0",04月09日,00:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\10.html
"大日本住友製薬,4506,DSP,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",大日本住友製薬,2010/05/05,10:01,買い予想,おこげさん,529.46,768.0,+381.73,"1,100",,,,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\100.html
"大日本住友製薬(4506)の買い予想。 aliuqa さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",大日本住友製薬,2010/04/29,12:43,買い予想,aliuqaさん,1097.95,784.0,+368.14,"1,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\101.html
大日本住友製薬(4506)の買い予想。 レイリー さんの売買予想。 期間： 短期(数分~数日) aaaaa,大日本住友製薬,2010/04/20,01:08,買い予想,レイリーさん,341.47,830.0,+331.98,--,短期(数分～数日),,,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\102.html
"大日本住友製薬,4506,DSP,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",大日本住友製薬,2010/04/13,07:56,買い予想,ｱﾘﾝｺさん,147.22,865.0,+307.04,900,,,,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\103.html
大日本住友製薬(4506)の買い予想。 kazu.n1 さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い！！,大日本住友製薬,2010/04/11,22:33,買い予想,kazu.n1さん,437.72,867.0,+305.67,--,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),業績が安定して伸びているので買い。,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\104.html
大日本住友製薬(4506)の買い予想。 officebach さんの売買予想。 目標株価： 960円 期間： 中期(数週間~数ヶ月) 理由： チャート やっぷ,大日本住友製薬,2010/04/08,09:59,買い予想,officebachさん,186.34,872.0,+302.29,960,中期(数週間～数ヶ月),チャート,,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\105.html
大日本住友製薬(4506)の買い予想。 NEO -HIRO さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,大日本住友製薬,2010/03/11,13:43,買い予想,NEO -HIROさん,235.36,843.0,+322.47,900,中期(数週間～数ヶ月),チャート,もう底でしょう,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\106.html
大日本住友製薬(4506)の買い予想。 jyunsei さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： チャート kai,大日本住友製薬,2010/03/06,12:52,買い予想,jyunseiさん,495.3,867.0,+305.67,900,中期(数週間～数ヶ月),チャート,かい,"1,800.0",04月09日,00:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4506-大日本住友製薬/2017-04-09-00-09-44/comment\107.html
