概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"大日本印刷(7912)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 1,875円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価1,875円",大日本印刷,2017/02/26,15:47,買い予想,Newジェントルマンさん,-5.41,"1,211.0",-1.40,"1,875",中期(数週間～数ヶ月),その他,,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\1.html
"大日本印刷(7912)の買い予想。 フェブラリーキング さんの売買予想。 目標株価： 1,293円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",大日本印刷,2014/08/30,23:38,買い予想,フェブラリーキングさん,70.22,"1,095.0",+28.56,"1,293",長期(数ヶ月～数年),個人投資家の予想,,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\10.html
"大日本印刷(7912)の買い予想。 zaiono さんの売買予想。 目標株価： 1,300円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成",大日本印刷,2014/08/05,17:22,買い予想,zaionoさん,29.96,"1,045.5",+43.38,"1,300",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\11.html
"大日本印刷(7912)の買い予想。 coopee06 さんの売買予想。 目標株価： 1,251円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,251円",大日本印刷,2014/07/19,22:01,買い予想,coopee06さん,76.41,"1,047.0",+42.91,"1,251",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\12.html
"大日本印刷(7912)の買い予想。 *coco* さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",大日本印刷,2014/07/12,16:21,買い予想,*coco*さん,60.49,"1,060.0",+38.89,"2,000",長期(数ヶ月～数年),その他,,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\13.html
"大日本印刷(7912)の買い予想。 ケイタの父さん さんの売買予想。 目標株価： 1,102円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",大日本印刷,2014/07/01,22:18,買い予想,ケイタの父さんさん,84.39,"1,067.0",+36.77,"1,102",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\14.html
大日本印刷(7912)の売り予想。 akira1957 さんの売買予想。 目標株価： 844円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割高」に賛成,大日本印刷,2014/06/28,22:43,売り予想,akira1957さん,27.23,"1,045.0",-44.08,844,中期(数週間～数ヶ月),その他,"【株価分析結果】2014/06/28 02:20
　割高
元子会社の社員
  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「844円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\15.html
"大日本印刷(7912)の買い予想。 Rin@DragonBrah さんの売買予想。 目標株価： 1,107円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",大日本印刷,2014/06/24,15:03,買い予想,Rin@DragonBrahさん,10.56,"1,065.0",+37.38,"1,107",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\16.html
大日本印刷(7912)の買い予想。 ホワイト@ さんの売買予想。 目標株価： 947円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成,大日本印刷,2014/04/14,14:11,買い予想,ホワイト@さん,108.0,919.0,+88.49,947,短期(数分～数日),その他,,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\17.html
大日本印刷(7912)の買い予想。 ナイルの庭 さんの売買予想。 目標株価： 969円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,大日本印刷,2014/04/11,07:27,買い予想,ナイルの庭さん,295.42,912.0,+91.35,969,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,206.0",04月10日,01:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7912-大日本印刷/2017-04-10-01-49-53/comment\18.html
