0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"大林組(1802)の買い予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 1,372円 期間： 長期(数ヶ月～数年) 理由： チャート 熊本城",大林組,2017/04/05,21:42,買い予想,エグゼクティブ・まっちさん,-14.13,"1,053.0",-3.78,"1,371",長期(数ヶ月～数年),チャート,,"1,040.0",04月08日,17:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\1.html
"大林組(1802)の買い予想。 アラセ さんの売買予想。 目標株価： 1,080円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価1,080円",大林組,2016/10/24,18:01,買い予想,アラセさん,-5.55,990.0,+14.07,"1,080",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,040.0",04月08日,17:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\10.html
大林組(1802)の買い予想。 syunyu さんの売買予想。 目標株価： 443円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,大林組,2011/10/04,18:56,買い予想,syunyuさん,332.58,403.0,+448.76,443,中期(数週間～数ヶ月),チャート,,"1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\100.html
大林組(1802)の買い予想。 Asukau☆～ さんの売買予想。 目標株価： 470円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,大林組,2011/08/21,11:09,買い予想,Asukau☆～さん,638.2,362.0,+531.80,470,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/08/20 03:07
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「282円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より低い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\101.html
大林組(1802)の買い予想。 ★急成長★買付余力XXX億円★ハゲタカファンド さんの売買予想。 目標株価： 464円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) ！,大林組,2011/06/13,22:48,買い予想,★急成長★買付余力XXX億円★ハゲタカファンドさん,137.3,357.0,+543.23,464,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\102.html
大林組(1802)の売り予想。 裸単騎 さんの売買予想。 目標株価： 314円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に賛成,大林組,2011/05/23,04:16,売り予想,裸単騎さん,366.35,347.0,-568.72,314,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\103.html
大林組(1802)の買い予想。 ota81 さんの売買予想。 目標株価： 512円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,大林組,2011/05/15,18:36,買い予想,ota81さん,177.2,358.0,+540.91,512,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),長期で,"1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\104.html
大林組(1802)の買い予想。 js07739 さんの売買予想。 目標株価： 400円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,大林組,2011/04/16,01:53,買い予想,js07739さん,292.71,360.0,+536.33,400,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\105.html
大林組(1802)の買い予想。 あつひろ さんの売買予想。 目標株価： 450円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 買い,大林組,2011/03/25,01:39,買い予想,あつひろさん,260.9,394.0,+465.51,450,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\106.html
大林組(1802)の買い予想。 短期決戦 さんの売買予想。 目標株価： 400円 期間： 短期(数分~数日) 理由： その他 k,大林組,2011/03/20,08:45,買い予想,短期決戦さん,131.46,384.0,+485.04,400,短期(数分～数日),その他,k,"1,040.0",04月08日,17:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1802-大林組/2017-04-08-17-26-57/comment\107.html
