0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"太陽誘電(6976)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 1,400円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･騰がりそう☆",太陽誘電,2017/04/09,18:38,買い予想,ひとみん｡｡☆さん,0.86,成り行き ,,"1,400",中期(数週間～数ヶ月),チャート,,"1,301.0",04月09日,19:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\1.html
"太陽誘電(6976)の売り予想。 株ザックザク♪ さんの売買予想。 目標株価： 1,273円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に反対",太陽誘電,2017/01/05,10:57,売り予想,株ザックザク♪さん,46.29,"1,406.0",+21.03,"1,272",中期(数週間～数ヶ月),個人投資家の予想,”Thxt's”カムバック！,"1,301.0",04月09日,19:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\10.html
"太陽誘電,6976,TaiyoYuden,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",太陽誘電,2009/10/16,14:39,売り予想,空飛ぶ モンティ・パイさん,-418.66,"1,110.0",-49.18,--,,,今年もガチでキます！！,"1,301.0",04月09日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\100.html
太陽誘電(6976)の売り予想。 くぁ さんの売買予想。 目標株価： 900円 期間： 短期(数分~数日) 理由： チャート 太陽誘電 ,太陽誘電,2009/10/09,01:06,売り予想,くぁさん,-27.41,"1,025.0",-76.84,900,短期(数分～数日),チャート,,"1,301.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\101.html
"太陽誘電,6976,TaiyoYuden,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",太陽誘電,2009/08/27,22:22,買い予想,kendottoさん,165.16,"1,159.0",+34.59,--,,,　,"1,301.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\102.html
太陽誘電(6976)の買い予想。 ぼろｰにゃ さんの売買予想。 目標株価： 0円 期間： 短期(数分~数日) 買い,太陽誘電,2009/04/27,15:09,買い予想,ぼろｰにゃさん,878.87,726.0,+224.82,--,短期(数分～数日),,,"1,301.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\103.html
太陽誘電(6976)の売り予想。 紗夜 さんの売買予想。 目標株価： 380円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 売り,太陽誘電,2009/02/22,23:34,売り予想,紗夜さん,-198.27,492.0,-468.15,380,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),下がりそう。,"1,301.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\104.html
太陽誘電(6976)の買い予想。 だいすけどん さんの売買予想。 目標株価： 700円 期間： 長期(数ヶ月～数年) 理由： その他 いける！,太陽誘電,2009/02/22,02:24,買い予想,だいすけどんさん,196.92,492.0,+466.99,700,長期(数ヶ月～数年),その他,たぶん,"1,301.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\105.html
"太陽誘電,6976,TaiyoYuden,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",太陽誘電,2009/01/29,04:38,買い予想,RX78G3さん,601.44,542.0,+397.68,--,短期(数分～数日),,,"1,301.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\106.html
太陽誘電(6976)の売り予想。 ミミちゃん さんの売買予想。 目標株価： 480円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 2009年3月期の連結最終損益が200億円の赤字,太陽誘電,2009/01/26,23:53,売り予想,ミミちゃんさん,168.79,500.0,-456.11,480,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"2009年3月期の連結最終損益が200億円の赤字（前期は106億円の黒字）になる見通しと発表した。赤字幅は過去最大。従来予想は10億円の赤字だった。パソコンや携帯電話向けの部品需要が昨秋以降に急減している。需要増を見込んで生産能力を拡大してきただけに採算悪化が著しい。売上高は従来予想を324億円下回り、前期比22％減の1850億円になる見込み。パソコン、携帯電話、デジタル家電向けなど全般にコンデンサーやフェライトの受注が落ち込んだ。顧客の生産調整は長引いており、1―3月も低水準の受注が続く見込み。newsミミ
","1,301.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6976-太陽誘電/2017-04-09-19-47-14/comment\107.html
