0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
宇部興産(4208)の買い予想。 No Say さんの売買予想。 目標株価： 502円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割高」に反対,宇部興産,2017/04/01,10:02,買い予想,No Sayさん,-9.48,250.0,+0.00,502,長期(数ヶ月～数年),その他,"ここは医薬品も作っているからね
花粉症今年凄いでしょ",251.0,04月08日,23:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\1.html
宇部興産(4208)の買い予想。 musashiXP さんの売買予想。 目標株価： 301円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,宇部興産,2016/11/10,10:53,買い予想,musashiXPさん,4.55,215.0,+46.29,301,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,251.0,04月08日,23:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\10.html
宇部興産(4208)の買い予想。 kamagaku さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 安すぎでしょ,宇部興産,2009/08/26,00:23,買い予想,kamagakuさん,169.33,297.0,-44.99,350,中期(数週間～数ヶ月),,安い,251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\100.html
宇部興産(4208)の買い予想。 bej さんの売買予想。 目標株価： 320円 期間： 短期(数分~数日) 理由： チャート 買い,宇部興産,2009/08/25,21:53,買い予想,bejさん,-398.64,297.0,-44.99,320,短期(数分～数日),チャート,,251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\101.html
宇部興産(4208)の買い予想。 TAKA29810 さんの売買予想。 期間： 短期(数分~数日) 理由： その他 短期,宇部興産,2009/08/21,06:50,買い予想,TAKA29810さん,256.13,289.0,-38.37,--,短期(数分～数日),その他,,251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\102.html
宇部興産(4208)の買い予想。 飛雲龍 さんの売買予想。 目標株価： 300円 理由： 業績(会社計画の修正発表を含む) 買い,宇部興産,2009/08/14,17:47,買い予想,飛雲龍さん,82.09,262.0,-13.02,300,,業績(会社計画の修正発表を含む),【,251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\103.html
宇部興産(4208)の買い予想。 とんこつ さんの売買予想。 目標株価： 320円 期間： 中期(数週間~数ヶ月) 理由： チャート チャインドネシア,宇部興産,2009/07/27,21:28,買い予想,とんこつさん,30.79,279.0,-29.55,320,中期(数週間～数ヶ月),チャート,いい取組。押し目買いしたい。,251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\104.html
宇部興産(4208)の買い予想。 セクスィー課長 さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,宇部興産,2009/07/24,22:00,買い予想,セクスィー課長さん,129.19,279.0,-29.55,300,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),この企業しか製造していない素材が現在逼迫しており直近の売り上げが拡大している。これは欧州で起きた同業のプラントトラブルにより供給元が細っていることが原因との情報もあるが中国からはこの企業との取引を指定してくる企業もあり完全な売り商売となっており、こ素材以外にも電池向け等希少素材を独占的に製造しているところが現株価に対する割安感を受ける感想です。,251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\105.html
宇部興産(4208)の買い予想。 じゅりあぱぱ さんの売買予想。 目標株価： 320円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) かい,宇部興産,2009/07/07,17:27,買い予想,じゅりあぱぱさん,199.01,260.0,-10.93,320,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2009/07/07 03:15
",251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\106.html
宇部興産(4208)の買い予想。 yutorikun さんの売買予想。 目標株価： 440円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 期待してます,宇部興産,2009/07/06,11:32,買い予想,yutorikunさん,-51.11,283.0,-33.15,440,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),上方修正！,251.0,04月08日,23:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4208-宇部興産/2017-04-08-23-21-34/comment\107.html
