0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"安川電機(6506)の買い予想。 クニハロー さんの売買予想。 目標株価： 2,239円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",安川電機,2017/04/08,03:22,買い予想,クニハローさん,-0.11,成り行き ,,"2,239",中期(数週間～数ヶ月),チャート,,"2,116.0",04月09日,15:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\1.html
"安川電機(6506)の買い予想。 高山深谷 さんの売買予想。 目標株価： 2,007円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",安川電機,2017/01/25,05:21,買い予想,高山深谷さん,-0.18,"1,942.0",+25.33,"2,007",短期(数分～数日),チャート,,"2,116.0",04月09日,15:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\10.html
安川電機(6506)の買い予想。 mimi521 さんの売買予想。 目標株価： 866円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,安川電機,2011/08/04,21:11,買い予想,mimi521さん,149.42,796.0,+471.19,866,短期(数分～数日),業績(会社計画の修正発表を含む),,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\100.html
"安川電機(6506)の買い予想。 alwida さんの売買予想。 目標株価： 2,766円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",安川電機,2011/07/20,11:25,買い予想,alwidaさん,410.5,920.0,+369.35,"2,766",短期(数分～数日),業績(会社計画の修正発表を含む),上方修正これはすごいぞ,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\101.html
安川電機(6506)の買い予想。 短期決戦 さんの売買予想。 目標株価： 950円 期間： 短期(数分~数日) 理由： その他 k,安川電機,2011/04/25,03:33,買い予想,短期決戦さん,131.46,924.0,+366.52,950,短期(数分～数日),その他,k,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\102.html
"安川電機(6506)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： その他 買い(’(エ)’) ",安川電機,2011/02/16,18:01,買い予想,komko,268.64,981.0,+328.70,"1,500",中期(数週間～数ヶ月),その他,,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\103.html
安川電機(6506)の売り予想。 ・・・・・・・・888・・・・・・・・ さんの売買予想。 目標株価： 806円 期間： 長期(数ヶ月～数年) 理由： チャート 売り,安川電機,2011/01/27,08:36,売り予想,・・・・・・・・888・・・・・・・・さん,-201.63,893.0,-389.76,806,長期(数ヶ月～数年),チャート,,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\104.html
安川電機(6506)の売り予想。 ななっちのﾊﾟﾊﾟ さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対,安川電機,2010/12/18,12:37,売り予想,ななっちのﾊﾟﾊﾟさん,-496.52,772.0,-495.42,800,中期(数週間～数ヶ月),チャート,,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\105.html
"安川電機(6506)の買い予想。 dover さんの売買予想。 目標株価： 1,300円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",安川電機,2010/12/06,08:55,買い予想,doverさん,75.34,753.0,+514.34,"1,300",長期(数ヶ月～数年),その他,,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\106.html
安川電機(6506)の買い予想。 魔女猫 さんの売買予想。 目標株価： 739円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成,安川電機,2010/12/01,00:27,買い予想,魔女猫さん,425.99,725.0,+545.18,739,長期(数ヶ月～数年),その他,試作品が来年出るから,"2,116.0",04月09日,16:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6506-安川電機/2017-04-09-15-58-17/comment\107.html
