0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"宝ホールディングス(2531)の買い予想。 doctag さんの売買予想。 目標株価： 1,316円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",宝ホールディングス,2017/03/06,00:41,買い予想,doctagさん,12.05,"1,196.0",-4.04,"1,315",中期(数週間～数ヶ月),チャート,,"1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\1.html
宝ホールディングス(2531)の買い予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 815円 期間： 短期(数分~数日) 理由： その他 sd,宝ホールディングス,2016/02/20,20:50,買い予想,ファミリア、マクハリさん,148.36,806.0,+131.59,815,短期(数分～数日),その他,,"1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\10.html
宝ホールディングス(2531)の売り予想。 松岡政也 さんの売買予想。 目標株価： 400円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,宝ホールディングス,2015/11/01,13:57,売り予想,松岡政也さん,-25.38,855.0,-108.42,400,長期(数ヶ月～数年),その他,,"1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\11.html
宝ホールディングス(2531)の買い予想。 きゃっと.NET さんの売買予想。 目標株価： 993円 期間： 中期(数週間~数ヶ月) 理由： その他 かい,宝ホールディングス,2015/10/20,03:53,買い予想,きゃっと.NETさん,23.36,853.0,+108.67,993,中期(数週間～数ヶ月),その他,,"1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\12.html
宝ホールディングス(2531)の買い予想。 りんちゃいが さんの売買予想。 目標株価： 746円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,宝ホールディングス,2015/09/18,12:58,買い予想,りんちゃいがさん,64.35,723.0,+179.34,745,中期(数週間～数ヶ月),その他,,"1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\13.html
宝ホールディングス(2531)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 916円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価911円,宝ホールディングス,2015/05/09,09:03,買い予想,37 　 工事中 !さん,57.65,889.0,+92.76,916,長期(数ヶ月～数年),その他,,"1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\14.html
宝ホールディングス(2531)の買い予想。 ゆくりん さんの売買予想。 目標株価： 972円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 増益 amp;増配,宝ホールディングス,2015/05/09,04:26,買い予想,ゆくりんさん,44.25,889.0,+92.76,972,短期(数分～数日),業績(会社計画の修正発表を含む),"前期経常が上振れ着地・今期は1％増益、前期配当を1円増額・今期は1円増配へ
5期連続増収、3期連続増益
※出来高76万 割高 1.34倍","1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\15.html
宝ホールディングス(2531)の買い予想。 荒野ノ大鷹 さんの売買予想。 目標株価： 965円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価965円,宝ホールディングス,2014/12/18,18:03,買い予想,荒野ノ大鷹さん,51.47,795.0,+137.35,965,長期(数ヶ月～数年),その他,,"1,180.0",04月08日,20:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\16.html
"宝ホールディングス(2531)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： その他 買い",宝ホールディングス,2014/12/16,00:03,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,755.0,+159.69,"1,000",長期(数ヶ月～数年),その他,,"1,180.0",04月08日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\17.html
宝ホールディングス(2531)の買い予想。 kenkyo7033 さんの売買予想。 目標株価： 815円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,宝ホールディングス,2014/12/04,12:22,買い予想,kenkyo7033さん,19.93,801.0,+134.19,815,短期(数分～数日),業績(会社計画の修正発表を含む),【株価分析結果】2014/12/04 01:18　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「956円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一取引市場の平均値よりも低い為、相対比較の観点からは割安と判断されます。,"1,180.0",04月08日,20:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2531-宝ホールディングス/2017-04-08-20-04-11/comment\18.html
