0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"富士フイルムホールディングス(4901)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 4,212円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 92.9pss",富士フイルムホールディングス,2017/03/23,00:06,売り予想,７本ＤＭさん,0.86,"4,468.0",+15.91,"4,212",中期(数週間～数ヶ月),個人投資家の予想,,"4,217.0",04月09日,01:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\1.html
"富士フイルムホールディングス(4901)の買い予想。 ドンタロウ さんの売買予想。 目標株価： 4,917円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価5,000円",富士フイルムホールディングス,2017/01/24,11:37,買い予想,ドンタロウさん,75.8,"4,288.0",-4.77,"4,917",中期(数週間～数ヶ月),チャート,,"4,217.0",04月09日,01:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\10.html
"富士フイルムホールディングス(4901)の買い予想。 柿条院常臣 さんの売買予想。 目標株価： 3,938円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価3,938円",富士フイルムホールディングス,2015/01/09,17:50,買い予想,柿条院常臣さん,46.34,"3,718.5",+38.04,"3,938",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\100.html
"富士フイルムホールディングス(4901)の買い予想。 ara*a*26 さんの売買予想。 目標株価： 5,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",富士フイルムホールディングス,2015/01/05,20:39,買い予想,ara*a*26さん,-25.23,"3,708.5",+38.91,"5,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\101.html
"富士フイルムホールディングス(4901)の買い予想。 moju さんの売買予想。 目標株価： 3,995円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",富士フイルムホールディングス,2015/01/03,16:58,買い予想,mojuさん,40.83,"3,714.5",+38.39,"3,995",中期(数週間～数ヶ月),チャート,,"4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\102.html
"富士フイルムホールディングス(4901)の買い予想。 だびんち さんの売買予想。 目標株価： 4,602円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",富士フイルムホールディングス,2014/12/17,16:39,買い予想,だびんちさん,63.67,"3,600.0",+48.65,"4,602",長期(数ヶ月～数年),個人投資家の予想,"差し替え 2


エボラ薬：アビガン 

1月の承認待ち","4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\103.html
"富士フイルムホールディングス(4901)の買い予想。 ter*d*ne_s*ne さんの売買予想。 目標株価： 4,003円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",富士フイルムホールディングス,2014/12/10,08:33,買い予想,ter*d*ne_s*neさん,31.75,"3,797.0",+31.37,"4,003",短期(数分～数日),個人投資家の予想,,"4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\104.html
"富士フイルムホールディングス(4901)の売り予想。 ddcdeccdcc さんの売買予想。 目標株価： 3,585円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に反対",富士フイルムホールディングス,2014/12/04,23:57,売り予想,ddcdeccdccさん,-25.28,"3,874.0",-25.25,"3,585",長期(数ヶ月～数年),個人投資家の予想,,"4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\105.html
"富士フイルムホールディングス(4901)の買い予想。 konchan55 さんの売買予想。 目標株価： 4,116円 期間： 短期(数分~数日) 理由： その他 買い予想 短期 目標株価4,105円",富士フイルムホールディングス,2014/12/03,23:23,買い予想,konchan55さん,20.34,"3,943.0",+19.68,"4,116",短期(数分～数日),その他,,"4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\106.html
"富士フイルムホールディングス(4901)の売り予想。 hkyaaaan さんの売買予想。 目標株価： 3,936円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割高」に賛成",富士フイルムホールディングス,2014/11/28,23:26,売り予想,hkyaaaanさん,77.68,"3,952.5",-19.10,"3,935",短期(数分～数日),イベント(増資／合弁・買収／分割等),"【株価分析結果】2014/11/28 01:47　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「3,144円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。","4,217.0",04月09日,01:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4901-富士フイルムホールディングス/2017-04-09-01-51-18/comment\107.html
