概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
富士通(6702)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 642円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 81.9pss,富士通,2017/04/03,21:16,売り予想,７本ＤＭさん,0.86,682.7,+5.74,642,中期(数週間～数ヶ月),個人投資家の予想,,667.9,04月09日,16:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\1.html
富士通(6702)の買い予想。 ゆーりんラリー さんの売買予想。 目標株価： 779円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成,富士通,2016/12/16,19:46,買い予想,ゆーりんラリーさん,5.31,685.0,-7.51,779,短期(数分～数日),その他,,667.9,04月09日,16:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\10.html
"富士通(6702)の買い予想。 let's smile! さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",富士通,2014/02/01,02:05,買い予想,let's smile!さん,43.45,570.0,+48.34,"1,500",中期(数週間～数ヶ月),チャート,,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\100.html
富士通(6702)の買い予想。 け ん じ さんの売買予想。 目標株価： 723円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,富士通,2014/01/27,19:34,買い予想,け　ん　じさん,256.76,496.0,+97.97,723,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\101.html
富士通(6702)の買い予想。 sui*6*1 さんの売買予想。 目標株価： 598円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,富士通,2014/01/11,06:28,買い予想,sui*6*1さん,62.29,530.0,+73.45,598,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\102.html
富士通(6702)の買い予想。 鉄兵 さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,富士通,2014/01/04,01:07,買い予想,鉄兵さん,62.44,540.0,+66.82,600,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\103.html
"富士通(6702)の買い予想。 そら豆の株予報 さんの売買予想。 目標株価： 1,100円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 快進の復活劇を期待",富士通,2013/12/24,15:40,買い予想,そら豆の株予報さん,56.59,526.0,+76.17,"1,100",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\104.html
富士通(6702)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 484円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。,富士通,2013/12/06,15:10,買い予想,地球猛獣群さん,72.7,490.0,+102.65,484,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\105.html
富士通(6702)の買い予想。 hiro1771 さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 付き合い,富士通,2013/11/25,17:05,買い予想,hiro1771さん,124.28,472.0,+117.41,500,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\106.html
富士通(6702)の売り予想。 machyan さんの売買予想。 目標株価： 440円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対,富士通,2013/11/16,12:15,売り予想,machyanさん,-116.19,476.0,-115.23,440,短期(数分～数日),チャート,上がりが急上昇しすぎ少し調整になるのでは　ただ、中期でみれば上昇,667.9,04月09日,16:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6702-富士通/2017-04-09-16-36-35/comment\107.html
