概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ＳＵＢＡＲＵ(7270)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 4,440円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",富士重工業,2017/04/05,13:11,買い予想,kouboudaisiさん,12.36,"3,936.0",+0.28,"4,440",中期(数週間～数ヶ月),個人投資家の予想,,"3,941.0",04月10日,00:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\1.html
"ＳＵＢＡＲＵ(7270)の買い予想。 naoki107 さんの売買予想。 目標株価： 5,016円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 上場来高値更新いけそう。",富士重工業,2017/02/23,12:46,買い予想,naoki107さん,37.57,"4,278.0",-22.46,"5,016",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"目先は円高への警戒感から売り誘発の気配を含んでいるものの、米国での販売堅調、業界内での比較でも割安感。当面目指す株価のピークは2018年予定の多人数乗り新型車の公表時期と思われるが、今年予定されているインプレッサのフルモデルチェンジ、来期にまたがる米国工場の生産能力増強による上ブレ要因もまだ織り込まれていない。ＰＢＲ・ＰＥＲの適正価4,800円台を底値として、年初来高値5,016円を超え、上場来高値5,223円更新で一旦の達成感。上値買いの好きな海外勢が動けば5,500円台までは早い時期に狙える。（2017.2.23）
","3,941.0",04月10日,00:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\10.html
"ＳＵＢＡＲＵ(7270)の買い予想。 Roboskey さんの売買予想。 目標株価： 6,000円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",富士重工業,2015/01/17,19:55,買い予想,Roboskeyさん,196.8,"4,225.0",-19.18,"6,000",中期(数週間～数ヶ月),個人投資家の予想,,"3,941.0",04月10日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\100.html
"ＳＵＢＡＲＵ(7270)の買い予想。 impreza さんの売買予想。 目標株価： 4,906円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価4,906円",富士重工業,2015/01/05,12:32,買い予想,imprezaさん,23.4,"4,270.0",-21.97,"4,906",長期(数ヶ月～数年),その他,,"3,941.0",04月10日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\101.html
"ＳＵＢＡＲＵ(7270)の買い予想。 az12 さんの売買予想。 目標株価： 4,647円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",富士重工業,2014/12/27,12:25,買い予想,az12さん,-36.45,"4,448.0",-32.47,"4,646",中期(数週間～数ヶ月),個人投資家の予想,,"3,941.0",04月10日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\102.html
"ＳＵＢＡＲＵ(7270)の買い予想。 ageman さんの売買予想。 目標株価： 4,607円 期間： 短期(数分~数日) 理由： 個人投資家の予想 円安ですぐに高値に近づくと思います。",富士重工業,2014/12/23,19:07,買い予想,agemanさん,18.41,"4,407.5",-30.16,"4,607",短期(数分～数日),個人投資家の予想,,"3,941.0",04月10日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\103.html
"ＳＵＢＡＲＵ(7270)の買い予想。 カズッチ さんの売買予想。 目標株価： 4,519円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 円安",富士重工業,2014/12/11,23:20,買い予想,カズッチさん,-19.37,"4,300.0",-23.80,"4,519",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),円安,"3,941.0",04月10日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\104.html
"ＳＵＢＡＲＵ(7270)の買い予想。 ミラノサンジェルマン さんの売買予想。 目標株価： 4,664円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",富士重工業,2014/12/10,19:02,買い予想,ミラノサンジェルマンさん,-19.77,"4,110.0",-11.76,"4,664",中期(数週間～数ヶ月),個人投資家の予想,,"3,941.0",04月10日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\105.html
"ＳＵＢＡＲＵ(7270)の買い予想。 sumirekeita さんの売買予想。 目標株価： 5,009円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価5,009円",富士重工業,2014/12/01,20:04,買い予想,sumirekeitaさん,102.16,"4,394.0",-29.38,"5,009",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,941.0",04月10日,00:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\106.html
"ＳＵＢＡＲＵ(7270)の売り予想。 goyabun さんの売買予想。 目標株価： 3,495円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対",富士重工業,2014/11/21,01:15,売り予想,goyabunさん,20.07,"4,255.5",+20.94,"3,495",短期(数分～数日),チャート,,"3,941.0",04月10日,00:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7270-富士重工業/2017-04-10-00-37-09/comment\107.html
