概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
富士電機(6504)の売り予想。 up.down さんの売買予想。 目標株価： 586円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価582円,富士電機,2017/04/05,09:41,売り予想,up.downさん,0.28,641.0,+8.42,586,中期(数週間～数ヶ月),チャート,,621.0,04月09日,15:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\1.html
富士電機(6504)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 350円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,富士電機,2016/10/15,16:22,売り予想,エグゼクティブ・まっちさん,-14.13,502.0,-67.97,350,長期(数ヶ月～数年),チャート,,621.0,04月09日,15:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\10.html
富士電機(6504)の買い予想。 ookazujp2007 さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 個人投資家の意見「買い」に賛成,富士電機,2010/04/13,18:17,買い予想,ookazujp2007さん,39.15,299.0,+305.28,600,長期(数ヶ月～数年),,,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\100.html
富士電機(6504)の買い予想。 サルビア77ちゃん さんの売買予想。 目標株価： 620円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 手離さなきゃまだ上がる！みんなもホルダーで幸せ,富士電機,2010/04/10,04:30,買い予想,サルビア77ちゃんさん,558.38,303.0,+594.99,620,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),172円から我慢してもっていました＾＾：黒崎播磨＆鬼怒川ゴムに負けるな～～～,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\101.html
富士電機(6504)の買い予想。 ディーン さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： その他 スマートグリッド関連,富士電機,2010/04/08,20:55,買い予想,ディーンさん,283.84,295.0,+313.27,350,中期(数週間～数ヶ月),その他,,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\102.html
富士電機(6504)の買い予想。 カリスマアセマネ さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,富士電機,2010/04/06,12:24,買い予想,カリスマアセマネさん,-29.52,286.0,+332.08,500,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),スマートグリッド関連有望株として、中・長期保有で期待しています。,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\103.html
富士電機(6504)の買い予想。 rninkabu さんの売買予想。 期間： 長期(数ヶ月～数年) 業績(会社計画の修正発表を含む),富士電機,2010/03/14,19:51,買い予想,rninkabuさん,468.89,246.0,+432.31,--,長期(数ヶ月～数年),,,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\104.html
富士電機(6504)の買い予想。 維真 さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 個人投資家の意見「買い」に賛成,富士電機,2010/03/11,07:52,買い予想,維真さん,200.5,245.0,+435.24,350,中期(数週間～数ヶ月),,　今日、昨日よりちょっとでも安く買えるなら買う予定,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\105.html
富士電機(6504)の買い予想。 ﾏｯｸ さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： その他 中長期ﾎｰﾙﾄﾞ,富士電機,2010/03/05,05:31,買い予想,ﾏｯｸさん,254.87,226.0,+495.74,600,中期(数週間～数ヶ月),その他,ｽﾏｰﾄｸﾞﾘｯﾄﾞ､中国鉄道関連需要の伸び､環境対応ﾊﾟﾜｰ半導体､ﾃﾞｨｽｸ媒体復調ﾌﾙ稼動へ｡,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\106.html
富士電機(6504)の買い予想。 gooo0920 さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,富士電機,2010/02/27,00:08,買い予想,gooo0920さん,164.16,207.0,+567.34,300,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\107.html
富士電機(6504)の買い予想。 てっか さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) 理由： チャート 買う,富士電機,2010/02/26,11:19,買い予想,てっかさん,312.46,210.0,+555.17,--,中期(数週間～数ヶ月),チャート,,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\108.html
富士電機(6504)の買い予想。 jjk さんの売買予想。 目標株価： 230円 期間： 短期(数分~数日) 理由： その他 スマートグリッド,富士電機,2010/02/25,08:20,買い予想,jjkさん,159.84,230.0,+482.17,230,短期(数分～数日),その他,,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\109.html
富士電機(6504)の買い予想。 musashiXP さんの売買予想。 目標株価： 507円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,富士電機,2016/10/05,12:29,買い予想,musashiXPさん,4.55,483.0,+80.65,507,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/10/05 03:26
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「507円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",621.0,04月09日,15:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\11.html
富士電機(6504)の買い予想。 トミ さんの売買予想。 目標株価： 250円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,富士電機,2010/02/23,06:53,買い予想,トミさん,301.89,221.0,+513.39,250,中期(数週間～数ヶ月),チャート,,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\110.html
富士電機(6504)の買い予想。 やまぶき さんの売買予想。 目標株価： 280円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成,富士電機,2010/02/17,11:24,買い予想,やまぶきさん,331.66,209.0,+559.19,280,長期(数ヶ月～数年),チャート,,621.0,04月09日,15:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6504-富士電機/2017-04-09-15-52-21/comment\111.html
