0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"コマツ(6301)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 2,700円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆",小松製作所,2017/04/06,18:50,売り予想,ひとみん｡｡☆さん,0.86,"2,881.0",+2.71,"2,700",中期(数週間～数ヶ月),チャート,,"2,852.5",04月09日,13:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\1.html
"コマツ(6301)の買い予想。 まやのり さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い",小松製作所,2016/12/22,01:32,買い予想,まやのりさん,7.0,"2,690.0",+17.07,"3,000",長期(数ヶ月～数年),個人投資家の予想,,"2,852.5",04月09日,13:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\10.html
"コマツ(6301)の買い予想。 kazuik2 さんの売買予想。 目標株価： 2,384円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) もう少し下で買えるかも",小松製作所,2013/10/29,20:18,買い予想,kazuik2さん,-58.8,"2,168.0",+89.64,"2,384",中期(数週間～数ヶ月),配当(株主優待を含む),,"2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\100.html
"コマツ(6301)の買い予想。 ponta2010 さんの売買予想。 目標株価： 2,300円 期間： 短期(数分~数日) 理由： チャート 良い買い場",小松製作所,2013/10/29,12:06,買い予想,ponta2010さん,93.28,"2,167.0",+89.82,"2,300",短期(数分～数日),チャート,決して良くはないが騒ぐほど悪くもない,"2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\101.html
"コマツ(6301)の買い予想。 きゃんちゃん さんの売買予想。 目標株価： 2,484円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",小松製作所,2013/10/19,13:09,買い予想,きゃんちゃんさん,63.62,"2,369.0",+57.91,"2,484",中期(数週間～数ヶ月),その他,,"2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\102.html
"コマツ(6301)の買い予想。 TAD-STOCK さんの売買予想。 目標株価： 2,697円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 今買い",小松製作所,2013/10/14,18:44,買い予想,TAD-STOCKさん,56.92,"2,400.0",+53.49,"2,697",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\103.html
"コマツ(6301)の買い予想。 nekotarosu さんの売買予想。 目標株価： 4,924円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",小松製作所,2013/09/30,13:14,買い予想,nekotarosuさん,82.58,"2,461.0",+45.12,"4,924",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"国土強靭化、オリンピック、コマツにプラスの材料ばかり。
海外での業績好調。
GPS機能や、盗難防止機能が、国内、海外でシェアを伸ばすのは確実だと思われる。
","2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\104.html
"コマツ(6301)の売り予想。 晴れ時々晴れ さんの売買予想。 目標株価： 2,450円 期間： 短期(数分~数日) 理由： その他 米キャタピラーの悪データから連想売り",小松製作所,2013/09/21,20:43,売り予想,晴れ時々晴れさん,-32.03,"2,538.0",-35.34,"2,450",短期(数分～数日),その他,"週末のキャタピラーは売上データの不振を受けて-3.4%とダウ銘柄で最悪の
下げに。

週明け中国HSBC PMI数値が非常に良い物になれば助かる可能性も十分考え
られるが、PMIが予想の範疇程度またはそれ以下に留まった場合、売りは
避けられそうにない。","2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\105.html
"コマツ(6301)の売り予想。 WERD さんの売買予想。 目標株価： 2,279円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に反対",小松製作所,2013/09/18,02:08,売り予想,WERDさん,-109.54,"2,560.0",-32.60,"2,279",中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/09/14 01:57
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,566円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\106.html
"コマツ(6301)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： その他 買い",小松製作所,2013/09/11,00:08,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,"2,477.0",+42.99,"3,000",長期(数ヶ月～数年),その他,,"2,852.5",04月09日,13:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6301-小松製作所/2017-04-09-13-05-29/comment\107.html
