0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"小田急電鉄(9007)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 3,414円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価3,346円",小田急電鉄,2017/02/26,15:51,買い予想,Newジェントルマンさん,-5.41,"2,200.0",-5.94,"3,414",中期(数週間～数ヶ月),その他,,"2,139.0",04月10日,10:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\1.html
"小田急電鉄(9007)の売り予想。 チャーティスト3 さんの売買予想。 目標株価： 1,446円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",小田急電鉄,2015/09/06,13:35,売り予想,チャーティスト3さん,-33.49,"2,086.0",-9.54,"1,446",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2015/09/05 01:56　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,027円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。","2,139.0",04月10日,10:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\10.html
"小田急電鉄(9007)の売り予想。 matm00525 さんの売買予想。 目標株価： 2,040円 期間： 長期(数ヶ月～数年) 理由： チャート 売り予想 長期 目標株価1,009円",小田急電鉄,2015/08/16,20:52,売り予想,matm00525さん,-61.17,"2,468.0",+35.94,"2,040",長期(数ヶ月～数年),チャート,,"2,139.0",04月10日,10:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\11.html
"小田急電鉄(9007)の売り予想。 moukmouk さんの売買予想。 目標株価： 1,760円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",小田急電鉄,2014/10/31,15:03,売り予想,moukmoukさん,2.62,"2,164.0",+1.05,"1,760",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2014/10/31 02:37　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「880円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。,"2,139.0",04月10日,10:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\12.html
"小田急電鉄(9007)の買い予想。 pantan さんの売買予想。 目標株価： 2,502円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",小田急電鉄,2014/05/28,19:29,買い予想,pantanさん,15.04,"1,850.0",+46.72,"2,502",長期(数ヶ月～数年),チャート,,"2,139.0",04月10日,10:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\13.html
"小田急電鉄(9007)の売り予想。 とがしな さんの売買予想。 目標株価： 1,490円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",小田急電鉄,2014/03/13,11:35,売り予想,とがしなさん,-13.75,"1,772.0",-61.62,"1,490",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2014/03/13 02:31
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「745円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。
","2,139.0",04月10日,10:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\14.html
"小田急電鉄(9007)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 1,856円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。",小田急電鉄,2013/12/06,14:22,買い予想,地球猛獣群さん,72.7,"1,806.0",+54.79,"1,856",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\15.html
"小田急電鉄(9007)の買い予想。 lala2012 さんの売買予想。 目標株価： 2,014円 期間： 長期(数ヶ月～数年) 理由： その他 10月",小田急電鉄,2013/10/17,20:25,買い予想,lala2012さん,106.33,"1,952.0",+29.42,"2,014",長期(数ヶ月～数年),その他,,"2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\16.html
"小田急電鉄(9007)の買い予想。 ダテマキ さんの売買予想。 目標株価： 2,340円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",小田急電鉄,2013/05/27,08:09,買い予想,ダテマキさん,34.6,"2,120.0",+4.56,"2,340",中期(数週間～数ヶ月),チャート,,"2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\17.html
"小田急電鉄(9007)の売り予想。 satoshi_0908 さんの売買予想。 目標株価： 1,488円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",小田急電鉄,2013/05/25,15:49,売り予想,satoshi_0908さん,81.9,"2,120.0",-4.82,"1,488",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/05/25 02:32
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「810円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\18.html
"小田急電鉄(9007)の売り予想。 ヘタこいた さんの売買予想。 目標株価： 2,266円 期間： 中期(数週間~数ヶ月) 理由： チャート 上がりすぎ・・・かな",小田急電鉄,2013/04/06,21:43,売り予想,ヘタこいたさん,-59.41,"2,400.0",+28.90,"2,266",中期(数週間～数ヶ月),チャート,,"2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\19.html
"小田急電鉄(9007)の買い予想。 ぽっぷさん さんの売買予想。 目標株価： 2,453円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",小田急電鉄,2017/02/18,16:24,買い予想,ぽっぷさんさん,2.82,"2,230.0",-9.69,"2,453",中期(数週間～数ヶ月),個人投資家の予想,抜けて来ます。,"2,139.0",04月10日,10:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\2.html
"小田急電鉄(9007)の売り予想。 WERD さんの売買予想。 目標株価： 1,516円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成",小田急電鉄,2013/03/21,09:21,売り予想,WERDさん,-109.54,"2,428.0",+31.85,"1,516",中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/03/20 02:40
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「758円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\20.html
"小田急電鉄(9007)の買い予想。 ohｔyoch05 さんの売買予想。 目標株価： 2,546円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",小田急電鉄,2013/03/16,20:25,買い予想,ohｔyoch05さん,282.58,"2,282.0",-15.95,"2,546",中期(数週間～数ヶ月),その他,bb,"2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\21.html
"小田急電鉄(9007)の売り予想。 ・・・・・・・・888・・・・・・・・ さんの売買予想。 目標株価： 1,750円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り",小田急電鉄,2013/01/07,08:44,売り予想,・・・・・・・・888・・・・・・・・さん,-201.63,"1,844.0",-48.11,"1,750",中期(数週間～数ヶ月),チャート,,"2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\22.html
"小田急電鉄(9007)の買い予想。 アジア さんの売買予想。 目標株価： 1,608円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割高」に反対",小田急電鉄,2012/07/23,14:34,買い予想,アジアさん,609.13,"1,562.0",+107.77,"1,608",中期(数週間～数ヶ月),その他,"【株価分析結果】2012/07/21 02:52
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「710円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","2,139.0",04月10日,10:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9007-小田急電鉄/2017-04-10-10-48-22/comment\23.html
