概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
川崎汽船(9107)の売り予想。 アノマリー さんの売買予想。 目標株価： 238円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成,川崎汽船,2017/04/04,23:21,売り予想,アノマリーさん,-22.59,295.0,+0.96,238,中期(数週間～数ヶ月),チャート,"【株価分析結果】2017/04/04 04:27
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「238円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",292.0,04月10日,11:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\1.html
川崎汽船(9107)の買い予想。 たろぺろ さんの売買予想。 目標株価： 307円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成,川崎汽船,2015/08/04,07:24,買い予想,たろぺろさん,-31.86,280.0,+12.18,306,短期(数分～数日),チャート,,292.0,04月10日,11:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\10.html
川崎汽船(9107)の買い予想。 霧々舞 さんの売買予想。 目標株価： 321円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,川崎汽船,2011/10/27,10:36,買い予想,霧々舞さん,323.81,150.0,+269.19,321,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/10/27 02:13
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「321円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\100.html
川崎汽船(9107)の買い予想。 kazu-2010 さんの売買予想。 目標株価： 321円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,川崎汽船,2011/10/25,11:12,買い予想,kazu-2010さん,368.84,148.0,+276.67,321,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/10/25 02:18
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「321円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\101.html
川崎汽船(9107)の買い予想。 短期決戦 さんの売買予想。 目標株価： 300円 期間： 短期(数分~数日) 理由： その他 k,川崎汽船,2011/04/14,14:17,買い予想,短期決戦さん,131.46,279.0,+13.24,300,短期(数分～数日),その他,k,292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\102.html
川崎汽船(9107)の買い予想。 qqliushi さんの売買予想。 目標株価： 310円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,川崎汽船,2011/04/06,14:00,買い予想,qqliushiさん,1.96,289.0,+2.95,310,短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/04/06 03:39
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「262円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\103.html
川崎汽船(9107)の買い予想。 stockfighter さんの売買予想。 目標株価： 454円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,川崎汽船,2011/03/18,15:24,買い予想,stockfighterさん,651.64,319.0,-24.06,454,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),買い,292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\104.html
川崎汽船(9107)の買い予想。 フォーナイン さんの売買予想。 目標株価： 377円 期間： 中期(数週間~数ヶ月) 理由： その他 なんとなく,川崎汽船,2011/03/10,12:35,買い予想,フォーナインさん,42.85,342.0,-41.57,377,中期(数週間～数ヶ月),その他,,292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\105.html
川崎汽船(9107)の買い予想。 善良市民 さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,川崎汽船,2011/02/26,18:14,買い予想,善良市民さん,146.92,354.0,-49.80,400,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\106.html
川崎汽船(9107)の買い予想。 dover さんの売買予想。 目標株価： 800円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,川崎汽船,2011/02/10,11:42,買い予想,doverさん,75.34,352.0,-48.47,800,長期(数ヶ月～数年),その他,,292.0,04月10日,11:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9107-川崎汽船/2017-04-10-11-45-19/comment\107.html
