概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
川崎重工業(7012)の買い予想。 kabukabuman さんの売買予想。 目標株価： 430円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,川崎重工業,2017/04/09,18:51,買い予想,kabukabumanさん,1.01,成り行き ,,430,中期(数週間～数ヶ月),その他,,328.0,04月09日,20:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\1.html
川崎重工業(7012)の買い予想。 翼山崎 さんの売買予想。 目標株価： 422円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,川崎重工業,2017/03/02,01:02,買い予想,翼山崎さん,-15.12,363.0,-28.20,422,長期(数ヶ月～数年),個人投資家の予想,,328.0,04月09日,20:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\10.html
川崎重工業(7012)の買い予想。 sinichi37 さんの売買予想。 目標株価： 510円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 造船,川崎重工業,2013/07/06,20:44,買い予想,sinichi37さん,61.26,338.0,-18.50,510,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\100.html
川崎重工業(7012)の買い予想。 鷲 さんの売買予想。 目標株価： 400円 期間： 短期(数分~数日) 理由： チャート かい,川崎重工業,2013/05/26,23:29,買い予想,鷲さん,2.7,345.0,-14.83,400,短期(数分～数日),チャート,,328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\101.html
川崎重工業(7012)の買い予想。 キュウピー さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： その他 OK,川崎重工業,2013/05/07,19:24,買い予想,キュウピーさん,285.01,310.0,+15.59,500,中期(数週間～数ヶ月),その他,,328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\102.html
川崎重工業(7012)の買い予想。 アジア さんの売買予想。 目標株価： 312円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割高」に反対,川崎重工業,2013/05/06,23:26,買い予想,アジアさん,609.13,313.0,+12.71,312,中期(数週間～数ヶ月),その他,"【株価分析結果】2013/05/03 02:17
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「260円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
",328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\103.html
川崎重工業(7012)の買い予想。 SABOTEN☆ さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,川崎重工業,2013/04/22,11:41,買い予想,SABOTEN☆さん,504.01,339.0,-10.06,500,中期(数週間～数ヶ月),その他,,328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\104.html
川崎重工業(7012)の買い予想。 gohonme さんの売買予想。 目標株価： 366円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,川崎重工業,2013/04/06,15:48,買い予想,gohonmeさん,-15.1,306.0,+19.51,366,中期(数週間～数ヶ月),その他,北朝鮮・国防関連銘柄,328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\105.html
川崎重工業(7012)の買い予想。 蛇阿斗久 さんの売買予想。 目標株価： 312円 期間： 短期(数分~数日) 理由： その他 買い,川崎重工業,2013/04/05,17:44,買い予想,蛇阿斗久さん,66.55,306.0,+19.51,312,短期(数分～数日),その他,軍事・防衛関連で買い,328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\106.html
川崎重工業(7012)の買い予想。 papamamayuma さんの売買予想。 目標株価： 334円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,川崎重工業,2013/03/23,09:19,買い予想,papamamayumaさん,171.72,308.0,+17.54,334,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,328.0,04月09日,20:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7012-川崎重工業/2017-04-09-20-34-35/comment\107.html
