概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"帝人(3401)の買い予想。 kensyaku さんの売買予想。 目標株価： 2,190円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",帝人,2017/04/05,14:10,買い予想,kensyakuさん,5.26,"2,067.0",-1.92,"2,190",短期(数分～数日),チャート,,"2,054.0",04月08日,21:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\1.html
"帝人(3401)の買い予想。 azutin さんの売買予想。 目標株価： 2,400円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",帝人,2016/12/07,21:32,買い予想,azutinさん,117.32,"2,310.0",-31.63,"2,400",中期(数週間～数ヶ月),チャート,,"2,054.0",04月08日,21:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\10.html
"帝人(3401)の買い予想。 ひが さんの売買予想。 目標株価： 1,735円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",帝人,2011/09/25,20:33,買い予想,ひがさん,150.6,"1,300.0",+164.71,"1,735",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/09/23 03:23
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「322円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","2,054.0",04月08日,21:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\100.html
"帝人(3401)の買い予想。 フォーラム さんの売買予想。 目標株価： 1,615円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",帝人,2011/08/30,17:20,買い予想,フォーラムさん,206.08,"1,465.0",+114.13,"1,615",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,054.0",04月08日,21:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\101.html
"帝人(3401)の買い予想。 fwj**954 さんの売買予想。 目標株価： 1,910円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",帝人,2011/08/01,21:01,買い予想,fwj**954さん,113.7,"1,715.0",+56.04,"1,910",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/07/30 03:22
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「354円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","2,054.0",04月08日,21:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\102.html
"帝人(3401)の買い予想。 Mayumi1988 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",帝人,2011/08/01,01:20,買い予想,Mayumi1988さん,271.65,"1,750.0",+49.23,"2,000",中期(数週間～数ヶ月),その他,,"2,054.0",04月08日,21:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\103.html
"帝人(3401)の買い予想。 jaian999 さんの売買予想。 目標株価： 3,485円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",帝人,2011/05/16,01:40,買い予想,jaian999さん,397.14,"1,915.0",+20.49,"3,485",中期(数週間～数ヶ月),チャート,,"2,054.0",04月08日,21:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\104.html
"帝人(3401)の買い予想。 キングKABU さんの売買予想。 目標株価： 2,020円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",帝人,2011/05/06,22:18,買い予想,キングKABUさん,290.94,"1,940.0",+16.56,"2,020",短期(数分～数日),チャート,,"2,054.0",04月08日,21:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\105.html
"帝人(3401)の買い予想。 短期決戦 さんの売買予想。 目標株価： 1,850円 期間： 短期(数分~数日) 理由： その他 k",帝人,2011/03/29,15:34,買い予想,短期決戦さん,131.46,"1,770.0",+45.46,"1,850",短期(数分～数日),その他,k,"2,054.0",04月08日,21:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\106.html
"帝人(3401)の買い予想。 mkw**ks23 さんの売買予想。 目標株価： 2,080円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",帝人,2011/02/23,20:12,買い予想,mkw**ks23さん,376.6,"1,930.0",+18.12,"2,080",中期(数週間～数ヶ月),チャート,,"2,054.0",04月08日,21:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3401-帝人/2017-04-08-21-32-27/comment\107.html
