概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 ベラスケス00 さんの売買予想。 目標株価： 4,478円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",損保ジャパン日本興亜ホールディングス,2017/04/04,13:48,買い予想,ベラスケス00さん,3.35,"4,001.0",+0.00,"4,478",中期(数週間～数ヶ月),チャート,,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\1.html
"ＳＯＭＰＯホールディングス(8630)の売り予想。 Λoi KΛNEHIRΛ さんの売買予想。 目標株価： 2,981円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り☺",損保ジャパン日本興亜ホールディングス,2016/10/10,21:53,売り予想,Λoi KΛNEHIRΛさん,-9.25,"3,295.0",-61.10,"2,980",中期(数週間～数ヶ月),個人投資家の予想,,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\10.html
"ＳＯＭＰＯホールディングス(8630)の売り予想。 parrot さんの売買予想。 目標株価： 3,100円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り予想 中期 目標株価3,100円",損保ジャパン日本興亜ホールディングス,2016/10/09,14:29,売り予想,parrotさん,-5.71,"3,295.0",-61.10,"3,100",中期(数週間～数ヶ月),個人投資家の予想,,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\11.html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 ユーリン さんの売買予想。 目標株価： 3,200円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 騰がりそう♪",損保ジャパン日本興亜ホールディングス,2016/10/05,14:38,買い予想,ユーリンさん,3.45,"3,051.0",+88.54,"3,200",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\12.html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 hualalai さんの売買予想。 目標株価： 3,882円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",損保ジャパン日本興亜ホールディングス,2016/08/11,20:11,買い予想,hualalaiさん,52.71,"3,192.0",+72.06,"3,882",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\13.html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 qwertxx さんの売買予想。 目標株価： 2,800円 期間： 中期(数週間~数ヶ月) 理由： その他 b",損保ジャパン日本興亜ホールディングス,2016/06/26,12:58,買い予想,qwertxxさん,67.04,"2,641.0",+146.43,"2,800",中期(数週間～数ヶ月),その他,,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\14.html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 ゆうきぷうた さんの売買予想。 目標株価： 4,010円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価4,010円",損保ジャパン日本興亜ホールディングス,2016/05/29,22:32,買い予想,ゆうきぷうたさん,73.21,"3,150.0",+76.82,"4,010",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\15.html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 株式市場独り言 さんの売買予想。 目標株価： 3,236円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",損保ジャパン日本興亜ホールディングス,2016/05/20,19:00,買い予想,株式市場独り言さん,-32.77,"3,040.0",+89.89,"3,236",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\16.html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 3,021円 期間： 長期(数ヶ月～数年) 理由： その他 損切り分の買い直し",損保ジャパン日本興亜ホールディングス,2016/04/30,12:14,買い予想,37 　 工事中 !さん,57.65,"2,790.5",+123.35,"3,021",長期(数ヶ月～数年),その他,,"4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\17.html
"ＳＯＭＰＯホールディングス(8630)の買い予想。 夢想人 さんの売買予想。 目標株価： 3,598円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",損保ジャパン日本興亜ホールディングス,2016/02/14,23:21,買い予想,夢想人さん,37.1,"2,737.5",+131.24,"3,598",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2016/02/13 04:03　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「3,556円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","4,010.0",04月10日,09:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8630-損保ジャパン日本興亜ホールディングス/2017-04-10-09-53-59/comment\18.html
