概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
新生銀行(8303)の買い予想。 twitter88 さんの売買予想。 目標株価： 252円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価252円,新生銀行,2017/03/27,16:10,買い予想,twitter88さん,-0.95,203.0,-14.00,252,中期(数週間～数ヶ月),チャート,,194.0,04月10日,04:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\1.html
新生銀行(8303)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 190円 期間： 中期(数週間~数ヶ月) 理由： チャート ｡｡★中期予想★｡｡190,新生銀行,2016/11/30,17:25,買い予想,ひとみん｡｡☆さん,0.86,186.0,+10.70,190,中期(数週間～数ヶ月),チャート,,194.0,04月10日,04:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\10.html
新生銀行(8303)の売り予想。 善良市民 さんの売買予想。 目標株価： 70円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 公募増資後の売りは常道？,新生銀行,2011/02/28,23:44,売り予想,善良市民さん,146.92,113.0,-206.34,70,短期(数分～数日),イベント(増資／合弁・買収／分割等),公募増資発表後は短期的には「売り」だが、長期的には100円台に戻してくると見る。,194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\100.html
新生銀行(8303)の買い予想。 ピエール2世 さんの売買予想。 目標株価： 130円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,新生銀行,2011/02/14,00:48,買い予想,ピエール2世さん,298.82,101.0,+259.02,130,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\101.html
新生銀行(8303)の売り予想。 わらしべどん さんの売買予想。 目標株価： 80円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り,新生銀行,2011/01/23,18:54,売り予想,わらしべどんさん,-278.49,97.0,-287.29,80,中期(数週間～数ヶ月),チャート,,194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\102.html
新生銀行(8303)の買い予想。 khira さんの売買予想。 目標株価： 116円 期間： 短期(数分~数日) 理由： その他 株価診断結果「割安」に賛成,新生銀行,2011/01/11,10:44,買い予想,khiraさん,9.36,99.0,+269.99,116,短期(数分～数日),その他,"【株価分析結果】2011/01/08 03:31
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「101円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\103.html
新生銀行(8303)の買い予想。 あまのくん さんの売買予想。 目標株価： 120円 期間： 中期(数週間~数ヶ月) 理由： チャート 上がる,新生銀行,2010/12/25,22:13,買い予想,あまのくんさん,443.09,98.0,+275.65,120,中期(数週間～数ヶ月),チャート,,194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\104.html
新生銀行(8303)の買い予想。 mkw**ks23 さんの売買予想。 目標株価： 148円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対,新生銀行,2010/12/24,00:25,買い予想,mkw**ks23さん,376.6,98.0,+275.65,148,中期(数週間～数ヶ月),チャート,,194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\105.html
新生銀行(8303)の買い予想。 ceh*734* さんの売買予想。 目標株価： 125円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対,新生銀行,2010/12/17,18:56,買い予想,ceh*734*さん,92.76,93.0,+305.76,125,中期(数週間～数ヶ月),その他,,194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\106.html
新生銀行(8303)の買い予想。 km5*17 さんの売買予想。 目標株価： 75円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割安」に賛成,新生銀行,2010/11/07,10:17,買い予想,km5*17さん,522.72,68.0,+522.72,75,短期(数分～数日),チャート,"【株価分析結果】2010/11/06 03:32
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「107円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\107.html
新生銀行(8303)の買い予想。 まゆはる さんの売買予想。 目標株価： 83円 期間： 短期(数分~数日) 理由： チャート なんとなく,新生銀行,2010/10/13,10:12,買い予想,まゆはるさん,263.53,75.0,+894.78,83,短期(数分～数日),チャート,,194.0,04月10日,04:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8303-新生銀行/2017-04-10-04-23-01/comment\108.html
