概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日揮(1963)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 1,850円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆",日揮,2017/03/31,22:45,売り予想,ひとみん｡｡☆さん,0.86,"1,940.0",+0.87,"1,850",中期(数週間～数ヶ月),チャート,,"1,933.0",04月08日,18:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\1.html
"日揮(1963)の買い予想。 raiser_yui さんの売買予想。 目標株価： 1,903円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価1,893円",日揮,2016/10/13,02:18,買い予想,raiser_yuiさん,18.76,"1,818.0",+17.83,"1,903",短期(数分～数日),チャート,,"1,933.0",04月08日,18:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\10.html
"日揮,1963,JGC,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",日揮,2010/10/06,01:10,売り予想,空飛ぶ モンティ・パイさん,-418.66,"1,557.0",-68.85,--,,,金融緩和だから,"1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\100.html
"日揮(1963)の買い予想。 ジャックブルー さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想！",日揮,2010/07/10,17:32,買い予想,ジャックブルーさん,630.31,"1,453.0",+93.74,"2,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),業績好調！海外リスク★！買い予想！,"1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\101.html
"日揮(1963)の買い予想。 591 さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 割安",日揮,2010/07/01,08:34,買い予想,591さん,42.75,"1,360.0",+119.59,"1,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),PER10倍に近づき割安感が強い｡,"1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\102.html
"日揮(1963)の買い予想。 アジア さんの売買予想。 目標株価： 1,594円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日揮,2010/05/30,10:09,買い予想,アジアさん,609.13,"1,435.0",+98.48,"1,594",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/05/29 03:05
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,594円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\103.html
"日揮(1963)の買い予想。 あつしちゃん さんの売買予想。 目標株価： 1,800円 期間： 長期(数ヶ月～数年) 理由： チャート ksai",日揮,2010/05/21,08:26,買い予想,あつしちゃんさん,260.83,"1,442.0",+96.62,"1,800",長期(数ヶ月～数年),チャート,,"1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\104.html
"日揮,1963,JGC,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",日揮,2010/04/24,21:38,買い予想,レイリーさん,341.47,"1,602.0",+58.57,--,短期(数分～数日),,,"1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\105.html
日揮(1963)の買い予想。 1977KAKA さんの売買予想。 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「妥当圏内」に反対,日揮,2010/04/21,02:00,買い予想,1977KAKAさん,178.32,"1,628.0",+53.09,--,短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2010/04/20 03:04
　妥当圏内

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較でも妥当圏内と判断されます。結果、現在の株価は「妥当圏内」と結論付けました。
　現在値から下落すれば割安圏内に、上昇すれば割高圏内となります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において妥当圏内と判断されますが、この結果は必ずしも今後の株価の維持を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で妥当圏内と判断されます。

","1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\106.html
"日揮(1963)の買い予想。 資産倍増！法隆寺！ さんの売買予想。 目標株価： 1,689円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) スマグリ連合",日揮,2010/04/15,20:18,買い予想,資産倍増！法隆寺！さん,172.27,"1,681.0",+42.45,"1,689",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,933.0",04月08日,18:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1963-日揮/2017-04-08-18-45-52/comment\107.html
