0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"日新製鋼(5413)の買い予想。 skybb さんの売買予想。 目標株価： 1,550円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",日新製鋼,2017/03/28,06:30,買い予想,skybbさん,29.76,"1,473.0",-8.30,"1,550",中期(数週間～数ヶ月),チャート,,"1,431.0",04月09日,04:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\1.html
"日新製鋼(5413)の買い予想。 たっさんがんばれ さんの売買予想。 目標株価： 2,162円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日新製鋼,2015/10/29,14:15,買い予想,たっさんがんばれさん,41.89,"1,265.0",+37.09,"2,162",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/10/29 01:26
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,162円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
","1,431.0",04月09日,04:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\10.html
"日新製鋼(5413)の売り予想。 生涯現役 さんの売買予想。 目標株価： 1,435円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り予想 中期 目標株価1,435円",日新製鋼,2015/08/02,21:39,売り予想,生涯現役さん,79.35,"1,317.0",-24.83,"1,435",中期(数週間～数ヶ月),個人投資家の予想,,"1,431.0",04月09日,04:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\11.html
"日新製鋼(5413)の買い予想。 jupiter132 さんの売買予想。 目標株価： 1,818円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",日新製鋼,2015/04/28,15:18,買い予想,jupiter132さん,-32.91,"1,624.0",-33.96,"1,818",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,431.0",04月09日,04:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\12.html
"日新製鋼(5413)の買い予想。 短期決戦 さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： チャート どてん、買い。",日新製鋼,2015/02/07,16:15,買い予想,短期決戦さん,131.46,"1,437.0",-1.38,"3,000",中期(数週間～数ヶ月),チャート,,"1,431.0",04月09日,04:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\13.html
"日新製鋼(5413)の買い予想。 ym12345 さんの売買予想。 目標株価： 1,301円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「売り」に反対",日新製鋼,2014/12/20,18:02,買い予想,ym12345さん,175.53,"1,171.0",+62.89,"1,301",長期(数ヶ月～数年),個人投資家の予想,,"1,431.0",04月09日,04:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\14.html
"日新製鋼(5413)の買い予想。 t-oku さんの売買予想。 目標株価： 1,474円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日新製鋼,2014/10/29,20:32,買い予想,t-okuさん,47.03,991.0,+125.96,"1,474",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2014/10/29 01:49　割安  【総論】　この銘柄は、上場期間が短い為、みんかぶリサーチによる株価診断においては過去比較を行わず、相対比較の結果を結論として採用します。結果、現在の株価は「割安」と判断されます。　但し、この銘柄の株価が「1,154円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　この銘柄は過去分析によって株価の妥当性を判断するに十分な上場期間に達していません。【相対比較】　一方、この銘柄のPSRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,431.0",04月09日,04:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\15.html
"日新製鋼(5413)の買い予想。 optos さんの売買予想。 目標株価： 1,350円 期間： 中期(数週間~数ヶ月) 理由： チャート 今が底値？押目買のチャンス",日新製鋼,2014/09/16,03:48,買い予想,optosさん,10.1,"1,021.0",+113.91,"1,350",中期(数週間～数ヶ月),チャート,"今が、底値？　
これ以上下がらないのでは？","1,431.0",04月09日,04:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\16.html
"日新製鋼(5413)の買い予想。 chadango さんの売買予想。 目標株価： 1,082円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に反対",日新製鋼,2014/05/25,22:03,買い予想,chadangoさん,16.87,"1,055.0",+101.07,"1,082",長期(数ヶ月～数年),チャート,,"1,431.0",04月09日,04:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\17.html
日新製鋼(5413)の売り予想。 kak*mo*o999*9 さんの売買予想。 目標株価： 890円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に賛成,日新製鋼,2014/04/20,19:06,売り予想,kak*mo*o999*9さん,17.62,"1,093.0",-88.19,890,短期(数分～数日),チャート,,"1,431.0",04月09日,04:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5413-日新製鋼/2017-04-09-04-15-15/comment\18.html
