概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ＪＴ(2914)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 3,250円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆",日本たばこ産業,2017/04/06,20:52,売り予想,ひとみん｡｡☆さん,0.86,"3,690.0",+0.00,"3,250",中期(数週間～数ヶ月),チャート,,"3,689.0",04月08日,20:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\1.html
"ＪＴ(2914)の売り予想。 siomaru さんの売買予想。 目標株価： 3,605円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割高」に賛成",日本たばこ産業,2017/02/24,17:11,売り予想,siomaruさん,-6.16,"3,785.0",+7.13,"3,605",中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2017/02/24 01:50
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「3,706円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","3,689.0",04月08日,20:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\10.html
"ＪＴ(2914)の買い予想。 dogdog7878 さんの売買予想。 目標株価： 4,582円 期間： 中期(数週間~数ヶ月) 理由： その他 上昇気流",日本たばこ産業,2013/12/15,18:52,買い予想,dogdog7878さん,122.73,"3,485.0",+16.56,"4,582",中期(数週間～数ヶ月),その他,,"3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\100.html
"ＪＴ(2914)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 3,543円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。",日本たばこ産業,2013/12/06,05:05,買い予想,地球猛獣群さん,72.7,"3,460.0",+18.73,"3,543",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\101.html
"ＪＴ(2914)の買い予想。 リッキー さんの売買予想。 目標株価： 3,773円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) ナンピン買い",日本たばこ産業,2013/12/04,19:51,買い予想,リッキーさん,-31.89,"3,425.0",+21.83,"3,773",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\102.html
"ＪＴ(2914)の買い予想。 よねぞう77 さんの売買予想。 目標株価： 5,000円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 貝",日本たばこ産業,2013/11/21,10:12,買い予想,よねぞう77さん,535.66,"3,720.0",-2.44,"5,000",長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),ＮＩＳＡでみんな買うのでは？？？,"3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\103.html
"ＪＴ(2914)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 5,245円 期間： 長期(数ヶ月～数年) 理由： その他 買い",日本たばこ産業,2013/10/06,13:27,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,"3,455.0",+19.17,"5,245",長期(数ヶ月～数年),その他,,"3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\104.html
"ＪＴ(2914)の買い予想。 雪御前 さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 買い",日本たばこ産業,2013/09/05,14:03,買い予想,雪御前さん,113.29,"3,415.0",+22.73,"4,000",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\105.html
"ＪＴ(2914)の買い予想。 大平義之 さんの売買予想。 目標株価： 3,578円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日本たばこ産業,2013/08/24,14:43,買い予想,大平義之さん,-81.15,"3,435.0",+20.94,"3,578",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/08/24 01:21
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,578円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\106.html
"ＪＴ(2914)の買い予想。 風来の相場師 さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",日本たばこ産業,2013/08/21,22:51,買い予想,風来の相場師さん,112.18,"3,365.0",+27.29,"4,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),株主配分 いいですね,"3,689.0",04月08日,20:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2914-日本たばこ産業/2017-04-08-20-42-47/comment\107.html
