概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日本ハム(2282)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 3,500円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･騰がりそう☆",日本ハム,2017/04/07,11:57,買い予想,ひとみん｡｡☆さん,0.86,"3,025.0",-0.09,"3,500",中期(数週間～数ヶ月),チャート,,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\1.html
"日本ハム(2282)の買い予想。 musashiXP さんの売買予想。 目標株価： 2,473円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日本ハム,2016/10/17,14:10,買い予想,musashiXPさん,4.55,"2,412.0",+72.15,"2,473",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\10.html
"日本ハム(2282)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 2,414円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し",日本ハム,2016/09/11,16:42,買い予想,37 　 工事中 !さん,57.65,"2,352.0",+81.24,"2,414",長期(数ヶ月～数年),その他,,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\11.html
"日本ハム(2282)の買い予想。 島津のスマホ♪ さんの売買予想。 目標株価： 2,504円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",日本ハム,2016/07/31,09:57,買い予想,島津のスマホ♪さん,31.61,"2,436.0",+68.63,"2,504",長期(数ヶ月～数年),その他,,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\12.html
"日本ハム(2282)の買い予想。 borokus045 さんの売買予想。 目標株価： 2,550円 期間： 短期(数分~数日) 理由： その他 買い",日本ハム,2016/07/25,01:48,買い予想,borokus045さん,7.84,"2,475.0",+63.07,"2,550",短期(数分～数日),その他,,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\13.html
"日本ハム(2282)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 2,868円 期間： 長期(数ヶ月～数年) 理由： その他 買い",日本ハム,2016/06/23,19:16,買い予想,リサ・ランドールさん,137.27,"2,401.0",+73.78,"2,868",長期(数ヶ月～数年),その他,,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\14.html
"日本ハム(2282)の買い予想。 you-mama さんの売買予想。 目標株価： 2,517円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日本ハム,2016/01/30,14:00,買い予想,you-mamaさん,29.47,"2,340.0",+83.12,"2,517",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/01/30 01:07
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,517円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一取引市場の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\15.html
"日本ハム(2282)の買い予想。 俺お前 さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日本ハム,2016/01/09,15:05,買い予想,俺お前さん,108.56,"2,220.0",+102.98,"3,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\16.html
"日本ハム(2282)の買い予想。 takopus_no10 さんの売買予想。 目標株価： 2,365円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割安」に賛成",日本ハム,2016/01/07,23:27,買い予想,takopus_no10さん,32.82,"2,239.0",+99.69,"2,365",短期(数分～数日),チャート,"【株価分析結果】2016/01/07 01:07　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「2,586円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。　結果、現在、この銘柄のPBRは同一取引市場の平均値よりも低い為、相対比較の観点からは割安と判断されます。","3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\17.html
"日本ハム(2282)の売り予想。 Nobie123 さんの売買予想。 目標株価： 2,100円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想 長期 目標株価2,100円",日本ハム,2015/11/05,11:04,売り予想,Nobie123さん,-109.41,"2,283.0",-92.54,"2,100",長期(数ヶ月～数年),その他,,"3,025.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2282-日本ハム/2017-04-08-18-59-13/comment\18.html
